token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,label
Sb,Ty,Sy,Tg,Sy,Tr,Sb,Sy,Tg,Sy,0
Ty,Tr,Ty,Sr,Sb,Sb,Sb,Tg,Sb,Sy,0
Sy,Sg,Sb,Sr,Tr,Sy,Ty,Sg,Tr,Ty,0
Sy,Tr,Tr,Tb,Sg,Tg,Tr,Tb,Sy,Ty,0
Sb,Ty,Sr,Tb,Sy,Sr,Tr,Sb,Tg,Ty,0
Tg,Sg,Sg,Sr,Tb,Ty,Tg,Tr,Sb,Tg,0
Sg,Tr,Tr,Sg,Ty,Sg,Sb,Sb,Sy,Sg,1
Ty,Tr,Sy,Tr,Sb,Sg,Tr,Tb,Sr,Sr,1
Tg,Sb,Sg,Ty,Tr,Sy,Tr,Tb,Sy,Ty,1
Tb,Tg,Sb,Sg,Tb,Tb,Sg,Ty,Tr,Tb,0
Sy,Tg,Tr,Tr,Ty,Sr,Sb,Sg,Tg,Tr,0
Sy,Tb,Sb,Tb,Sb,Sb,Sr,Sb,Sg,Sg,1
Tb,Tg,Tb,Sg,Tg,Tg,Ty,Sr,Tg,Sr,1
Tr,Ty,Sg,Tr,Ty,Tg,Tg,Sy,Ty,Sb,1
Tg,Tb,Sb,Sr,Tr,Tb,Sb,Tb,Tg,Ty,1
Sb,Sy,Sg,Sb,Tr,Sb,Tg,Sr,Sb,Sg,1
Sy,Sr,Tr,Tr,Tr,Sg,Sr,Ty,Sg,Sr,0
Sb,Ty,Sg,Tg,Sb,Sy,Ty,Tb,Sg,Sg,0
Tg,Sr,Sy,Sr,Ty,Ty,Sy,Sb,Sr,Tr,0
Tb,Tr,Sb,Sr,Tb,Sb,Sb,Sr,Ty,Tr,0
Tg,Tb,Tr,Sb,Tg,Tr,Sy,Sb,Tr,Sy,0
Tg,Sy,Sg,Sb,Tg,Sy,Tg,Sg,Sb,Tb,0
Sg,Sy,Tr,Tg,Tb,Tg,Sy,Sr,Tb,Sg,1
Tb,Sg,Sb,Ty,Tg,Sb,Ty,Sy,Sb,Sb,0
Ty,Tg,Tb,Ty,Sr,Tb,Ty,Tr,Tg,Sr,0
Tg,Tg,Tb,Sy,Sb,Sr,Sr,Tb,Sr,Sy,1
Sb,Sr,Sr,Tr,Tg,Tg,Sb,Tg,Ty,Tg,1
Ty,Tg,Tr,Sg,Ty,Tr,Ty,Tr,Sb,Tr,1
Ty,Tg,Sr,Sr,Tg,Sb,Sr,Sg,Sr,Ty,0
Ty,Sy,Tb,Ty,Tg,Ty,Tg,Ty,Ty,Tr,1
Sy,Sr,Sr,Sr,Tb,Tg,Sy,Sg,Ty,Ty,1
Tr,Sg,Ty,Sr,Sg,Sg,Sb,Tr,Tb,Sb,0
Sr,Tg,Tg,Sr,Sg,Sb,Tb,Sr,Sy,Sr,0
Tr,Sy,Tg,Sb,Tg,Ty,Tb,Ty,Tg,Tr,1
Sy,Sb,Sb,Tb,Tr,Sb,Sb,Ty,Tr,Tr,1
Tr,Sb,Sb,Tb,Sg,Sg,Tg,Sg,Tb,Tr,1
Tb,Ty,Sy,Sb,Tb,Tb,Tr,Ty,Tr,Sr,1
Sg,Tb,Tr,Tb,Tr,Tr,Sr,Ty,Tg,Sy,0
Sr,Tr,Tb,Sg,Sg,Sg,Ty,Tg,Sg,Sr,1
Tb,Tg,Sb,Ty,Tg,Sb,Sb,Sr,Ty,Sb,0
Ty,Tb,Sy,Sy,Sy,Sy,Tg,Sy,Tr,Tr,1
Tg,Sr,Sy,Tr,Sg,Tb,Tg,Tb,Tb,Ty,0
Tg,Sy,Sy,Ty,Sy,Ty,Sy,Tg,Sr,Sb,1
Sg,Ty,Tb,Sr,Sg,Sr,Ty,Sb,Sb,Sr,1
Sg,Sr,Tb,Sr,Tb,Tr,Sr,Tg,Tb,Ty,1
Tr,Sr,Tb,Ty,Sr,Sg,Sy,Tr,Sg,Tg,0
Tr,Sy,Sy,Tb,Ty,Ty,Tg,Tb,Sg,Sr,1
Sb,Sr,Sb,Tg,Sr,Ty,Sy,Sr,Sy,Tb,1
Sb,Tr,Sg,Tg,Sy,Sb,Ty,Sr,Sg,Tr,1
Tr,Sb,Ty,Ty,Sb,Sb,Sy,Sr,Tg,Sg,1
Sy,Tg,Tb,Tb,Tg,Tg,Tr,Sr,Tr,Tr,0
Sb,Sr,Sy,Sr,Ty,Tg,Tr,Sr,Sr,Sy,1
Ty,Tg,Tb,Tg,Sy,Tg,Ty,Tb,Tg,Tr,0
Tg,Ty,Sg,Sb,Sb,Sr,Ty,Sg,Tr,Tg,1
Sb,Sr,Tr,Sg,Sb,Tr,Ty,Tg,Tb,Sr,1
Sy,Ty,Tg,Sy,Tr,Sb,Tg,Sb,Tg,Tr,0
Sy,Sg,Sr,Sb,Tb,Tr,Sg,Sy,Ty,Ty,0
Tg,Ty,Tg,Tg,Tg,Sy,Sb,Sr,Tr,Sb,1
Tb,Tr,Sg,Sg,Sy,Tg,Sg,Sr,Ty,Tr,0
Sg,Sr,Sr,Sy,Sr,Tb,Sy,Sr,Sy,Sb,1
Sb,Sb,Sb,Sb,Ty,Ty,Ty,Tb,Ty,Tb,1
Sr,Sb,Ty,Ty,Tb,Tb,Tb,Tb,Sr,Sg,0
Sr,Tg,Tr,Ty,Tg,Sy,Sr,Sy,Tb,Tb,0
Sb,Sy,Tb,Ty,Tg,Ty,Tb,Sb,Tr,Sg,1
Tr,Sy,Tb,Ty,Sb,Tr,Tr,Sb,Sg,Tg,1
Ty,Sb,Sy,Sr,Sb,Sr,Sr,Sr,Sb,Ty,1
Tb,Sg,Sg,Sg,Sy,Sy,Sg,Sg,Tb,Sg,1
Sb,Tr,Tr,Tb,Sr,Sy,Ty,Ty,Ty,Tr,0
Sb,Tr,Sg,Sr,Tg,Sg,Tr,Sr,Tg,Sy,0
Sb,Ty,Tr,Sr,Sg,Sg,Ty,Sr,Tr,Sr,0
Sb,Sr,Sy,Sy,Sy,Sb,Tb,Ty,Ty,Sy,0
Sr,Ty,Tb,Ty,Ty,Ty,Sr,Sb,Sy,Tb,1
Tr,Tb,Ty,Tg,Sb,Tg,Sr,Tr,Sy,Tg,1
Ty,Tg,Tb,Sg,Ty,Sy,Tg,Tr,Sg,Sr,1
Tg,Sy,Tr,Tr,Ty,Sg,Sg,Ty,Sg,Tb,1
Tg,Tr,Sr,Sg,Sb,Tb,Sg,Ty,Tr,Ty,1
Sy,Sy,Sg,Sg,Tg,Sy,Sg,Tr,Tr,Tb,1
Ty,Ty,Sb,Sy,Tg,Ty,Tr,Tr,Sr,Sy,0
Tb,Tg,Tb,Sb,Ty,Sy,Sg,Ty,Tr,Ty,0
Ty,Tg,Tr,Sy,Tb,Sb,Tr,Sy,Sg,Ty,0
Sy,Sr,Sb,Tg,Ty,Ty,Sr,Tr,Tg,Tg,0
Tr,Sr,Tg,Tb,Tb,Tr,Ty,Sr,Tg,Tb,0
Sr,Ty,Ty,Sy,Tg,Tb,Tg,Ty,Sy,Tb,0
Sy,Sy,Sr,Tb,Ty,Sr,Tb,Sr,Tb,Sr,1
Sy,Sb,Sb,Ty,Sr,Sr,Sr,Sy,Sb,Sy,0
Tr,Tb,Sg,Sg,Sy,Tb,Sg,Tg,Sy,Tg,1
Tr,Sy,Ty,Tb,Tg,Sg,Sy,Sy,Tb,Tb,0
Ty,Sg,Sg,Sg,Ty,Ty,Ty,Tg,Ty,Tg,1
Tr,Sy,Sg,Sb,Tg,Tb,Tr,Tr,Tb,Tb,1
Sy,Sb,Sb,Sy,Sg,Tb,Sy,Sb,Ty,Tg,0
Tb,Sr,Tr,Sg,Tg,Sg,Ty,Sr,Tb,Sg,1
Sb,Sr,Sr,Sr,Sr,Sy,Tb,Sb,Ty,Ty,0
Sg,Tr,Sb,Sb,Tb,Sb,Sg,Sb,Tg,Sb,0
Ty,Tr,Sb,Sy,Sr,Tg,Sy,Ty,Tb,Sr,1
Tb,Sr,Tg,Ty,Sb,Ty,Sr,Tg,Tb,Tr,1
Sg,Sy,Sg,Tb,Sb,Sg,Sb,Tr,Sg,Tr,1
Sg,Tg,Tb,Sb,Sb,Tr,Sb,Tg,Sy,Tb,0
Sy,Tg,Sb,Tg,Sy,Ty,Ty,Tb,Ty,Tb,1
Sy,Tb,Sg,Sb,Tb,Tr,Sb,Tr,Sr,Sy,1
Sy,Sg,Ty,Sg,Sb,Tr,Tg,Sb,Tb,Tb,0
Tr,Sy,Ty,Tr,Tg,Sb,Sr,Tb,Tg,Tg,1
Sb,Ty,Sr,Sr,Ty,Sb,Ty,Sy,Ty,Sr,0
Tb,Sg,Ty,Tr,Sy,Tg,Ty,Sb,Sy,Tg,1
Tg,Tg,Sy,Sb,Tg,Tr,Sy,Sy,Ty,Tg,0
Sb,Tr,Tg,Tr,Tb,Tg,Tg,Sy,Sg,Sg,1
Sr,Ty,Tr,Sb,Sr,Tb,Tb,Ty,Sr,Tb,1
Tr,Sb,Sr,Tg,Tb,Sy,Sb,Ty,Tr,Tr,0
Sg,Ty,Sy,Ty,Ty,Tg,Sy,Sr,Tb,Sb,1
Sr,Sb,Tr,Tb,Tb,Sb,Sr,Tr,Ty,Tg,0
Sr,Tb,Tb,Sb,Tg,Tg,Sr,Sg,Sr,Sy,0
Ty,Sy,Tb,Ty,Tg,Sg,Ty,Tr,Sr,Sb,1
Ty,Sy,Sr,Tr,Sy,Ty,Tg,Tb,Tr,Sg,0
Tb,Sg,Ty,Tb,Sb,Sg,Sy,Sr,Tr,Tr,1
Sr,Tr,Tr,Ty,Tg,Ty,Tg,Tr,Sb,Sy,1
Tb,Ty,Tb,Tg,Tg,Sy,Sr,Tg,Ty,Tb,1
Sg,Sy,Tr,Ty,Sr,Tb,Sy,Sb,Tb,Sb,0
Sy,Sb,Tr,Sy,Ty,Sb,Sb,Sg,Sy,Sg,0
Sr,Sy,Sb,Tr,Sr,Sb,Ty,Sr,Sy,Tb,1
Sb,Sr,Tr,Sb,Sb,Tr,Tg,Sb,Sr,Ty,0
Ty,Ty,Sb,Ty,Ty,Sr,Sg,Sb,Sy,Tg,1
Ty,Sg,Tb,Sy,Tb,Tr,Tr,Sg,Sb,Sg,0
Sb,Sy,Sg,Tr,Sg,Tg,Sb,Sg,Ty,Tb,0
Sg,Tr,Sb,Tb,Sg,Tr,Ty,Tr,Sr,Sb,1
Sy,Tg,Tr,Ty,Sy,Sy,Sr,Sy,Tg,Sy,1
Sr,Sg,Sr,Ty,Tb,Tr,Tb,Sg,Tg,Ty,1
Sb,Ty,Ty,Sr,Sb,Sr,Sy,Ty,Sb,Ty,0
Sb,Sb,Tb,Tg,Tb,Tb,Tb,Sr,Sb,Tr,1
Tr,Sy,Sr,Tg,Tb,Sr,Sg,Sy,Sb,Tg,1
Ty,Ty,Sb,Tg,Tr,Ty,Tr,Sy,Sy,Ty,0
Tb,Ty,Sy,Sg,Sy,Sg,Sy,Ty,Tb,Sy,0
Tr,Sg,Ty,Sy,Tb,Sr,Tb,Sb,Sg,Tr,1
Tr,Ty,Ty,Tr,Sr,Sr,Tg,Sg,Sy,Tb,0
Tr,Sy,Sg,Sb,Ty,Ty,Tr,Tg,Tg,Tb,0
Tg,Sr,Tr,Sr,Ty,Sr,Sy,Tb,Sr,Sy,1
Tb,Tb,Tr,Sg,Tr,Sy,Tr,Sy,Tr,Sy,0
Tr,Tr,Sy,Sb,Tg,Sy,Tg,Sg,Tg,Sr,0
Sg,Sr,Tg,Sy,Sr,Tr,Tb,Sy,Ty,Ty,1
Sr,Sg,Ty,Sb,Tr,Sr,Sr,Sy,Tr,Sy,1
Ty,Sy,Tr,Tb,Sy,Sg,Ty,Sr,Tb,Sb,1
Tg,Sb,Tb,Ty,Sb,Tg,Ty,Sb,Tg,Sr,1
Sb,Sb,Tb,Sb,Tg,Tr,Sg,Sy,Tg,Sb,0
Sg,Tg,Sg,Tb,Sb,Sr,Tr,Sy,Tr,Sg,1
Sg,Sg,Sg,Sr,Sy,Tg,Tg,Tb,Tb,Sg,1
Ty,Tb,Tg,Sg,Sy,Sy,Sr,Tr,Ty,Sy,1
Sy,Tg,Ty,Sg,Tb,Tb,Sb,Sb,Tg,Sg,0
Tb,Sy,Sg,Sg,Sy,Ty,Sg,Tg,Sb,Ty,1
Tb,Sy,Sg,Sb,Sb,Tg,Tr,Tr,Sb,Tr,0
Sg,Sb,Tg,Tg,Tg,Sy,Tb,Sg,Tr,Ty,0
Sr,Ty,Sb,Tb,Tg,Sy,Ty,Sr,Sy,Ty,1
Sr,Tb,Tb,Sy,Sb,Tr,Tb,Sg,Sy,Sg,1
Sb,Sb,Sr,Sr,Sr,Tg,Tb,Tr,Tb,Sg,1
Sr,Tr,Tg,Tb,Sb,Sr,Tb,Tg,Ty,Ty,0
Sg,Sb,Tb,Tr,Ty,Sb,Sg,Sy,Sr,Tb,0
Sy,Sg,Ty,Sy,Sr,Tg,Ty,Sr,Sr,Ty,0
Sy,Sg,Sb,Sr,Tb,Ty,Sr,Tb,Sy,Tb,0
Sr,Sg,Sr,Sg,Tg,Sy,Sr,Tb,Tb,Sb,1
Sb,Ty,Sg,Ty,Sg,Tr,Sb,Sy,Tg,Sy,1
Tb,Tg,Tr,Sr,Tb,Tg,Ty,Ty,Sb,Tb,0
Tr,Tg,Tr,Tb,Sy,Sb,Sr,Sy,Tr,Sy,1
Tr,Ty,Tr,Sb,Tr,Sg,Sy,Tb,Tb,Tg,1
Sr,Sy,Sb,Sb,Sb,Sg,Sy,Sr,Sy,Sb,0
Sy,Sb,Sr,Sb,Ty,Tr,Tg,Tg,Sr,Ty,0
Sg,Tg,Tg,Sg,Tb,Tr,Sg,Sr,Sr,Tg,1
Sg,Sg,Sy,Sb,Tb,Sy,Ty,Sy,Sg,Sr,1
Tb,Sg,Sy,Tb,Sr,Sb,Sr,Sb,Sb,Tr,0
Sr,Tr,Tr,Sr,Tb,Sg,Tg,Sg,Tg,Tr,0
Sg,Tb,Sr,Ty,Sy,Sr,Tr,Tb,Sy,Tg,1
Sg,Tb,Sg,Ty,Ty,Sb,Ty,Tr,Ty,Tg,0
Sr,Sb,Sb,Sg,Sr,Tr,Ty,Tg,Sg,Sr,1
Sr,Ty,Sr,Sy,Sy,Tb,Tb,Ty,Tr,Sy,1
Tg,Tb,Tg,Ty,Tg,Sb,Sr,Sy,Tg,Sr,0
Tr,Sr,Sy,Sr,Sg,Sr,Tb,Sy,Sg,Sb,1
Tg,Ty,Tg,Tg,Sy,Tg,Ty,Sb,Sg,Tr,1
Tb,Sb,Sg,Sr,Tb,Sg,Tr,Sb,Ty,Sy,0
Tr,Sg,Tr,Tb,Tb,Sr,Sg,Sb,Sg,Sb,0
Tr,Tr,Tr,Ty,Sy,Tr,Sg,Ty,Ty,Tb,0
Tg,Ty,Sb,Sr,Sr,Tg,Sy,Tr,Sb,Sg,0
Sy,Ty,Tr,Ty,Tr,Tb,Sg,Tg,Sb,Sb,1
Tr,Sy,Tb,Tb,Tg,Sb,Sy,Ty,Sr,Sg,1
Tg,Tr,Sg,Sb,Tr,Tg,Sg,Tg,Tr,Tr,1
Tg,Tr,Tr,Ty,Sb,Sg,Tg,Tg,Tr,Tb,0
Ty,Ty,Ty,Tg,Sr,Sy,Tr,Sg,Tb,Sy,1
Tg,Sb,Sb,Tb,Sr,Tb,Sg,Tb,Sy,Tb,1
Sb,Sb,Sr,Sb,Sr,Tr,Sg,Sy,Sg,Tb,0
Tr,Sg,Sr,Tg,Tg,Sr,Tg,Ty,Tb,Tg,1
Ty,Tg,Tr,Ty,Sg,Tg,Sr,Tr,Ty,Ty,0
Tr,Sb,Tg,Tb,Sb,Sr,Tr,Sb,Sr,Sy,0
Tg,Tg,Sy,Tg,Tr,Sb,Tb,Tr,Sb,Sg,1
Tg,Ty,Sg,Tg,Sy,Sg,Sy,Ty,Tr,Tb,1
Sy,Sg,Tr,Sg,Ty,Ty,Sg,Tr,Sg,Sy,1
Sb,Tr,Tr,Tg,Tr,Tg,Sg,Sy,Sr,Tg,1
Sg,Tr,Sy,Ty,Tg,Sg,Tg,Tg,Sg,Sy,0
Sg,Sy,Tb,Tg,Ty,Sb,Sr,Tr,Sy,Sy,1
Sg,Tr,Tr,Sg,Ty,Tb,Ty,Sr,Sr,Tr,1
Tr,Tg,Tb,Sb,Tg,Sb,Ty,Tb,Sy,Sb,1
Tr,Tg,Sr,Ty,Sg,Sr,Sy,Tb,Sb,Tg,1
Tg,Sg,Tr,Sg,Tg,Ty,Sy,Sb,Sr,Sr,0
Sy,Tb,Tg,Sr,Tr,Ty,Tb,Tg,Tr,Ty,1
Ty,Sr,Tb,Sy,Ty,Tb,Tg,Tr,Tr,Sy,1
Sb,Sg,Sb,Tg,Tg,Sy,Tb,Sg,Tr,Tb,0
Tb,Tb,Sy,Tb,Sg,Sb,Sr,Sg,Sb,Sr,1
Sg,Sg,Tg,Sy,Sb,Tr,Sr,Tg,Tg,Sg,1
Ty,Tb,Ty,Ty,Ty,Sy,Sb,Tg,Tg,Tr,0
Sb,Sg,Tr,Tb,Tb,Sb,Sg,Sy,Sb,Sb,1
Ty,Tg,Ty,Tb,Sr,Sr,Sg,Tb,Ty,Tr,1
Tg,Tg,Sr,Sg,Tg,Sb,Tb,Sy,Sy,Tr,0
Tb,Sg,Sg,Tb,Tb,Ty,Sy,Sr,Tb,Sg,1
Sy,Tb,Sg,Sy,Ty,Sr,Tg,Sy,Tg,Tg,1
Sg,Sg,Sr,Sg,Sr,Sb,Tr,Tg,Tg,Sy,0
Sy,Tb,Sy,Tb,Ty,Tb,Sb,Tr,Tg,Sr,0
Sr,Tr,Sy,Ty,Sb,Sy,Sy,Ty,Ty,Sb,1
Tb,Ty,Tb,Sr,Ty,Tb,Sg,Sb,Sr,Sy,1
Sb,Sg,Sb,Sb,Sr,Ty,Sr,Sg,Sy,Sb,1
Tg,Tr,Sb,Sr,Tg,Sg,Sb,Tg,Sy,Sg,0
Ty,Sr,Sb,Sr,Sb,Sy,Sr,Sr,Tb,Sb,0
Sy,Tg,Tr,Sb,Sr,Tg,Sr,Sb,Sb,Sg,1
Sg,Tg,Ty,Tb,Tr,Tg,Ty,Ty,Sy,Sb,0
Tb,Sg,Ty,Tr,Ty,Sy,Tr,Tb,Sr,Ty,1
Tb,Tr,Sr,Sb,Tg,Tr,Sb,Sg,Sg,Sb,1
Tg,Sb,Sg,Tg,Tg,Tg,Tr,Ty,Ty,Sg,1
Sb,Sr,Tr,Tr,Sr,Tr,Sb,Ty,Tg,Sy,1
Ty,Sb,Tr,Sy,Sb,Sy,Tr,Tr,Sy,Tb,0
Sg,Sg,Sg,Sy,Sy,Tg,Sb,Tr,Sy,Sg,0
Sb,Ty,Tg,Tr,Tg,Sy,Sr,Tr,Sg,Tg,1
Sy,Tb,Ty,Ty,Sb,Tr,Tg,Tg,Tr,Sr,1
Sy,Sg,Ty,Sr,Sr,Tb,Sb,Sy,Sr,Sg,0
Sb,Tr,Tr,Tr,Sg,Sr,Tb,Tg,Sr,Sr,1
Tb,Tr,Tr,Sb,Sr,Sg,Sg,Sy,Sg,Sy,0
Tg,Sy,Tg,Tb,Tg,Sr,Tb,Tb,Sr,Tg,1
Tb,Tr,Tg,Sr,Tr,Sy,Tg,Ty,Sb,Sb,0
Tb,Ty,Tg,Ty,Tb,Tb,Ty,Tb,Sy,Tr,0
Tb,Tg,Sr,Tr,Sy,Tg,Sg,Ty,Sr,Sy,0
Sb,Tg,Tb,Sg,Tb,Tg,Tr,Tr,Sy,Tr,1
Sg,Tr,Tb,Sb,Sr,Sy,Sy,Sr,Sy,Sy,1
Sy,Tb,Sb,Sg,Sy,Ty,Ty,Tb,Sg,Sb,1
Sy,Sr,Tb,Tb,Tr,Tg,Ty,Sr,Sy,Tb,0
Sg,Tg,Tr,Sb,Tb,Sg,Tb,Sg,Tr,Sg,0
Tr,Tb,Sr,Ty,Ty,Sr,Sy,Tr,Sy,Sg,1
Sg,Sr,Sb,Sb,Ty,Sg,Sy,Sg,Sy,Ty,1
Ty,Sg,Sy,Tr,Sy,Tg,Ty,Tr,Tb,Ty,1
Sr,Ty,Tg,Tb,Sy,Sy,Tr,Sy,Tb,Sr,1
Ty,Tb,Sg,Tb,Sb,Tg,Sr,Ty,Sr,Tg,0
Tg,Tg,Tg,Ty,Sb,Sb,Sy,Tr,Sy,Sr,0
Ty,Sb,Sy,Tb,Tg,Tr,Sb,Tr,Sg,Sy,1
Sb,Sr,Tg,Tr,Tb,Sy,Tb,Tr,Sy,Sb,0
Tr,Sy,Sr,Sg,Sb,Sb,Sy,Sy,Tg,Sb,0
Tg,Tg,Tr,Sb,Sb,Sr,Tb,Sb,Tg,Tb,1
Sb,Sy,Sy,Tr,Ty,Sg,Sy,Sb,Tg,Tg,1
Sg,Sb,Sg,Sg,Sy,Ty,Tb,Sr,Ty,Sb,1
Tb,Ty,Tb,Tg,Tr,Ty,Tg,Sy,Tb,Sy,0
Sr,Sr,Sy,Sr,Ty,Tr,Ty,Sy,Sb,Ty,0
Tr,Tg,Sy,Sr,Sg,Tg,Sb,Ty,Tr,Tg,0
Tr,Sb,Tg,Sy,Ty,Sr,Sr,Sb,Tb,Sb,1
Sg,Sr,Sy,Tb,Sr,Sg,Sy,Sg,Tr,Tb,1
Sg,Tr,Sg,Sb,Tr,Ty,Tg,Sy,Tg,Sg,0
Ty,Tg,Sr,Ty,Sb,Tr,Sr,Ty,Tr,Tr,0
Tg,Ty,Tb,Sg,Tg,Ty,Sy,Sg,Tb,Tg,1
Sr,Ty,Tb,Tb,Tr,Sy,Tr,Ty,Sb,Sb,0
Sy,Sr,Sr,Sy,Tg,Sr,Tb,Tg,Sy,Sg,1
Sb,Ty,Tg,Sr,Ty,Ty,Sy,Ty,Tr,Sb,1
Tg,Sr,Sg,Sg,Tb,Sb,Ty,Tr,Tb,Ty,0
Tb,Sr,Sy,Sy,Tr,Sg,Ty,Sy,Sr,Ty,0
Sr,Tg,Tb,Sg,Sg,Sy,Sr,Ty,Tr,Sr,1
Tg,Tg,Ty,Sr,Tr,Tr,Sb,Sb,Ty,Tb,0
Sg,Tb,Sr,Sy,Tg,Tr,Sb,Sy,Sb,Ty,0
Tr,Sr,Sb,Ty,Sr,Sg,Tr,Sr,Sy,Sr,0
Sg,Tg,Sg,Tb,Tr,Sg,Sy,Tg,Tr,Tg,0
Ty,Sy,Tg,Sy,Sb,Sg,Tb,Tb,Tr,Ty,1
Sr,Sb,Sb,Tr,Tg,Ty,Sy,Tr,Sb,Ty,1
Sy,Sr,Sr,Tr,Tg,Sb,Tr,Sg,Sg,Sg,0
Tb,Sg,Tb,Ty,Tg,Sg,Tr,Ty,Sy,Sr,0
Tg,Tr,Sy,Ty,Sg,Sr,Ty,Tg,Tr,Sg,1
Tg,Ty,Tg,Tr,Tg,Ty,Tg,Tr,Sr,Sg,0
Tb,Tb,Sb,Sb,Sb,Sr,Sy,Sg,Tr,Tr,0
Sg,Tg,Tb,Ty,Sy,Sy,Sg,Ty,Sr,Sy,1
Sb,Tb,Sy,Sr,Tr,Sy,Sy,Ty,Sy,Sg,1
Tr,Ty,Sb,Tr,Tr,Tr,Tb,Tr,Sy,Sg,1
Sy,Sg,Tr,Sb,Sb,Tb,Sg,Tr,Sr,Tg,0
Tr,Sb,Sb,Tr,Sy,Tg,Tb,Tg,Tr,Sy,0
Sb,Sr,Tb,Sb,Sb,Tr,Tr,Sy,Tr,Ty,1
Sg,Tg,Sg,Ty,Sr,Sr,Tr,Tr,Sy,Tb,0
Tb,Sy,Ty,Ty,Sb,Tg,Sy,Sy,Ty,Tg,0
Sb,Ty,Sy,Tr,Ty,Sy,Sr,Tr,Tr,Sb,0
