token_0,token_1,token_2,token_3,token_4,token_5,token_6,token_7,token_8,token_9,token_10,label
Tb,Cy,Tr,Cb,Sy,Cb,Cy,Cy,Sr,Ty,Cg,1
Sr,Sr,Tb,Sb,Tg,Tr,Tg,Tb,Ty,Sy,Cy,1
Tr,Ty,Tr,Cb,Tr,Cr,Cb,Tb,Cy,Cb,Sy,0
Tg,Tr,Cr,Sr,Sg,Sg,Cr,Sg,Sr,Cr,Sy,0
Tg,Cy,Sy,Sr,Tb,Cb,Tg,Cy,Cg,Tb,Sb,1
Sg,Cr,Sg,Cg,Cr,Tb,Cb,Cb,Tb,Tb,Cb,0
Cy,Sb,Tb,Tb,Cb,Tg,Tg,Tr,Cy,Tr,Tg,1
Tb,Cr,Tb,Tr,Cy,Cb,Sr,Tr,Sb,Cr,Sy,0
Tb,Tg,Tg,Sg,Sr,Sb,Sb,Sy,Tg,Sy,Cg,1
Cg,Sy,Sb,Cg,Ty,Ty,Cb,Tb,Ty,Cg,Ty,1
Cy,Cr,Ty,Cr,Cr,Sg,Sb,Tb,Sr,Tr,Sb,0
Cb,Cb,Sy,Ty,Sr,Cg,Cr,Tb,Tb,Sr,Cb,0
Tg,Sr,Cr,Ty,Cy,Cg,Sb,Cy,Cg,Tb,Cb,1
Sr,Tr,Sg,Tb,Cb,Cr,Sr,Tr,Sr,Tr,Tr,1
Sb,Sr,Cb,Tr,Tr,Sy,Cy,Tg,Tg,Sr,Sy,0
Sy,Ty,Cb,Tb,Sb,Cy,Cg,Cg,Sg,Cr,Cb,1
Tb,Sr,Cb,Cb,Cy,Cr,Cy,Cy,Tr,Sg,Cr,0
Sb,Sr,Tg,Cy,Ty,Sy,Tr,Sg,Ty,Sr,Sr,0
Tg,Cg,Sy,Cb,Cb,Sr,Cy,Sb,Sg,Cy,Ty,0
Sb,Cb,Sy,Ty,Tb,Cb,Tb,Tr,Sb,Cr,Cg,0
Tb,Sb,Cg,Tr,Tg,Tr,Sy,Sg,Cb,Cg,Sr,1
Cy,Sr,Sy,Cy,Tr,Tr,Tr,Cy,Cg,Cg,Tg,1
Sr,Tg,Cy,Tr,Cb,Cg,Cy,Sy,Cg,Tr,Tr,0
Tb,Cr,Sy,Ty,Cg,Cb,Cy,Sg,Cg,Sb,Cr,1
Cr,Cr,Sy,Tb,Sy,Tr,Sb,Cg,Tb,Sr,Ty,0
Tg,Cb,Sy,Cy,Sy,Tg,Ty,Cr,Sg,Cr,Sb,0
Tg,Cg,Sg,Cb,Cy,Sb,Sg,Cb,Tb,Sg,Sg,1
Ty,Cb,Ty,Cr,Cb,Tg,Cg,Tb,Cg,Tb,Cg,0
Sg,Sr,Cy,Ty,Tr,Cb,Tr,Tg,Tr,Sr,Cb,1
Sy,Ty,Cy,Sy,Cy,Cb,Ty,Cb,Tr,Sr,Cr,0
Ty,Sy,Tg,Tr,Cy,Sg,Tb,Sb,Sy,Tb,Tg,0
Cy,Sr,Tg,Cb,Tg,Sy,Sg,Tr,Cy,Sb,Cr,1
Sr,Tg,Tb,Cy,Cb,Cy,Cb,Ty,Cy,Cg,Tb,1
Cr,Ty,Sr,Cy,Cg,Cr,Tr,Tg,Tg,Cr,Cb,0
Tg,Sg,Cy,Cy,Sg,Tr,Cg,Cy,Tg,Cr,Cy,1
Tg,Sy,Sb,Cy,Ty,Ty,Sr,Cg,Tg,Sr,Tb,1
Cy,Tr,Cy,Cy,Cy,Tb,Cg,Sg,Sg,Sy,Ty,1
Ty,Tr,Cr,Sg,Tg,Cr,Tr,Sg,Tr,Cr,Cr,1
Ty,Cb,Cg,Cb,Sr,Cg,Ty,Sy,Cb,Tg,Sy,0
Sr,Tr,Sg,Cy,Cb,Sg,Tb,Cb,Cr,Ty,Cr,0
Tb,Sy,Cg,Cy,Sb,Sr,Sb,Tr,Cb,Tr,Sg,0
Tg,Cr,Sy,Cb,Sb,Tr,Sy,Cg,Sb,Sg,Tb,1
Cy,Sb,Sr,Sg,Sb,Ty,Cb,Sy,Cy,Sr,Ty,0
Cy,Sy,Cb,Tg,Tg,Cr,Sr,Sr,Cb,Cg,Sg,1
Sg,Tr,Cy,Tg,Tr,Sr,Sy,Tg,Sr,Tg,Cb,1
Ty,Tg,Sg,Cg,Sr,Sr,Cr,Cy,Sr,Tr,Tb,1
Tr,Tr,Sy,Tr,Tg,Tg,Tg,Cr,Sy,Ty,Sb,0
Sg,Cb,Cg,Sg,Tb,Cb,Tb,Sy,Tg,Tb,Ty,1
Tb,Cr,Ty,Cg,Ty,Sy,Sy,Ty,Ty,Cr,Sb,0
Tb,Sg,Cr,Sr,Sy,Cg,Cy,Cy,Sr,Tb,Cb,0
Tb,Cb,Tr,Tb,Tb,Cg,Sr,Sg,Tr,Sg,Tb,0
Tb,Cb,Ty,Cy,Cr,Cy,Cg,Ty,Tr,Cg,Tb,1
Sy,Tg,Cb,Tg,Sb,Sr,Tb,Sr,Sb,Cr,Sg,0
Tg,Tr,Tb,Cr,Tb,Cy,Tb,Tr,Cb,Sy,Tb,0
Cy,Cy,Tg,Cb,Tr,Cb,Cr,Sr,Tg,Tb,Sg,0
Tr,Sr,Tr,Tb,Cr,Sr,Cb,Cg,Tg,Sg,Sg,1
Cy,Cb,Sg,Tr,Sr,Cb,Tg,Cb,Sr,Cb,Ty,1
Sy,Tg,Tg,Sb,Cr,Sg,Tg,Cb,Tg,Tg,Cb,0
Cg,Sb,Cy,Tr,Sr,Cr,Cb,Tr,Ty,Cb,Sr,1
Sg,Sy,Tr,Cb,Tg,Sg,Tb,Tr,Sb,Sy,Cr,0
Sr,Cb,Tb,Cg,Cy,Sr,Ty,Sr,Sb,Sb,Sy,1
Tg,Cy,Sr,Tg,Sr,Sg,Sb,Cy,Sr,Cr,Cb,1
Sr,Tg,Sg,Sb,Sy,Tb,Ty,Ty,Cr,Sb,Sr,0
Cg,Tg,Cg,Tr,Tb,Cy,Cg,Cr,Tr,Tb,Cb,0
Sb,Tr,Sb,Ty,Tr,Sg,Cr,Sb,Sg,Cr,Sr,0
Sy,Tb,Tb,Tb,Tb,Sr,Cr,Ty,Sr,Tb,Tb,1
Sy,Ty,Cy,Sb,Sb,Sr,Cy,Sb,Sg,Sb,Sy,1
Ty,Cy,Tr,Sg,Cr,Cg,Tg,Tg,Ty,Tb,Sb,1
Sr,Sb,Cb,Cy,Ty,Sb,Cr,Tg,Cy,Sy,Tg,0
Tb,Sg,Tb,Sr,Ty,Tb,Cr,Cr,Sb,Ty,Cg,0
Sr,Sy,Ty,Ty,Sr,Tr,Cb,Cr,Sy,Tb,Sy,0
Cg,Cg,Cb,Cg,Sy,Sy,Tb,Sg,Tg,Tr,Sg,1
Sb,Sr,Ty,Sr,Ty,Sg,Tg,Cy,Sb,Sb,Sr,1
Cr,Sy,Ty,Sg,Sg,Cr,Tr,Sy,Cr,Sb,Tg,0
Ty,Sr,Sr,Cy,Sr,Sr,Cy,Tg,Ty,Tb,Cb,0
Sb,Cy,Tr,Cb,Sb,Tg,Cr,Tb,Tg,Cg,Sy,0
Tb,Cy,Tr,Sy,Sr,Cg,Sr,Tb,Cg,Sb,Tg,0
Tr,Sr,Sr,Cr,Sb,Cy,Tr,Cg,Sr,Tr,Sy,0
Cg,Tg,Tr,Tr,Sy,Tb,Sb,Sg,Ty,Tr,Cg,0
Ty,Tr,Sg,Sb,Cb,Tr,Sg,Cr,Ty,Sg,Tb,1
Sg,Cr,Cb,Cy,Cy,Sb,Tr,Cb,Cr,Sr,Cb,0
Sg,Tb,Ty,Ty,Tb,Tr,Cy,Sy,Tr,Cr,Sb,1
Sg,Sr,Ty,Tb,Sr,Sb,Cy,Cg,Ty,Cy,Tb,1
Sy,Cg,Ty,Sb,Sy,Sy,Cb,Ty,Ty,Cb,Sb,0
Cr,Sr,Tb,Sy,Tb,Sg,Sg,Cy,Cr,Cr,Sg,0
Ty,Tg,Ty,Sg,Sr,Cr,Sy,Tg,Tr,Ty,Cr,1
Cr,Cr,Tr,Sg,Tb,Tb,Sb,Tr,Cg,Tr,Sg,1
Sg,Ty,Sr,Sb,Tr,Sy,Sb,Sy,Ty,Sb,Cr,0
Sr,Sr,Tb,Tg,Sr,Ty,Tb,Tb,Sg,Sr,Tb,0
Tg,Tg,Cr,Sg,Sg,Sy,Tr,Cr,Cb,Cb,Cy,0
Cy,Cy,Tb,Cb,Sg,Cr,Tr,Cy,Tr,Cy,Sg,0
Sg,Tb,Tg,Tg,Cy,Sb,Sr,Sg,Cb,Cg,Tr,1
Sb,Tb,Tg,Tb,Cg,Tg,Sb,Sg,Sg,Cy,Tb,1
Cy,Sg,Cr,Tb,Sg,Cr,Ty,Cr,Tg,Tb,Tb,0
Sr,Cy,Sr,Sr,Tr,Sr,Cb,Sb,Cr,Sg,Cg,1
Sy,Tb,Tr,Cy,Sy,Sr,Ty,Ty,Cy,Ty,Sb,1
Tb,Sb,Tg,Tg,Ty,Ty,Tg,Cg,Cy,Cb,Sr,0
Ty,Sg,Tg,Cg,Cy,Sy,Cr,Sy,Sb,Sb,Sr,0
Sr,Sr,Cb,Cb,Tb,Cg,Tr,Tb,Cg,Sg,Sr,1
Cr,Sb,Ty,Sy,Sr,Sr,Tg,Tb,Cr,Cg,Cg,1
Tg,Cb,Tb,Tb,Tg,Cr,Tb,Sg,Cr,Cg,Sg,0
Cr,Cb,Cy,Sg,Tg,Sr,Cy,Sr,Cy,Cg,Sy,0
Cy,Sy,Tr,Cr,Sg,Sb,Cb,Cy,Cy,Tr,Tb,1
Ty,Tr,Sb,Tb,Tr,Tb,Tb,Sr,Sy,Tg,Sr,1
Cg,Ty,Tr,Cb,Ty,Tr,Tr,Tg,Cg,Sy,Tr,0
Sr,Cy,Sy,Sy,Tg,Sg,Sr,Sg,Cy,Sg,Cy,0
Sr,Tb,Tb,Tr,Cr,Cy,Sg,Sg,Sb,Tb,Cr,0
Sy,Tr,Ty,Sy,Sg,Cr,Sr,Tr,Tb,Ty,Tr,0
Sb,Tb,Cy,Sr,Sy,Cr,Sr,Tg,Cy,Cg,Cr,1
Cb,Cb,Sg,Cy,Sg,Cg,Ty,Cg,Ty,Cb,Sg,0
Cb,Tg,Cy,Tg,Sg,Sb,Cr,Cy,Cg,Ty,Cy,1
Cy,Sb,Tr,Sr,Tr,Tg,Sr,Sy,Cr,Tb,Sb,0
Tg,Sg,Sy,Sr,Tg,Ty,Tg,Cg,Cy,Cb,Ty,1
Cr,Tr,Cb,Sb,Sg,Cr,Cr,Sy,Ty,Sy,Cy,1
Cr,Tg,Tg,Sg,Ty,Sg,Sy,Ty,Cg,Tr,Sb,0
Tb,Tg,Tb,Tr,Tr,Tr,Cr,Tg,Sg,Cr,Tg,0
Ty,Sy,Sy,Cy,Cb,Tg,Tr,Sb,Tg,Tg,Ty,0
Cg,Ty,Tr,Cg,Sb,Ty,Tb,Cb,Ty,Sg,Tb,1
Cy,Tb,Cb,Tb,Tg,Sg,Tg,Sy,Cr,Sy,Tb,1
Tg,Cg,Tb,Sr,Cb,Cg,Tr,Cr,Sb,Tg,Sb,1
Ty,Ty,Sr,Sy,Tr,Sb,Sr,Sr,Sb,Sg,Cy,0
Cg,Cb,Tr,Sy,Tg,Ty,Sr,Sr,Sg,Tg,Cy,1
Sr,Cb,Tb,Cr,Sy,Cr,Sg,Sr,Sy,Sb,Tr,1
Tb,Sb,Cr,Sg,Sg,Tr,Tr,Tb,Cb,Cb,Cb,1
Sr,Tg,Cr,Tb,Sg,Cb,Sy,Sg,Ty,Sg,Cb,1
Ty,Sb,Cr,Cg,Tr,Sb,Sb,Cb,Sb,Tr,Tg,1
Cb,Sr,Cb,Tb,Sg,Sr,Cr,Cb,Tb,Tr,Ty,0
Sg,Cy,Tr,Sr,Ty,Sb,Cb,Sy,Ty,Cb,Sy,0
Cb,Ty,Sb,Cg,Sb,Sg,Tg,Ty,Cy,Cb,Sy,1
Sb,Sr,Cr,Sg,Cy,Cr,Cg,Sg,Tb,Sr,Sg,0
Tr,Ty,Tr,Sg,Cg,Sg,Sb,Ty,Cg,Tg,Sy,1
Ty,Sr,Sr,Cy,Sy,Tg,Sy,Cr,Cy,Cr,Cy,0
Cb,Tr,Sg,Sg,Sg,Ty,Sg,Sy,Tr,Tg,Sb,0
Cb,Cb,Cy,Cr,Sr,Cb,Sr,Cr,Sb,Sb,Tg,1
Cy,Tg,Sr,Sg,Tg,Sg,Sy,Tg,Cb,Cg,Cy,1
Sg,Cb,Cg,Cr,Cr,Ty,Cr,Ty,Tb,Cr,Cb,1
Sb,Ty,Tg,Sy,Cb,Sy,Cb,Ty,Cr,Tr,Sy,0
Tr,Sb,Sr,Tr,Sr,Sb,Sr,Cr,Cb,Sy,Sg,0
Ty,Cb,Cr,Ty,Sr,Cy,Tb,Cr,Sr,Tr,Tr,1
Tr,Tr,Cr,Tr,Ty,Cg,Sy,Tr,Tb,Tb,Tb,1
Cb,Tr,Cb,Ty,Sr,Sg,Sb,Tb,Cy,Cr,Tb,0
Sy,Tg,Cb,Cb,Sr,Sb,Sy,Sy,Cb,Cb,Sb,0
Tr,Sg,Sy,Sb,Cy,Sr,Cr,Sr,Sr,Sr,Sg,0
Cg,Tb,Tb,Sy,Sb,Ty,Tg,Cr,Sr,Cy,Tg,1
Sb,Sg,Tr,Cy,Cr,Cr,Cg,Tg,Sy,Sg,Tr,1
Cr,Cy,Cg,Cg,Tr,Sg,Tr,Tb,Tr,Cb,Cb,1
Cr,Tr,Sr,Tr,Tb,Sr,Cg,Cg,Sb,Sb,Tg,1
Sg,Sr,Sr,Tg,Tr,Sg,Tr,Tg,Tr,Cb,Tg,0
Sb,Cb,Sr,Sg,Cr,Sg,Cr,Sy,Sg,Cg,Tg,1
Sr,Sg,Sy,Sy,Tg,Sg,Tr,Tr,Tg,Sy,Sb,1
Tr,Cg,Sg,Cb,Cg,Cb,Sr,Cb,Cg,Cg,Tg,1
Cb,Tg,Cr,Ty,Cr,Cb,Cg,Cr,Cb,Cb,Tg,0
Cy,Sy,Ty,Sr,Tr,Ty,Sb,Cb,Tb,Tg,Tb,0
Cb,Cg,Sg,Ty,Tg,Cg,Cy,Tg,Sb,Sy,Sg,1
Sb,Cr,Tr,Cb,Tg,Sb,Sr,Sr,Tb,Sr,Sr,1
Cg,Tr,Sb,Sr,Sy,Cy,Sy,Cb,Cb,Sg,Sr,0
Cg,Cg,Sg,Cr,Cy,Tg,Tg,Tb,Sr,Cg,Sr,0
Cy,Sb,Tg,Sr,Tr,Cg,Tg,Sg,Cb,Tr,Cg,0
Cy,Sb,Ty,Sb,Cg,Cg,Cg,Sr,Cy,Tb,Ty,0
Tr,Cr,Tg,Tg,Sr,Tg,Sy,Ty,Sr,Sg,Cy,1
Sb,Sy,Sg,Sy,Cg,Ty,Cg,Sg,Cy,Cy,Tb,1
Tg,Cb,Cr,Cr,Cy,Sg,Tb,Cg,Tr,Cb,Cy,1
Sb,Tr,Tb,Sb,Tr,Sy,Cy,Tb,Cb,Sy,Cg,0
Cb,Tr,Sy,Sg,Cr,Ty,Tg,Tr,Cy,Cy,Sg,0
Sg,Tb,Tb,Sg,Cr,Sr,Sr,Sy,Cr,Cy,Ty,1
Sy,Cr,Sy,Sr,Ty,Cg,Sb,Cy,Sy,Ty,Sg,1
Cr,Cr,Sy,Tr,Cg,Tr,Cr,Sg,Cy,Tr,Sb,1
Sr,Cy,Cy,Ty,Sy,Sr,Cy,Cb,Tr,Tr,Sr,1
Sr,Cg,Sg,Sg,Cy,Tr,Cy,Cg,Sr,Tr,Tb,0
Cr,Tb,Tb,Cr,Cy,Cg,Tr,Ty,Cr,Cg,Sr,1
Cg,Ty,Cb,Sg,Cb,Cb,Cg,Sb,Tb,Sr,Tb,0
Sb,Tr,Ty,Tg,Cb,Ty,Tb,Sy,Cy,Ty,Sg,0
Sy,Sr,Cy,Sy,Tg,Sg,Sy,Cg,Ty,Sr,Ty,1
Sr,Cb,Tr,Cy,Tg,Cy,Cg,Cr,Cg,Cg,Cb,0
Sy,Cg,Sy,Tg,Cb,Cy,Tg,Sy,Ty,Sb,Sg,0
Tr,Tb,Sr,Cr,Cb,Sb,Tb,Tr,Cr,Tb,Tb,1
Tr,Cy,Sb,Tr,Cy,Cb,Ty,Ty,Cy,Ty,Cg,0
Tb,Cg,Tg,Cb,Cb,Tg,Cr,Cy,Tr,Tb,Sb,0
Sb,Cg,Cr,Tr,Cg,Sb,Tb,Sr,Sb,Sg,Sr,1
Cb,Tb,Tb,Tg,Cy,Cr,Sy,Sy,Sg,Cy,Sg,1
Sr,Cr,Cb,Cr,Cg,Sb,Sy,Cg,Sb,Sr,Sr,0
Tr,Cr,Cy,Sy,Cb,Tg,Sb,Cb,Sr,Ty,Tr,1
Tg,Ty,Sy,Sy,Cb,Tb,Tg,Sb,Sr,Cy,Sr,0
Cg,Sy,Sr,Cb,Tr,Tr,Sy,Sr,Sg,Ty,Sy,0
Cg,Sg,Cy,Tg,Tr,Cr,Tg,Cr,Ty,Sg,Ty,1
Ty,Cb,Sy,Sr,Sy,Cb,Tr,Cy,Cb,Tb,Tr,0
Ty,Tg,Cb,Tr,Ty,Sb,Sb,Tb,Ty,Cb,Cg,0
Sb,Ty,Tb,Sr,Cy,Tr,Tg,Cr,Sr,Sr,Sr,1
Ty,Tg,Tb,Cr,Sg,Tb,Cb,Sb,Sg,Cr,Sr,0
Ty,Sb,Tr,Cg,Sb,Ty,Sy,Cy,Cb,Sy,Tb,1
Sy,Sb,Sb,Ty,Cg,Ty,Cr,Cg,Sy,Tg,Sg,0
Sg,Sb,Tb,Cy,Tr,Sb,Cg,Cr,Tb,Ty,Tr,0
Tr,Cy,Cb,Cy,Cr,Sy,Cg,Cy,Tg,Cg,Tb,1
Tb,Sg,Tg,Tg,Cg,Cy,Tr,Cg,Cg,Cb,Cr,0
Cy,Ty,Cy,Tb,Sg,Tb,Sg,Cy,Tg,Cr,Ty,1
Sg,Cb,Tr,Cr,Tb,Cy,Ty,Sb,Cg,Cb,Sy,1
Sr,Cb,Tb,Cb,Tb,Sg,Cb,Tg,Ty,Tr,Cr,0
Ty,Tb,Cr,Cy,Cb,Sr,Cb,Ty,Sb,Tb,Cr,1
Cg,Ty,Sg,Cg,Sy,Sg,Cg,Sb,Sb,Cy,Sr,0
Tg,Sy,Sy,Tb,Cb,Cr,Cg,Cy,Sg,Tr,Sb,0
Ty,Cg,Cb,Tg,Tr,Cy,Sb,Cr,Tr,Tr,Sr,0
Sb,Sr,Cb,Tb,Cb,Sb,Tg,Cg,Sy,Sg,Sb,0
Cr,Tr,Sy,Cg,Cg,Sy,Ty,Tr,Ty,Cb,Sr,1
Cg,Cb,Cg,Sy,Cy,Sg,Tr,Ty,Cy,Sy,Sr,0
Tr,Cy,Cg,Sb,Sb,Cr,Sr,Tg,Sg,Sy,Cb,0
Tg,Tr,Sg,Sr,Tg,Tb,Ty,Sb,Ty,Ty,Cg,1
Sb,Sg,Cy,Sy,Cg,Cr,Sy,Cr,Sg,Cr,Sy,0
Sg,Sg,Sb,Tg,Cr,Cr,Ty,Ty,Cy,Cr,Tb,0
Sy,Tg,Cg,Sg,Sb,Sr,Cg,Ty,Cg,Cr,Cb,1
Sg,Tg,Cr,Cg,Cr,Cr,Tr,Sg,Tr,Sr,Tg,0
Ty,Sr,Cg,Cy,Cr,Sg,Sb,Tg,Sb,Sb,Sy,0
Tr,Cr,Sg,Sy,Sr,Cb,Ty,Sb,Ty,Sr,Cb,0
Cy,Sg,Cg,Cr,Sg,Cb,Sg,Cg,Cy,Tg,Cg,0
Sg,Cg,Cb,Tr,Sb,Ty,Tr,Ty,Cy,Ty,Ty,0
Sy,Tr,Ty,Ty,Sb,Sr,Sy,Cb,Cg,Sg,Cy,0
Ty,Sr,Cg,Tg,Sg,Sy,Cr,Cr,Sr,Sr,Cg,0
Ty,Cb,Cr,Tg,Sy,Sg,Sb,Cb,Cg,Cb,Cr,0
Tr,Cy,Sy,Cr,Tr,Sb,Tr,Cy,Sg,Cg,Sr,1
Sb,Cr,Ty,Tg,Cy,Ty,Sg,Cb,Tb,Tg,Tb,1
Sr,Sr,Sg,Sg,Tg,Sb,Sb,Cr,Tg,Tg,Tg,0
Sb,Tr,Ty,Tr,Tr,Ty,Sr,Cr,Tr,Sr,Tr,1
Cr,Tb,Sb,Sr,Sg,Sg,Tg,Sg,Tr,Tg,Tb,0
Tr,Cy,Cr,Cr,Cb,Sr,Sy,Cr,Cb,Ty,Sr,0
Sy,Cg,Sb,Sb,Sy,Cb,Tr,Cy,Cb,Tb,Sr,0
Sg,Sr,Tg,Tg,Sb,Ty,Cr,Cy,Tg,Tb,Cb,1
Tb,Cb,Cb,Cy,Tb,Cb,Cy,Tr,Tb,Sy,Sb,1
Sr,Sy,Sr,Cg,Ty,Tb,Cr,Tr,Cy,Tb,Sy,0
Tg,Sb,Cg,Sy,Cb,Tr,Tg,Sb,Cr,Sy,Tr,1
Cg,Cy,Cr,Tg,Cr,Tg,Cr,Ty,Tg,Cg,Tg,0
Sg,Tb,Tg,Cg,Sg,Sr,Sr,Cr,Cr,Sb,Sy,1
Sg,Tr,Cg,Cg,Tg,Sb,Cr,Sg,Tb,Cb,Tg,1
Cr,Cb,Ty,Sr,Sg,Sb,Tb,Cg,Ty,Sg,Sy,1
Sy,Sb,Cb,Sy,Ty,Cr,Tg,Cg,Cb,Sr,Tg,1
Cb,Cy,Cr,Tr,Ty,Sb,Cg,Sr,Ty,Cg,Sg,1
Tb,Sg,Sb,Cb,Tr,Cg,Ty,Cg,Tb,Sg,Tb,0
Tr,Sy,Ty,Sr,Cg,Sb,Tg,Sb,Cb,Cb,Cb,0
Tg,Tr,Sr,Sg,Cr,Sy,Ty,Cy,Cy,Sy,Sy,0
Cb,Tr,Tb,Cg,Tr,Sy,Cy,Sb,Tg,Cb,Cb,0
Tg,Cg,Cg,Sy,Cb,Cg,Tg,Cy,Sy,Tb,Cb,1
Sb,Sg,Cy,Sy,Cb,Cb,Sb,Tb,Cy,Cb,Cg,0
Ty,Tb,Cr,Sr,Sr,Tb,Cg,Sb,Cb,Cr,Cr,0
Cy,Tb,Sy,Sy,Tg,Tb,Tg,Tg,Sr,Tr,Tr,0
Tb,Sb,Cg,Sb,Tg,Sy,Sy,Cr,Sg,Tr,Cy,0
Sr,Tr,Sb,Sy,Cg,Sg,Cy,Tg,Ty,Cg,Sg,1
Sy,Tb,Sr,Tg,Cb,Sy,Tr,Cr,Sy,Tr,Tg,1
Sr,Ty,Cg,Tg,Tb,Tg,Tr,Cb,Tr,Sy,Sg,1
Cy,Cb,Sg,Sb,Cg,Sg,Cr,Cr,Cg,Cy,Cg,0
Tg,Sr,Sg,Cr,Tg,Tr,Tr,Tb,Tg,Sb,Cy,1
Sy,Cb,Ty,Cb,Tb,Ty,Cg,Ty,Tr,Cr,Cy,0
Sr,Cy,Cb,Tr,Tb,Sr,Cg,Tg,Cg,Sg,Cb,1
Tb,Sr,Cy,Sg,Ty,Sy,Cy,Cg,Tb,Cy,Sr,1
Tb,Tr,Sr,Cb,Sb,Sy,Cg,Sb,Sr,Sb,Cb,0
Sr,Tg,Tb,Tr,Cr,Tr,Cy,Tr,Tg,Tr,Ty,1
Tg,Tr,Ty,Tr,Cg,Sr,Tb,Cb,Tg,Cr,Sb,1
Cb,Cy,Sg,Sr,Cb,Tg,Cb,Ty,Cg,Cr,Sy,0
Cr,Tg,Cy,Sb,Tg,Ty,Sg,Tr,Sy,Cy,Sr,1
Tb,Sg,Sg,Tr,Sy,Tg,Ty,Tr,Cy,Tb,Sy,0
Sr,Sb,Sg,Tr,Sb,Sr,Sy,Tb,Tb,Cr,Tb,1
Sy,Cr,Sr,Cg,Tb,Tb,Cb,Tb,Tr,Tb,Ty,1
Sr,Sr,Ty,Sb,Tr,Cy,Cg,Ty,Cg,Sb,Cy,1
Cy,Sg,Cr,Tb,Cy,Cy,Tb,Cg,Cy,Sg,Sr,1
Cy,Sy,Ty,Sr,Sy,Cy,Cg,Sg,Cb,Sr,Sb,1
Tb,Sr,Tb,Sg,Cg,Cr,Sy,Ty,Tr,Tb,Tr,0
Cr,Cr,Cg,Cy,Sr,Cg,Tb,Sb,Tb,Tb,Cr,0
Cg,Cy,Sr,Cr,Sb,Cr,Tr,Sg,Tb,Cr,Sb,0
Tr,Tr,Tb,Sy,Sg,Tr,Tb,Cy,Cy,Tr,Cr,0
Cb,Cg,Cb,Tr,Cy,Tg,Cr,Cy,Sr,Sb,Tr,0
Ty,Tg,Tb,Tg,Sy,Ty,Cy,Ty,Cy,Ty,Cr,1
