store_id,date,sales_revenue_usd,lag_sales,avg_roas,roas_std,current_policy_budget,performance_budget,equal_budget,hybrid_budget,perf_change_pct,hybrid_change_pct
129,2001-03-12,514401.85,520154.71,,,14351.858399574012,,14123.60378811983,,,
130,2001-03-12,506284.3,500355.88,,,13805.578611706209,,14123.60378811983,,,
131,2001-03-12,538913.53,475635.65,,,13123.509923786607,,14123.60378811983,,,
132,2001-03-12,561873.41,501644.68,,,13841.138560986243,,14123.60378811983,,,
133,2001-03-12,483797.85,559916.88,,,15448.957056048332,,14123.60378811983,,,
134,2001-03-12,515031.2,497925.39,,,13738.517701459754,,14123.60378811983,,,
135,2001-03-12,503983.36,482611.73,,,13315.990565448199,,14123.60378811983,,,
136,2001-03-12,529232.49,504017.12,,,13906.597783573088,,14123.60378811983,,,
137,2001-03-12,514789.11,522725.7,,,14422.795918195578,,14123.60378811983,,,
138,2001-03-12,496133.35,524411.26,,,14469.303078428706,,14123.60378811983,,,
139,2001-03-12,505631.69,520501.42,,,14361.424655016965,,14123.60378811983,,,
140,2001-03-12,512857.5,527201.41,,,14546.287554285074,,14123.60378811983,,,
141,2001-03-12,508300.62,490409.69,,,13531.14812448586,,14123.60378811983,,,
142,2001-03-12,500486.22,517172.74,,,14269.581318603663,,14123.60378811983,,,
143,2001-03-12,502257.32,489454.07,,,13504.781117400986,,14123.60378811983,,,
144,2001-03-12,504915.16,527923.15,,,14566.201456980118,,14123.60378811983,,,
145,2001-03-12,499897.36,506238.45,,,13967.887651771582,,14123.60378811983,,,
146,2001-03-12,534349.4,541582.57,,,14943.085599123728,,14123.60378811983,,,
147,2001-03-12,495769.86,503874.11,,,13902.651920486078,,14123.60378811983,,,
148,2001-03-12,528827.63,522696.42,,,14421.988038528507,,14123.60378811983,,,
149,2001-03-12,522567.56,509929.31,,,14069.724084421881,,14123.60378811983,,,
150,2001-03-12,512982.03,513129.82,,,14158.031015885448,,14123.60378811983,,,
151,2001-03-12,519523.09,507381.18,,,13999.417307917432,,14123.60378811983,,,
152,2001-03-12,533796.35,511605.79,,,14115.980713665358,,14123.60378811983,,,
153,2001-03-12,517193.85,527830.03,,,14563.632134760257,,14123.60378811983,,,
154,2001-03-12,528796.16,508608.15,,,14033.27127359723,,14123.60378811983,,,
155,2001-03-12,499367.22,512956.88,,,14153.259338644224,,14123.60378811983,,,
156,2001-03-12,534519.1,501611.7,,,13840.228592700043,,14123.60378811983,,,
157,2001-03-12,530186.66,522714.24,,,14422.479719391458,,14123.60378811983,,,
158,2001-03-12,507868.96,527225.77,,,14546.959683680217,,14123.60378811983,,,
159,2001-03-12,516526.88,540316.45,,,14908.15142548745,,14123.60378811983,,,
160,2001-03-12,499258.11,531325.53,,,14660.078288320437,,14123.60378811983,,,
161,2001-03-12,527712.86,505620.33,,,13950.832782242582,,14123.60378811983,,,
162,2001-03-12,505303.88,526778.1,,,14534.607788510917,,14123.60378811983,,,
163,2001-03-12,544867.34,525036.85,,,14486.564056602274,,14123.60378811983,,,
164,2001-03-12,470584.16,504198.98,,,13911.615577160972,,14123.60378811983,,,
165,2001-03-12,512539.13,520299.81,,,14355.86192893507,,14123.60378811983,,,
166,2001-03-12,484431.87,508316.06,,,14025.2120669048,,14123.60378811983,,,
167,2001-03-12,511267.85,526363.55,,,14523.169724440437,,14123.60378811983,,,
168,2001-03-12,519834.93,549103.26,,,15150.592857775857,,14123.60378811983,,,
169,2001-03-12,492800.72,522057.66,,,14404.363680053868,,14123.60378811983,,,
170,2001-03-12,504295.52,525533.89,,,14500.278145049007,,14123.60378811983,,,
171,2001-03-12,491173.82,480833.63,,,13266.930086076049,,14123.60378811983,,,
172,2001-03-12,509349.96,509412.45,,,14055.463132074832,,14123.60378811983,,,
173,2001-03-12,491830.36,502148.17,,,13855.030614728486,,14123.60378811983,,,
174,2001-03-12,524776.88,495833.03,,,13680.786311425947,,14123.60378811983,,,
175,2001-03-12,487845.43,514895.72,,,14206.754878729653,,14123.60378811983,,,
176,2001-03-12,533901.42,556553.78,,,15356.164019561924,,14123.60378811983,,,
177,2001-03-12,511763.83,511210.09,,,14105.06274972207,,14123.60378811983,,,
178,2001-03-12,489425.32,498555.02,,,13755.890149368808,,14123.60378811983,,,
179,2001-03-12,539984.32,485181.29,,,13386.888628198049,,14123.60378811983,,,
180,2001-03-12,495739.2,507029.48,,,13989.713370796244,,14123.60378811983,,,
181,2001-03-12,526505.79,522522.25,,,14417.182423719303,,14123.60378811983,,,
182,2001-03-12,522740.31,498766.56,,,13761.726859231238,,14123.60378811983,,,
183,2001-03-12,514282.57,499371.21,,,13778.410071003562,,14123.60378811983,,,
184,2001-03-12,536565.58,515570.7,,,14225.37860201103,,14123.60378811983,,,
185,2001-03-12,476264.4,508554.09,,,14031.77967609717,,14123.60378811983,,,
186,2001-03-12,532854.26,513708.98,,,14174.010919846514,,14123.60378811983,,,
187,2001-03-12,520153.25,512144.76,,,14130.851714490514,,14123.60378811983,,,
188,2001-03-12,501495.42,508114.3,,,14019.6452020951,,14123.60378811983,,,
189,2001-03-12,508052.01,512472.46,,,14139.893455163285,,14123.60378811983,,,
190,2001-03-12,524528.54,492249.27,,,13581.90493042671,,14123.60378811983,,,
191,2001-03-12,504901.98,539396.48,,,14882.768056043662,,14123.60378811983,,,
192,2001-03-12,493925.51,525203.08,,,14491.150594753128,,14123.60378811983,,,
193,2001-03-12,515388.83,530254.64,,,14630.530806876848,,14123.60378811983,,,
194,2001-03-12,513276.15,549257.13,,,15154.838364755775,,14123.60378811983,,,
195,2001-03-12,482849.93,528772.04,,,14589.623621275841,,14123.60378811983,,,
196,2001-03-12,533048.67,520806.07,,,14369.83041118407,,14123.60378811983,,,
197,2001-03-12,494468.88,489883.59,,,13516.63222650617,,14123.60378811983,,,
198,2001-03-12,522208.18,505224.26,,,13939.90460943738,,14123.60378811983,,,
199,2001-03-12,536735.34,510633.97,,,14089.1667239778,,14123.60378811983,,,
200,2001-03-12,514656.68,514427.3,,,14193.830459547658,,14123.60378811983,,,
