id,sym_seq,default_flag
65,DD1BBBDDACADA1CCADCC,0
66,AD12C2D1BA2BAAA12D1B,1
67,1BADBD1A22AA1CBA1DDD,1
68,B1CA1CCC2121AAA11DDD,1
69,D122BAA22CD21CD2A2C1,0
70,CCA12BA2B2ACAB2ABBDB,0
71,2DDA22DCD1DDD2DAA22C,0
72,1B22122221DDBCC12212,0
73,CDCAA2CDADCDCB22DC11,1
74,B222BCD2B1A1DB2D1D22,1
75,CBA11BDACDBC1BDBCD1D,0
76,2B2ACDC2CB1DDB2121D2,0
77,A1B22BACDA1C2BA1D2BB,1
78,CDCC22AB1BD12ABAC21A,0
79,12CC1A1C2B2BBBCCDC2C,0
80,2AAC211CB2C1BAB222DD,1
81,2CCADA221D2DDBBB1BB1,0
82,DA1ACCDBDABB1A1BCCCB,0
83,D2ADCD2C1DBB12BBAA1C,1
84,222ACAC2A1DCDCCCCA11,1
85,AA1C1BBC11C22DCB21B1,1
86,CB2BDCACBDC1DBCC1B1A,1
87,DDDDBDA22212DCDC2DA2,1
88,22AC1C211AA2A1CB21B2,0
89,BC1D2ADB2CB2BC12BBAC,0
90,D21DACC21CDB2222A2CC,1
91,BA2DAADABC1BDBCBD2C2,1
92,11111DDBA12CA2DA1B2D,0
93,1C11ADC22CCDBDA1D2DA,0
94,DADCA1D1DA2B12121D2C,1
95,12AB22D1BC1DB12DC11A,1
96,B1A2BBA11A1ABC2BAAB1,0
97,2CADACAAC21AABC1ACC2,1
98,AC11C2111B2ADBD1DAA2,0
99,1C21112DD2BD1C2CB2D2,1
100,12CB1BD2DB11DDBBCC1D,0
101,2CCCC1BB2B2ABC1BBAA1,1
102,BCAA2ACDC11D1DA1BDD2,0
103,B21A22CBA1DDBD2A2BCC,0
104,D2121DA2B2CD2DAC1BDA,0
105,1A1CBD21BCBBD1BC2BB1,1
106,DBDC2CB1C1DDDCA1BB1C,1
107,C22DBCC21DC11BA2AAD1,0
108,BD1212BB12B2C2AAABDA,0
109,DAC1BACCCDAB1111D2BA,0
110,1C1ACDA22C2D2CAC111C,0
111,DDB1A22BBD1B121ACDDC,0
112,1CD22221ADCA222C11C2,1
113,CCDBCADCCDDBA111AA2D,0
114,D12B222A112CBA2BA2D1,0
115,DB1CCAA21DBC12122DAC,0
116,1BACDB2ACC22CD112A12,0
117,BCDD2ABADDAB2B1D2BCD,1
118,D2ACB22BCDD2C2C1BDBA,0
119,21BD2CB22B22CCAC11A2,1
120,DC1CA2AAC1BDDDD22BAA,0
121,21DCCA2CAC2ADACBA121,1
122,BA11D2D12B2CBCD2AAAC,0
123,BDDBB1ADACB21C2BADBA,0
124,DC1AB2CBDCBDD2BCBA1D,0
125,22DBBCD1DCA22ACCCC1D,0
126,1AB212221CDCC222A2D1,1
127,B1AC1CDB1DABBAADD1DB,0
128,D121BA1B2BC1CDDCA1DB,0
129,11DAB1ABDAC1DBAAD12C,1
130,CC2BDBBBB2CA1AC1AAC1,1
131,BD212CCBBADCD1D2CBAC,1
132,112111C1B211DDCB12A1,0
133,2ACD2C2ABABA122AACBD,0
134,2BC21DBADABCBCBBC22D,1
135,12A222C11C1A22CAAA1A,0
136,AC112221DABDA11DDBBB,1
137,DBACABACC2221A21DBBC,1
138,CD1AB1BCBD2A2C2DCB1B,0
139,12BC112AC1AAADDC22BC,1
140,AAC12CADCBAA2CBDC2D2,0
141,BBCBCDBBCBABB1C22BCC,0
142,1BDB1AABDBB2211CCDAA,1
143,A2A22B1D111D2CC2AABC,1
144,BAD2BA1D1AC1CA2BD1DC,1
145,2CCA2AABB12C2DBDA2BC,1
146,AD2BAC2BAB12BAA21DCD,0
147,1A2C1DBD1DCA2112A1AD,0
148,AD2C2DD2CD11C2AB1BD1,0
149,1B1B2BA2A1DC22BA2BAD,1
150,CCBDBDD11BC1BBC21A2D,0
151,2CCA1B12222BDD2D2CBC,1
152,1AA21BDD12A221BCB2CC,1
153,C2A1B1AC12AD2BBA1BDA,0
154,D1A12B2212B2BDCBBDC1,0
155,11CD12C1C11BBCDD122B,1
156,CBAACCAADDD1BDDBD221,1
157,21B22CDBB2A21C2AD1BC,1
158,CDDADDDACAAA2B2DD1CD,1
159,1A2AD111C2DDBD1AAA2A,0
160,C1AACBACCD2BA121DCCA,0
161,1BBCADD12B12C22B21BB,1
162,CAAADAD2C1DCDC2B2ABC,1
163,A1BABB2CDA1ADBA2CDA2,0
164,1A2DBBCBCDCB1BBDD121,1
165,D2121C2BCCB21BCA1CBA,1
166,ABABADDDAAD22ACDCAA1,1
167,DA1ABC1D1AC12CC21AC1,0
168,2A1DAABBBB12CDDBA1C1,0
169,CBD2ACB21D2CDB12DCAD,1
170,1DBA22BAA2C1ADC2AAB2,1
171,122D221A11CA11B2CBD1,0
172,2DCBB1ACC1A1AA12BAAA,1
173,2BCD2CCC1CC2A1DCDDDC,1
174,AC2ABCD2A1DBBC21DDAC,1
175,ACAAC1BDCDDC2BCD1ACA,0
176,BBDBAD2DDA1DCBB2C1BD,0
177,B2D2A1ABBCB1DAAABCCB,1
178,A122AB2C2DA1D2CBBC1D,1
179,DCCCDAC2BBACA1AAACA2,0
180,ADB212BA2BDACA2CBDBB,0
181,1B1CBABAADB2ADB22AAC,0
182,2CA1A11A22ACB2CDBCBA,1
183,21B1ABBCABCC2DD2CCCD,0
184,C2DCD11DD211DCBAB1CB,0
185,DD1BABC1AC2ABADAACCC,1
186,21C1D12121A1CBA1A1DA,0
187,DCACBDDCC1AC2DBAAB2C,0
188,2D112C112AC21ABCD1DA,1
189,12DB1BAD1AABDB2A2ACC,1
190,B2D2BD2CCAB1ABCBA2B2,0
191,CABBCDAAB1A1DBBC2AA1,0
192,12AA1A12B222CADBCB21,1
193,1A2CACB2AB1BBBBB121C,1
194,BDADCABCBBB1D1CB2BC2,0
195,1ABD11DDADDB111BBDBB,0
196,DDA12D2C1BAAAD1BC2D1,1
197,22212C1BDAABAABDCBBB,0
198,C11BBA2BAD2CDDCCADC1,0
199,CDAA2DBBC1CAB1CAB1BD,0
200,DBCBAA1D2CC22DDCDCCB,0
201,DDAC11DCBDBBADBDBDB2,1
202,22B1CA2DBD222CD12D1C,1
203,A2BAABBC2A2D1CB2ACCC,0
204,1CAC2A111D2AD2C2DCCA,1
205,B2CBCAC12ADAC2BB22A2,1
206,AC1B1DABADD22D1AC111,0
207,DD11B1BA121ACA22CB1B,1
208,212CCCC2B1B1A22DCCD2,1
209,2D1BBDB1AC1B2212D1CC,1
210,AB2B12ABCCADD1BADCCC,0
211,2B21D1DBDAAA2ABB12AA,1
212,2CDAAA2BAABD1DBDBDAA,0
213,2CC22CCD1BCAD21BCCDC,1
214,C1B1CB111BDD1C1CBD11,0
215,ADB1DB1D2AA22D221DB2,1
216,ACC2BD1BAA222AC2D12C,0
217,BDCDA21AB12D22BAD211,1
218,BACD21ABBBBA1B2C1DBA,1
219,B22BBCC1AD2CBB12CC1C,0
220,B2DB1A2D1ABCD2C1ACBD,0
221,112AB1212DBCCADCDBAA,1
222,B111BCA2A1B1BABDCA1A,1
223,21ABDDDBAD1B2A1A12BD,1
224,AD1CDADDC2A11BA2DB2B,1
225,B2ACD1BB1ADAAD1DD2B1,0
226,C1CCCD12ABDCBADCDDAC,1
227,DD11BADA1BDCBD2BABD1,0
228,1DDC2CD1A112BBC2DA2C,0
229,DAAD22212CCDCD1AA2CA,0
230,CBAD2B2DBCD22DDACCAD,1
231,B121DBBDABC2DACAB2CC,1
232,2BBC2D1DB1D1ABBCC2C1,1
233,1ABAA2C2D2B2CC21DAB1,0
234,B1DB2CA11CCACB2BB2D1,1
235,C22211DB1AABC2ADA11B,0
236,DC2AA1DB2ACB2CDAAA22,0
237,C1CC2DDBCD22BDB1C1BA,0
238,D2CBCD1BB2A1BBA211C2,0
239,AA2CCAB2B2BCBA2BCA1A,0
240,2BD1C22BCAA1CA21C1DD,1
241,CBD22CCDA111DADBD1DC,1
242,22ACB1B22CACB1BB11DA,0
243,BC1122CDCDB1A2B2DD1C,1
244,1DABA12DDAA1D1B2CB1C,1
245,12C2211C11C11211D1C2,1
246,1D12CB2CADBCDAC1BCDC,0
247,AC1DABA1BAD22CBBBC11,1
248,BD1CDCDDB11D1DDDCA2D,0
249,DBB22CC2CCCB21211BBB,1
250,B2A1B12CBB2B1D2BD1BA,0
251,1AABCCDBDDDBDB1DACDB,0
252,BDBCB2ABD1ACA1DBCAB1,1
253,DAABCA11ADA21B1A1DA2,0
254,DC2B1CAB1AAA2D2B112A,0
255,DC211ABCCBACAAAABDB1,1
256,C21D221DAD221CBCC21C,1
257,2ACAA22D1D2AA2DDC2D1,1
258,DBA2DDBB11CA121A1ADB,1
259,ADC1AB12BBAAC1BC1DCD,0
260,2C1CDDDBCCAABDA11BCD,0
261,DB2AA1A1D2BBCB2B11A1,1
262,2C1A2DADACBD1DC1A2AA,0
263,ADC11DBC12C1DBDCBDCD,0
264,A1CCBADCADB21DA2DBCA,0
265,BBCC2CADADAB2BCDBDB2,1
266,CAAB11BB21CBD1C11A1B,0
267,AA12AADB2CDCCBCB11D2,0
268,DDA2BAABB212BBCCA21A,1
269,C2D12BA1AD22DBCADDDD,0
270,CCAA2111D21221AADDB1,0
271,DBD2DA2CA2BBD2BA1BC1,1
272,D1BBA21A12C11BB22BAC,1
273,B2D2D11D1BDCD1D1D2CA,0
274,B112DDBB1A1CBAAD1C21,1
275,DC1AA2D22BBC2121DDCC,0
276,C2DDDB2B2D1D2ABCCC1C,1
277,11D1DDBABCAC1AC1D1D1,1
278,CBBB111CD21AA2DA1DCA,0
279,C21AC2ADBCD2CCBCB222,1
280,ABA22BB121AA22CAAA12,1
281,CBBDDBDABA2A12D2C1AC,0
282,C1DD12CCACCCDCCBCB2C,0
283,D2BBBDD2BDBDC11ACD12,0
284,BB1AAABB11CDAD1A21AB,0
285,1CC2B2CDBB1B1BCCAA1B,0
286,BC1CA2B1DBDACADB11B2,0
287,1AA212ADDD1222AADD2B,0
288,DBAAADCC1D22CDDA1112,0
289,D1DCCBDBDCBBD22D2C2C,0
290,AB1CCDDCBB1D21BC1A2D,1
291,2DD2CD2D1C1DB22DCB1D,1
292,CCB222A21ACCAA112CA2,0
293,CBDACC1BACB21C1BB122,1
294,CA2ADDBABDD21D11ADA1,1
295,D1D2DD1BC22CC1DCC1A1,1
296,CCBBCB21DAAB1A22D1C2,1
297,11DBAB1DB2BAAD12B2A2,1
298,B1A2A1C2ACAACAA1C1BC,1
299,ADCB1C21CBAA2B1DD2DB,0
300,BBCADCBBCCDBDD21D12A,0
301,1ACBAACCABBA1212ACDC,1
302,BDCBDD21C112B1BA2A1C,1
303,1B21DB2B11A2211CC22A,1
304,1B22DDDB1B21DA212C1A,0
305,1A22A2D2CD2DACC1DCBC,0
306,B2AC1D2CA1DADD21A122,1
307,2BA2222A22B21CAD21C1,0
308,1AAAC1B2C2AA11C1B1DC,0
309,2ABD2C21ACCCDACAA1DA,1
310,1C211D1CAADBDC2B1AAA,0
311,ABDD2D21A21B2BBBB11A,1
312,122D1DDBBA11ACD1D1BB,0
313,DAABDDD2C1ACA1ADCD2B,0
314,DD1AABCADCB2B21BAAAB,1
315,12DBADAC1ABBBC12A22A,0
316,BDC1DB2A12CDCCC2D2AC,0
317,BABD11A21B2ABBCDCDBC,0
318,DA2B1AA1C1C21BC211DC,0
319,B21BBDABC1121ADCD2DC,0
320,BACD2B2C1A12A2C2BABA,0
321,2CCA2ABBCCD2D11122DB,0
322,ADADBAAAC12D1A1DBD2B,1
323,BBB2BDAC1BC1BDCA211B,1
324,A1CAACADCBAADB1D2B2C,1
325,1C2BB11DCBB1A2DD1A2B,1
326,212A2A11BDC11CDCDC2D,0
327,D22ADAA1B2DD11112A22,1
328,AB1A1CD12121AB122BC2,0
329,A22CCA2DDDDADABC2CBD,0
330,D2CDDAACACAA2A2211CB,0
331,DAABBDDAABAA1A221CAA,1
332,2CDADBDBDA2DBABCBA2A,1
333,2BDD22ADB2D2A111D221,0
334,D21B2A2A1B2AA21ABB12,0
335,DAB1AC1DB1CDDBDBD1CC,1
336,A2CDCD212BB2D2CB12B2,0
337,BA2CBDB11ACCBCBAACB2,1
338,2DDBADC2B2DBAAAB2CAA,0
339,CD2DBABCCCD1CBC21ADC,0
340,B1D1CAADCCCCBD212AD1,1
341,CDB1B222CD2A211D1BBB,0
342,BACCD12ADBB212C1BB22,1
343,1AB22D2C2D21212AB12D,1
344,1DA2DDA12DDDA2BC1CCC,1
345,ABA2ADBCB2C1A21D2ADC,0
346,AABD2BBDCD2AADC12DAC,0
347,2CCB2BDB1DADAD21CDDD,0
348,ACCCCBC11D2CCD22DBBD,0
349,BBBACCAC12BDDDACCC2A,1
350,BBABAACD12D2A11D1D21,0
351,AAACCD1CC2CD2CD11ADD,1
352,AC2BCD2BA2BCDD1CD2A1,1
353,B12CB11BCC11B2BBDAAB,0
354,2DDBADD2A2BD1CA2DABD,0
355,1B2CA1AB2AAAA1B2D111,0
356,12CDBDD1BBCCADDCAACA,1
357,2BA22A21DBBBDD1CDD21,1
358,1AAB22D2CDBCDAADABDC,0
359,C22CDACBBA12A1B2C2A1,1
360,DCDABBA22CA121CABBCC,1
361,ABCDBAB12A2BCA1C1DD1,1
362,AA2D2CD211DDB1CDAB1B,1
363,2A211D2DBCA22BAD222C,0
364,AACD22221BC2DBBB1BC2,1
365,A1AC22ADDBD2122B1C21,1
366,BC1ACCAAA2B2C1AD1C2D,1
367,2BA212C1BBAA2DBCB2A2,1
368,BCBCC2CD1ADD1B2DDC12,0
369,BC1D1C1CA1BB1D1CCCAD,1
370,CD1CD111BC21A221C1AB,1
371,BDCBDC211CD2ADADDB2B,1
372,1CA11DA1BA1AABDDA2CD,1
373,CBBB1D2A222DA1DB1DDC,1
374,C2DA11BCBA1D21A2CAAC,0
375,C2DC1A12BD2CDDD2BC12,0
376,1CD2C2DADBDCBACCC1D1,0
377,BBCDD1CBCCCACA21A1BD,1
378,21CC12DDD12DC1A1BB1C,1
379,AAB2CDDB2BBBAC1BACAC,1
380,AD22DCCA11A1CDADABD1,0
381,AB2BC2CBBBCB22DC2AAC,1
382,12C2BC2CDCBA21C2BC2C,1
383,A2DBBA2DCDB2C22C21BA,1
384,D121B222A1B2B12BD21A,1
385,AABA21DCAA1BA1B2ADCB,0
386,B1122D211CC1BABA1B1B,0
387,D2A2BDDAACA2AD1AC2AC,1
388,CDBB1BA1BB2BA2ACB21B,0
389,1DB1CAADB1AA2B11BDA2,1
390,2A12CAB2BA1A2C12DC1D,1
391,DA12DDAD12C2BBBDCADD,0
392,B22ABDCCABC1D1ACAADD,0
393,CA1B1DCCBAABA12CC2DA,0
394,CABCD12BA12C1AACC2BB,0
395,2D1CDDA2ACCBD11A111A,0
396,CABCC2C1BCCA2AA1AB2A,1
397,2BC1ADAAB1B2A1DA1ACC,1
398,D1111CC12A21BADD1D1C,1
399,CC12D1BCACD2C12CAAB1,1
