timestamp,actual,naive_forecast,average_day_forecast,persistence_forecast
2026-01-07 17:00:00+00:00,120.162,118.094,120.82249999999999,119.739
2026-01-07 17:15:00+00:00,119.818,116.926,117.4015,119.739
2026-01-07 17:30:00+00:00,123.65,122.963,123.04216666666666,119.739
2026-01-07 17:45:00+00:00,119.08,120.602,120.63166666666666,119.739
2026-01-07 18:00:00+00:00,123.222,120.384,119.25883333333333,119.739
2026-01-07 18:15:00+00:00,121.655,128.015,120.51400000000001,119.739
2026-01-07 18:30:00+00:00,128.33,111.127,117.38966666666666,119.739
2026-01-07 18:45:00+00:00,120.791,120.115,116.93116666666667,119.739
2026-01-07 19:00:00+00:00,118.96,113.629,120.181,119.739
2026-01-07 19:15:00+00:00,120.181,117.342,116.20116666666667,119.739
2026-01-07 19:30:00+00:00,121.373,115.484,121.70533333333333,119.739
2026-01-07 19:45:00+00:00,121.362,123.144,124.6805,119.739
2026-01-07 20:00:00+00:00,123.875,121.724,119.4055,119.739
2026-01-07 20:15:00+00:00,123.945,120.418,120.13666666666667,119.739
2026-01-07 20:30:00+00:00,125.051,126.967,121.4445,119.739
2026-01-07 20:45:00+00:00,121.443,111.959,115.17416666666666,119.739
2026-01-07 21:00:00+00:00,120.827,124.22,118.50516666666665,119.739
2026-01-07 21:15:00+00:00,118.669,122.178,121.56366666666668,119.739
2026-01-07 21:30:00+00:00,122.229,116.371,120.23383333333334,119.739
2026-01-07 21:45:00+00:00,120.984,118.687,122.366,119.739
2026-01-07 22:00:00+00:00,125.829,111.307,115.31083333333333,119.739
2026-01-07 22:15:00+00:00,116.227,121.516,123.57316666666667,119.739
2026-01-07 22:30:00+00:00,120.437,122.967,119.94200000000001,119.739
2026-01-07 22:45:00+00:00,117.076,117.471,120.4115,119.739
2026-01-07 23:00:00+00:00,113.267,117.038,118.72433333333333,119.739
2026-01-07 23:15:00+00:00,118.327,121.758,120.24033333333334,119.739
2026-01-07 23:30:00+00:00,117.612,116.174,119.46816666666666,119.739
2026-01-07 23:45:00+00:00,116.878,119.739,118.89800000000001,119.739
