freq_1,freq_2,freq_A,freq_B,freq_C,freq_D,avg_pos_1,first_pos_1,last_pos_1,avg_pos_2,first_pos_2,last_pos_2,avg_pos_A,first_pos_A,last_pos_A,avg_pos_B,first_pos_B,last_pos_B,avg_pos_C,first_pos_C,last_pos_C,avg_pos_D,first_pos_D,last_pos_D,pattern_11,pattern_22,pattern_AA,pattern_BB,pattern_CC,pattern_DD,pattern_12,pattern_21,pattern_AB,pattern_BA,pattern_CD,pattern_DC,alternations,mean_run,max_run,min_run,std_run,p_dd,p_dl,p_ld,p_ll,digit_minus_letter,lz_complexity
3,8,3,4,2,0,8.0,3,13,10.75,0,19,7.666666666666667,2,16,9.0,1,18,10.5,9,12,-1.0,-1,-1,0,1,0,0,0,0,2,1,1,1,0,0,12,1.0526315789473684,2.0,1.0,0.22329687826943603,0.21052631578947367,0.3157894736842105,0.3157894736842105,0.15789473684210525,2,2
2,5,6,3,1,3,7.5,2,13,7.6,3,12,7.833333333333333,0,17,13.0,4,19,14.0,14,14,12.333333333333334,8,18,0,1,1,0,0,0,1,1,1,2,0,0,8,1.1111111111111112,2.0,1.0,0.3142696805273545,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.42105263157894735,-6,1
4,1,5,3,2,5,8.5,0,19,15.0,15,15,9.0,1,18,9.666666666666666,5,13,10.0,4,16,9.4,3,17,0,0,1,0,0,1,0,0,1,1,1,1,8,1.1111111111111112,2.0,1.0,0.3142696805273545,0.0,0.21052631578947367,0.21052631578947367,0.5789473684210527,-10,2
8,4,0,4,3,1,9.375,2,18,14.0,6,19,-1.0,-1,-1,8.75,0,16,7.666666666666667,3,12,1.0,1,1,1,0,0,1,0,0,3,3,0,0,0,0,9,1.1111111111111112,2.0,1.0,0.3142696805273545,0.3684210526315789,0.21052631578947367,0.2631578947368421,0.15789473684210525,4,3
2,4,3,4,3,4,8.5,1,16,13.25,2,19,5.666666666666667,4,8,7.75,3,13,13.0,10,17,8.25,0,15,0,1,1,0,0,0,1,0,2,1,1,1,7,1.1111111111111112,2.0,1.0,0.3142696805273545,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.5263157894736842,-8,2
5,3,6,2,1,3,6.4,0,18,12.0,10,14,9.0,2,17,13.5,8,19,9.0,9,9,10.666666666666666,4,15,2,0,2,0,0,0,0,0,0,0,0,0,11,1.25,2.0,1.0,0.4330127018922193,0.10526315789473684,0.3157894736842105,0.2631578947368421,0.3157894736842105,-4,2
7,2,3,3,4,1,11.285714285714286,1,18,6.5,3,10,5.666666666666667,4,8,6.333333333333333,0,17,12.25,6,19,13.0,13,13,1,0,1,0,0,0,0,1,0,0,0,0,14,1.1111111111111112,2.0,1.0,0.3142696805273545,0.10526315789473684,0.3684210526315789,0.3684210526315789,0.15789473684210525,-2,1
6,2,3,1,4,4,11.0,1,19,14.0,10,18,10.333333333333334,4,16,3.0,3,3,4.5,0,9,11.0,5,14,0,0,0,0,0,1,1,1,0,1,0,0,11,1.1111111111111112,3.0,1.0,0.4581228472908512,0.10526315789473684,0.2631578947368421,0.3157894736842105,0.3157894736842105,-4,1
3,3,8,2,3,1,6.666666666666667,0,17,11.666666666666666,4,16,10.25,6,19,9.5,1,18,9.666666666666666,2,14,5.0,5,5,0,1,3,0,1,0,1,1,0,1,0,0,5,1.6666666666666667,7.0,1.0,1.6499158227686108,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.5789473684210527,-8,2
6,0,3,3,5,3,10.333333333333334,1,19,-1.0,-1,-1,10.333333333333334,5,16,14.333333333333334,8,18,6.2,0,15,7.666666666666667,2,12,1,0,0,1,1,0,0,0,1,0,0,1,9,1.1764705882352942,2.0,1.0,0.3812200410828153,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.47368421052631576,-8,2
5,4,3,4,2,2,9.2,2,18,9.25,1,19,15.333333333333334,14,17,9.5,6,13,10.0,4,16,1.5,0,3,1,1,1,2,0,0,1,2,0,1,0,1,7,1.3333333333333333,2.0,1.0,0.47140452079103173,0.2631578947368421,0.15789473684210525,0.21052631578947367,0.3684210526315789,-2,1
5,2,5,6,2,0,11.0,1,17,8.5,4,13,5.4,0,10,13.0,6,19,6.5,2,11,-1.0,-1,-1,1,0,1,1,0,0,0,1,1,1,0,0,10,1.1764705882352942,2.0,1.0,0.3812200410828153,0.10526315789473684,0.2631578947368421,0.2631578947368421,0.3684210526315789,-6,2
2,2,5,2,7,2,13.5,10,17,5.5,2,9,12.0,1,19,2.5,0,5,10.285714285714286,3,15,7.5,7,8,0,0,1,0,3,1,0,1,0,2,0,0,6,1.5384615384615385,5.0,1.0,1.08240363688233,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.631578947368421,-12,1
2,3,4,3,6,2,6.5,4,9,12.666666666666666,5,17,6.25,1,12,5.666666666666667,0,14,10.666666666666666,6,19,16.5,15,18,0,1,1,0,1,0,1,0,1,1,0,1,6,1.25,3.0,1.0,0.5590169943749475,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.5789473684210527,-10,2
4,4,4,3,2,3,8.0,0,19,12.5,6,18,8.0,1,13,15.0,12,17,5.0,3,7,7.0,2,14,0,0,0,1,0,0,0,1,0,1,0,1,12,1.0526315789473684,2.0,1.0,0.22329687826943606,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.3157894736842105,-4,2
0,2,3,6,4,5,-1.0,-1,-1,10.5,2,19,5.0,4,6,9.5,0,14,10.0,3,18,11.4,1,17,0,0,1,2,1,1,0,0,1,0,0,2,3,1.6666666666666667,4.0,1.0,1.0274023338281626,0.0,0.05263157894736842,0.10526315789473684,0.8421052631578947,-16,1
3,2,3,5,4,3,14.333333333333334,12,17,4.5,0,9,9.666666666666666,4,15,10.0,6,16,6.75,1,19,10.666666666666666,3,18,0,0,0,1,1,0,0,0,1,0,1,1,9,1.1764705882352942,3.0,1.0,0.5128116404165498,0.0,0.2631578947368421,0.21052631578947367,0.5263157894736842,-10,1
3,1,6,3,4,3,15.666666666666666,11,19,10.0,10,10,11.0,1,18,7.0,3,13,3.5,0,8,10.666666666666666,7,16,0,0,1,0,0,0,0,1,1,2,1,1,5,1.0526315789473684,2.0,1.0,0.22329687826943603,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.6842105263157895,-12,2
5,3,2,4,3,3,9.4,3,15,6.666666666666667,0,16,11.5,6,17,10.5,1,18,9.333333333333334,2,19,10.0,5,13,1,0,0,0,0,1,2,0,1,0,0,0,9,1.1111111111111112,2.0,1.0,0.3142696805273545,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.3684210526315789,-4,1
6,2,4,2,3,3,13.166666666666666,6,19,4.5,2,7,6.0,0,12,13.0,8,18,6.666666666666667,4,11,10.666666666666666,1,17,1,0,0,0,1,0,1,0,0,1,0,0,11,1.1111111111111112,2.0,1.0,0.3142696805273545,0.10526315789473684,0.2631578947368421,0.3157894736842105,0.3157894736842105,-4,1
2,5,3,1,4,5,4.5,4,5,11.8,1,19,13.333333333333334,10,16,12.0,12,12,10.25,8,13,5.8,0,17,1,1,0,0,1,1,1,0,0,0,0,1,7,1.25,2.0,1.0,0.4330127018922193,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.47368421052631576,-6,2
4,1,4,5,3,3,6.5,1,15,0.0,0,0,13.25,7,19,8.6,2,13,12.333333333333334,5,18,10.333333333333334,3,16,0,0,0,1,0,0,0,1,2,1,0,0,7,1.0526315789473684,2.0,1.0,0.22329687826943603,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.5789473684210527,-10,1
3,5,3,3,4,2,12.0,4,17,5.8,1,14,13.0,7,19,10.333333333333334,2,18,8.25,0,16,11.0,10,12,0,1,0,0,1,0,1,2,0,1,1,0,8,1.1111111111111112,2.0,1.0,0.3142696805273545,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.3684210526315789,-4,1
2,3,7,3,2,3,5.5,4,7,9.333333333333334,5,17,11.0,0,18,12.333333333333334,8,19,7.0,3,11,7.666666666666667,2,12,0,1,3,0,0,0,1,1,1,0,1,1,4,1.3333333333333333,4.0,1.0,0.7888106377466155,0.15789473684210525,0.10526315789473684,0.10526315789473684,0.631578947368421,-10,2
6,2,3,2,4,3,6.666666666666667,0,16,11.5,5,18,8.333333333333334,3,14,16.0,15,17,12.0,4,19,7.333333333333333,6,9,2,0,0,0,1,1,0,0,1,0,0,0,9,1.3333333333333333,3.0,1.0,0.5962847939999438,0.15789473684210525,0.2631578947368421,0.21052631578947367,0.3684210526315789,-4,2
5,4,5,3,0,3,12.4,1,19,7.0,2,14,12.6,5,18,4.0,0,9,-1.0,-1,-1,8.333333333333334,6,12,0,0,0,0,0,1,1,1,0,0,0,0,13,1.0526315789473684,2.0,1.0,0.22329687826943603,0.10526315789473684,0.3157894736842105,0.3684210526315789,0.21052631578947367,-2,2
3,2,2,6,3,4,12.666666666666666,3,18,12.0,11,13,17.5,16,19,6.833333333333333,0,15,9.666666666666666,5,14,5.75,2,9,1,0,0,2,0,1,0,0,0,1,0,2,8,1.25,2.0,1.0,0.4330127018922193,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-10,1
1,6,4,3,4,2,15.0,15,15,11.0,0,19,6.0,3,11,6.333333333333333,2,9,10.5,1,16,12.0,10,14,0,1,1,1,1,0,0,0,0,1,1,0,8,1.3333333333333333,3.0,1.0,0.5962847939999439,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.47368421052631576,-6,2
0,3,5,4,1,7,-1.0,-1,-1,3.0,0,5,12.0,3,19,9.25,6,15,10.0,10,10,10.571428571428571,1,18,0,1,0,1,0,2,0,0,1,1,1,0,3,1.25,2.0,1.0,0.4330127018922193,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.7894736842105263,-14,3
4,2,3,4,4,3,12.25,8,18,10.5,10,11,12.666666666666666,4,19,6.25,0,17,9.5,3,16,6.333333333333333,2,12,1,1,0,1,0,0,1,0,0,0,0,3,6,1.1764705882352942,2.0,1.0,0.3812200410828153,0.15789473684210525,0.15789473684210525,0.15789473684210525,0.5263157894736842,-8,3
1,4,4,3,4,4,18.0,18,18,8.25,3,13,8.0,5,12,16.333333333333332,14,19,7.0,1,15,7.5,0,17,0,0,1,0,0,0,0,0,0,0,1,1,10,1.0526315789473684,2.0,1.0,0.22329687826943603,0.0,0.2631578947368421,0.2631578947368421,0.47368421052631576,-10,1
5,1,4,2,6,2,8.2,0,18,19.0,19,19,11.0,6,17,1.5,1,2,9.0,3,15,14.5,13,16,0,0,1,1,2,0,1,0,0,0,1,1,8,1.25,2.0,1.0,0.4330127018922193,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-8,3
4,2,1,4,3,6,13.25,8,19,12.0,10,14,3.0,3,3,10.0,6,16,11.333333333333334,1,18,6.0,0,13,1,0,0,1,0,2,1,0,0,0,1,1,7,1.25,2.0,1.0,0.4330127018922193,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.5263157894736842,-8,1
2,4,3,2,6,3,10.5,8,13,4.5,1,10,13.333333333333334,6,18,11.5,11,12,10.333333333333334,0,19,8.666666666666666,2,17,0,1,0,1,1,0,0,0,0,0,0,0,10,1.1764705882352942,2.0,1.0,0.3812200410828153,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.42105263157894735,-8,1
5,2,4,4,3,2,9.2,2,18,13.5,11,16,5.25,0,14,14.25,8,19,7.333333333333333,3,10,8.5,5,12,0,0,1,0,1,0,1,0,0,1,0,0,12,1.1111111111111112,2.0,1.0,0.3142696805273545,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.3157894736842105,-6,1
2,3,3,7,2,3,10.5,5,16,8.333333333333334,4,13,10.666666666666666,2,18,6.142857142857143,0,14,11.0,7,15,15.666666666666666,11,19,0,0,0,2,0,0,0,1,1,1,0,0,8,1.1111111111111112,2.0,1.0,0.3142696805273545,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-10,3
3,2,3,2,5,5,10.0,7,15,7.0,1,13,7.333333333333333,3,14,13.0,9,17,6.6,0,16,13.0,6,19,1,0,0,0,0,1,0,0,0,0,1,1,8,1.1111111111111112,2.0,1.0,0.3142696805273545,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-10,2
3,3,2,4,4,4,6.666666666666667,1,14,9.333333333333334,3,16,7.0,2,12,7.25,0,15,12.25,4,18,12.5,7,19,0,0,0,0,1,0,0,0,0,0,2,0,12,1.0526315789473684,2.0,1.0,0.22329687826943606,0.0,0.3157894736842105,0.3157894736842105,0.3684210526315789,-8,1
5,2,4,3,4,2,6.6,2,10,14.0,11,17,5.75,0,14,12.666666666666666,7,18,13.0,5,19,8.0,1,15,1,0,0,0,0,0,1,0,1,1,0,1,8,1.1111111111111112,3.0,1.0,0.4581228472908512,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.42105263157894735,-6,1
6,2,0,6,3,3,11.666666666666666,2,18,12.0,10,14,-1.0,-1,-1,7.333333333333333,0,17,10.0,4,19,7.333333333333333,1,15,1,0,0,0,0,0,2,0,0,0,0,1,10,1.0526315789473684,2.0,1.0,0.22329687826943603,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.3157894736842105,-4,1
4,5,3,2,3,3,10.75,5,18,13.0,0,19,9.666666666666666,3,16,12.0,11,13,3.6666666666666665,1,6,6.0,2,9,0,1,0,0,0,0,1,1,1,0,2,0,10,1.0526315789473684,2.0,1.0,0.22329687826943603,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.3157894736842105,-2,2
1,4,4,6,2,3,15.0,15,15,8.5,3,16,7.5,2,13,8.333333333333334,0,18,11.5,4,19,12.666666666666666,9,17,0,1,0,1,0,0,1,0,3,1,0,0,6,1.1111111111111112,2.0,1.0,0.3142696805273545,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.5789473684210527,-10,1
8,1,4,3,3,1,13.5,7,18,1.0,1,1,8.75,2,15,7.333333333333333,0,19,6.666666666666667,5,9,4.0,4,4,3,0,0,0,1,0,0,0,1,0,0,1,8,1.4285714285714286,4.0,1.0,0.9035079029052513,0.2631578947368421,0.21052631578947367,0.21052631578947367,0.3157894736842105,-2,4
2,5,3,2,2,6,9.0,3,15,10.4,2,18,9.0,5,14,17.5,16,19,5.5,4,7,7.833333333333333,0,17,0,1,0,0,0,1,0,1,0,0,0,1,10,1.1111111111111112,2.0,1.0,0.3142696805273545,0.10526315789473684,0.2631578947368421,0.2631578947368421,0.3684210526315789,-6,3
3,3,3,2,5,4,13.666666666666666,7,18,8.0,2,14,9.333333333333334,3,19,11.5,10,13,8.8,0,17,7.5,4,12,0,0,0,0,1,1,1,0,0,0,1,0,10,1.1111111111111112,2.0,1.0,0.3142696805273545,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.42105263157894735,-8,3
1,4,4,5,3,3,14.0,14,14,12.75,7,19,7.75,0,15,9.0,2,16,9.333333333333334,1,18,7.0,4,12,0,1,0,1,0,1,0,0,2,0,0,0,7,1.1764705882352942,2.0,1.0,0.3812200410828153,0.05263157894736842,0.15789473684210525,0.21052631578947367,0.5789473684210527,-10,2
5,2,5,4,1,3,11.2,1,18,14.5,10,19,8.0,0,14,6.75,2,11,13.0,13,13,8.333333333333334,3,15,1,0,0,0,0,0,1,0,1,2,0,0,7,1.1111111111111112,3.0,1.0,0.4581228472908512,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.47368421052631576,-6,2
4,2,2,5,6,1,7.75,3,15,11.5,5,18,13.5,11,16,4.6,0,14,12.333333333333334,7,19,12.0,12,12,1,0,0,1,1,0,1,0,0,0,0,1,8,1.25,3.0,1.0,0.5590169943749475,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.47368421052631576,-8,1
6,2,0,8,3,1,8.166666666666666,2,15,8.5,8,9,-1.0,-1,-1,12.0,0,19,9.0,3,14,1.0,1,1,2,1,0,3,0,0,0,0,0,0,0,0,10,1.5384615384615385,4.0,1.0,0.8426500884694864,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.3157894736842105,-4,1
3,4,3,7,1,2,12.0,7,19,10.0,6,13,6.0,0,14,9.714285714285714,1,18,17.0,17,17,5.5,3,8,0,1,0,2,0,0,0,2,3,0,0,0,7,1.1764705882352942,2.0,1.0,0.3812200410828153,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.47368421052631576,-6,2
4,3,4,5,3,1,10.25,4,18,7.0,2,14,13.25,8,19,11.4,1,17,3.0,0,6,9.0,9,9,0,0,0,0,0,0,1,0,2,1,0,0,12,1.0,1.0,1.0,0.0,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.3157894736842105,-6,4
5,3,2,3,3,4,12.8,7,19,11.333333333333334,8,16,8.5,4,13,5.666666666666667,1,11,7.0,3,12,9.25,0,18,1,0,0,0,0,1,3,1,1,0,0,1,5,1.1111111111111112,2.0,1.0,0.3142696805273545,0.2631578947368421,0.10526315789473684,0.15789473684210525,0.47368421052631576,-4,2
8,2,0,2,3,5,11.125,3,18,11.0,9,13,-1.0,-1,-1,11.0,7,15,5.0,0,10,8.4,1,19,3,0,0,0,0,1,2,0,0,0,2,0,8,1.3333333333333333,3.0,1.0,0.5962847939999439,0.3157894736842105,0.21052631578947367,0.21052631578947367,0.2631578947368421,0,2
7,2,4,4,1,2,7.571428571428571,2,15,15.0,14,16,7.25,0,13,13.5,8,19,1.0,1,1,11.5,6,17,1,0,0,2,0,0,1,1,0,0,0,0,10,1.25,3.0,1.0,0.5590169943749475,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421,-2,1
5,3,1,2,3,6,9.6,3,14,10.666666666666666,6,17,15.0,15,15,1.5,1,2,9.0,0,19,10.833333333333334,4,18,1,0,0,1,0,1,0,1,0,0,0,1,12,1.1764705882352942,2.0,1.0,0.3812200410828153,0.10526315789473684,0.3157894736842105,0.3157894736842105,0.2631578947368421,-4,1
2,0,4,3,5,6,7.5,2,13,-1.0,-1,-1,11.5,8,16,4.0,3,5,15.0,9,19,7.0,0,17,0,0,0,1,2,2,0,0,0,0,0,1,4,1.4285714285714286,3.0,1.0,0.6226998490772391,0.0,0.10526315789473684,0.10526315789473684,0.7894736842105263,-16,1
4,4,5,3,1,3,10.5,2,18,8.5,3,16,9.6,0,14,12.666666666666666,8,19,4.0,4,4,8.0,1,17,0,0,1,0,0,0,2,0,0,2,0,0,12,1.1111111111111112,3.0,1.0,0.4581228472908512,0.10526315789473684,0.3157894736842105,0.3157894736842105,0.2631578947368421,-4,2
4,2,5,3,1,5,8.5,0,16,8.5,8,9,9.0,2,15,6.333333333333333,1,14,13.0,13,13,12.4,3,19,0,1,1,0,0,1,0,0,0,2,0,0,9,1.25,3.0,1.0,0.5590169943749475,0.05263157894736842,0.2631578947368421,0.21052631578947367,0.47368421052631576,-8,1
6,2,4,1,4,3,9.333333333333334,1,16,9.0,8,10,10.5,3,14,0.0,0,0,5.0,2,7,18.0,17,19,1,0,1,0,1,1,1,2,0,0,0,0,8,1.5384615384615385,3.0,1.0,0.8426500884694863,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.3684210526315789,-4,1
3,7,3,1,3,3,10.666666666666666,1,19,9.0,2,17,9.0,5,16,4.0,4,4,13.333333333333334,9,18,8.0,0,14,0,2,1,0,0,0,1,1,0,1,2,0,11,1.1764705882352942,2.0,1.0,0.3812200410828153,0.21052631578947367,0.2631578947368421,0.3157894736842105,0.21052631578947367,0,3
1,4,5,6,3,1,3.0,3,3,8.5,4,14,9.0,2,15,13.0,5,19,4.0,0,11,18.0,18,18,0,0,0,1,1,0,1,0,2,1,0,0,8,1.1111111111111112,2.0,1.0,0.3142696805273545,0.05263157894736842,0.21052631578947367,0.21052631578947367,0.5263157894736842,-10,1
1,6,3,0,2,8,9.0,9,9,9.5,0,18,11.333333333333334,3,16,-1.0,-1,-1,13.0,7,19,8.0,1,14,0,2,1,0,0,2,0,0,0,0,1,1,9,1.4285714285714286,3.0,1.0,0.6226998490772392,0.10526315789473684,0.2631578947368421,0.21052631578947367,0.42105263157894735,-6,4
5,9,0,2,2,2,9.2,0,18,9.222222222222221,2,19,-1.0,-1,-1,6.5,1,12,13.5,13,14,10.5,10,11,0,4,0,0,1,1,3,3,0,0,0,0,4,1.5384615384615385,4.0,1.0,0.8426500884694864,0.5789473684210527,0.10526315789473684,0.10526315789473684,0.21052631578947367,8,1
2,3,3,1,6,5,18.5,18,19,11.333333333333334,5,15,5.0,3,8,13.0,13,13,7.833333333333333,0,17,8.8,1,16,1,1,1,0,0,0,0,0,0,0,3,4,5,1.1764705882352942,2.0,1.0,0.3812200410828153,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.631578947368421,-10,1
3,7,1,4,1,4,12.0,9,16,9.142857142857142,1,19,10.0,10,10,6.25,0,13,5.0,5,5,12.5,6,17,0,2,0,0,0,0,0,0,0,0,1,0,13,1.1764705882352942,3.0,1.0,0.5128116404165498,0.15789473684210525,0.3157894736842105,0.3684210526315789,0.15789473684210525,0,1
4,0,2,5,4,5,9.25,3,18,-1.0,-1,-1,4.5,2,7,8.8,1,15,8.75,0,16,13.0,6,19,1,0,0,0,0,0,0,0,0,1,2,0,6,1.0526315789473684,2.0,1.0,0.22329687826943603,0.05263157894736842,0.15789473684210525,0.15789473684210525,0.631578947368421,-12,1
3,6,1,3,3,4,14.0,10,17,9.666666666666666,0,19,3.0,3,3,7.666666666666667,1,13,6.0,4,8,11.5,5,18,0,0,0,0,0,1,1,2,0,0,1,1,10,1.0526315789473684,2.0,1.0,0.22329687826943603,0.15789473684210525,0.2631578947368421,0.2631578947368421,0.3157894736842105,-2,1
3,4,4,5,2,2,8.666666666666666,1,15,9.0,3,17,7.25,0,14,11.4,2,19,9.0,7,11,12.0,8,16,0,1,0,1,0,0,0,0,0,2,1,0,12,1.1111111111111112,2.0,1.0,0.3142696805273545,0.05263157894736842,0.3157894736842105,0.3157894736842105,0.3157894736842105,-6,2
3,4,4,3,4,2,12.333333333333334,8,18,9.5,4,17,13.25,6,19,10.0,7,14,5.25,0,16,5.5,1,10,0,1,0,0,1,0,1,1,2,1,1,1,8,1.1111111111111112,2.0,1.0,0.3142696805273545,0.15789473684210525,0.21052631578947367,0.21052631578947367,0.42105263157894735,-6,1
3,4,1,4,7,1,3.3333333333333335,0,6,9.25,1,18,5.0,5,5,11.25,9,13,11.0,2,19,16.0,16,16,0,0,0,1,2,0,1,0,0,0,1,1,11,1.25,3.0,1.0,0.5590169943749475,0.05263157894736842,0.3157894736842105,0.2631578947368421,0.3684210526315789,-6,3
3,6,3,3,3,2,7.333333333333333,5,11,10.166666666666666,0,17,5.333333333333333,1,13,11.333333333333334,8,14,6.666666666666667,3,10,18.5,18,19,1,1,1,0,0,1,0,1,1,1,0,0,9,1.3333333333333333,3.0,1.0,0.5962847939999439,0.21052631578947367,0.2631578947368421,0.21052631578947367,0.3157894736842105,-2,1
3,4,2,5,2,4,14.333333333333334,8,19,5.75,0,10,4.0,3,5,15.4,13,18,1.5,1,2,9.0,4,12,0,1,0,2,1,1,0,1,0,0,0,0,8,1.4285714285714286,3.0,1.0,0.6226998490772391,0.10526315789473684,0.21052631578947367,0.21052631578947367,0.47368421052631576,-6,3
3,0,4,5,5,3,9.333333333333334,2,14,-1.0,-1,-1,6.5,1,13,12.4,7,19,12.0,4,18,4.666666666666667,0,8,0,0,0,1,2,0,0,0,1,0,1,0,6,1.25,3.0,1.0,0.5590169943749475,0.0,0.15789473684210525,0.15789473684210525,0.6842105263157895,-14,1
3,3,3,4,3,4,12.666666666666666,8,18,6.666666666666667,1,13,11.666666666666666,2,17,12.5,10,15,10.0,4,19,4.25,0,9,0,0,1,2,0,0,1,0,0,1,1,1,10,1.1764705882352942,2.0,1.0,0.3812200410828153,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.42105263157894735,-8,1
