station_id,lat,lon,depth_m,temperature_c,salinity_psu,pressure_dbar
ST3,-19.0772,41.9837,315.7894736842105,3.834,34.834,31.6
ST3,-19.0772,41.9837,368.4210526315789,3.493,34.797,36.8
ST3,-19.0772,41.9837,421.05263157894734,3.481,34.801,42.1
ST3,-19.0772,41.9837,473.6842105263158,3.595,34.801,47.4
ST3,-19.0772,41.9837,526.3157894736842,3.498,34.811,52.6
ST3,-19.0772,41.9837,578.9473684210526,3.616,34.812,57.9
ST3,-19.0772,41.9837,631.578947368421,3.649,34.815,63.2
ST3,-19.0772,41.9837,684.2105263157895,3.53,34.797,68.4
ST3,-19.0772,41.9837,736.8421052631578,3.686,34.829,73.7
ST3,-19.0772,41.9837,789.4736842105262,3.629,34.784,78.9
ST3,-19.0772,41.9837,842.1052631578947,3.624,34.803,84.2
ST3,-19.0772,41.9837,894.7368421052631,3.559,34.783,89.5
ST3,-19.0772,41.9837,947.3684210526316,3.658,34.8,94.7
ST3,-19.0772,41.9837,1000.0,3.647,34.813,100.0
ST4,-19.2527,40.507,0.0,19.847,33.632,0.0
ST4,-19.2527,40.507,52.63157894736842,19.774,33.65,5.3
ST4,-19.2527,40.507,105.26315789473684,13.274,33.835,10.5
ST4,-19.2527,40.507,157.89473684210526,9.435,33.93,15.8
ST4,-19.2527,40.507,210.52631578947367,3.887,33.708,21.1
ST4,-19.2527,40.507,263.1578947368421,3.925,33.545,26.3
ST4,-19.2527,40.507,315.7894736842105,3.844,34.803,31.6
ST4,-19.2527,40.507,368.4210526315789,3.862,34.759,36.8
ST4,-19.2527,40.507,421.05263157894734,3.805,34.828,42.1
ST4,-19.2527,40.507,473.6842105263158,4.013,34.801,47.4
ST4,-19.2527,40.507,526.3157894736842,4.093,34.815,52.6
ST4,-19.2527,40.507,578.9473684210526,3.876,34.808,57.9
ST4,-19.2527,40.507,631.578947368421,3.875,34.805,63.2
ST4,-19.2527,40.507,684.2105263157895,3.776,34.768,68.4
ST4,-19.2527,40.507,736.8421052631578,3.888,34.806,73.7
ST4,-19.2527,40.507,789.4736842105262,4.01,34.786,78.9
ST4,-19.2527,40.507,842.1052631578947,3.816,34.821,84.2
ST4,-19.2527,40.507,894.7368421052631,3.917,34.803,89.5
ST4,-19.2527,40.507,947.3684210526316,3.934,34.784,94.7
ST4,-19.2527,40.507,1000.0,3.776,34.769,100.0
ST5,-18.2354,40.3282,0.0,18.367,33.773,0.0
ST5,-18.2354,40.3282,52.63157894736842,17.935,33.743,5.3
ST5,-18.2354,40.3282,105.26315789473684,12.318,34.17,10.5
ST5,-18.2354,40.3282,157.89473684210526,4.277,34.006,15.8
ST5,-18.2354,40.3282,210.52631578947367,4.35,33.586,21.1
ST5,-18.2354,40.3282,263.1578947368421,4.178,33.681,26.3
ST5,-18.2354,40.3282,315.7894736842105,4.518,34.805,31.6
ST5,-18.2354,40.3282,368.4210526315789,4.119,34.768,36.8
ST5,-18.2354,40.3282,421.05263157894734,4.007,34.827,42.1
ST5,-18.2354,40.3282,473.6842105263158,4.185,34.78,47.4
ST5,-18.2354,40.3282,526.3157894736842,4.39,34.781,52.6
ST5,-18.2354,40.3282,578.9473684210526,4.211,34.821,57.9
ST5,-18.2354,40.3282,631.578947368421,4.336,34.782,63.2
ST5,-18.2354,40.3282,684.2105263157895,4.049,34.79,68.4
ST5,-18.2354,40.3282,736.8421052631578,4.269,34.798,73.7
ST5,-18.2354,40.3282,789.4736842105262,4.272,34.816,78.9
ST5,-18.2354,40.3282,842.1052631578947,4.258,34.834,84.2
ST5,-18.2354,40.3282,894.7368421052631,4.247,34.778,89.5
ST5,-18.2354,40.3282,947.3684210526316,4.263,34.785,94.7
ST5,-18.2354,40.3282,1000.0,4.449,34.807,100.0
