C,ngram_range,min_df,spr,roc_auc,pr_auc,brier
1.0,"(3, 6)",3,1.1320754716981132,0.513939735285835,0.4716877907790836,0.2514491297497698
1.0,"(2, 4)",1,1.1320754716981132,0.5136581244719797,0.46951206501248716,0.253079441310007
4.0,"(2, 4)",3,0.7547169811320754,0.5108420163334273,0.4568022455931251,0.2695291993004699
8.0,"(2, 4)",3,0.7547169811320754,0.5105604055195719,0.44989920413733875,0.2826368491576111
1.0,"(2, 4)",2,1.1320754716981132,0.5099971838918614,0.4693667682949228,0.2531110058771083
0.25,"(3, 6)",2,1.1320754716981132,0.5088707406364406,0.47832662918805935,0.2491672204736883
0.5,"(4, 6)",2,1.1320754716981132,0.5077442973810194,0.48603140604905654,0.24948725707937136
0.5,"(3, 6)",3,1.1320754716981132,0.5066178541255983,0.47757359887045936,0.2497913161824502
0.25,"(3, 5)",2,1.1320754716981132,0.5063362433117431,0.4764824012870731,0.24923225363216428
0.5,"(3, 5)",3,1.1320754716981132,0.506054632497888,0.47736336914177846,0.2498007081237297
2.0,"(2, 4)",3,0.7547169811320754,0.506054632497888,0.4581434345273888,0.2596114436409185
8.0,"(4, 6)",1,1.886792452830189,0.5057730216840327,0.5118438803378909,0.2591615166636844
0.5,"(3, 5)",1,1.1320754716981132,0.5057730216840327,0.47623577706130077,0.2496451518128631
0.5,"(2, 4)",2,1.1320754716981132,0.5054914108701773,0.4649817936281342,0.2509309516585837
8.0,"(4, 6)",3,1.1320754716981132,0.5052098000563221,0.4778957383504964,0.2812784570858897
0.5,"(3, 6)",1,1.1320754716981132,0.5046465784286116,0.47335962356887584,0.24943567113589554
1.0,"(2, 4)",3,1.1320754716981132,0.5046465784286116,0.4624105363912481,0.2538911576623217
0.5,"(2, 4)",1,1.1320754716981132,0.5032385243593354,0.4592175400584404,0.2509298694272964
4.0,"(4, 6)",3,1.1320754716981132,0.5023936919177696,0.47306553167214577,0.26774485867477793
0.25,"(4, 6)",2,0.7547169811320754,0.5023936919177696,0.47771586862402926,0.24957442024758578
4.0,"(4, 6)",1,1.886792452830189,0.5009856378484934,0.50474111027066,0.25451458137431593
0.5,"(2, 4)",3,1.5094339622641508,0.5009856378484934,0.47164379502122156,0.25133553546574444
2.0,"(4, 6)",1,1.886792452830189,0.4998591945930724,0.5019651999556864,0.2515487914360047
0.25,"(3, 5)",1,1.1320754716981132,0.49901436215150663,0.47254212853132005,0.24963915811523885
0.25,"(3, 6)",1,1.1320754716981132,0.4976063080822304,0.4690809890104055,0.24959506429024295
2.0,"(4, 6)",3,1.1320754716981132,0.49732469726837514,0.46976542265541665,0.2579264458983925
0.25,"(2, 4)",1,1.1320754716981132,0.49676147564066453,0.4575169743248572,0.2502310142996216
1.0,"(4, 6)",3,1.5094339622641508,0.4964798648268093,0.47288334185772,0.2527511099398352
0.25,"(2, 4)",2,1.1320754716981132,0.4953534215713884,0.4582198421812102,0.2502252072096824
0.25,"(3, 6)",3,1.1320754716981132,0.49507181075753315,0.47256397790775073,0.24954666868725658
0.25,"(3, 5)",3,1.1320754716981132,0.4947901999436779,0.4707047209204551,0.2495492003390281
0.5,"(4, 6)",3,1.1320754716981132,0.49253731343283585,0.4717511176539889,0.25075604209709645
1.0,"(4, 6)",1,1.5094339622641508,0.49225570261898055,0.4828550599791802,0.25025581411958925
0.25,"(2, 4)",3,1.1320754716981132,0.49169248099127005,0.4559258194724848,0.25042360479768994
0.5,"(4, 6)",1,0.7547169811320754,0.48774992959729657,0.47206183701723503,0.24991967099887863
0.25,"(4, 6)",3,1.1320754716981132,0.48690509715573077,0.4666222422019527,0.2501722673650384
0.25,"(4, 6)",1,1.1320754716981132,0.4835257673894678,0.46121237967968093,0.24991091211694513
