,daily_peak_mw
2026-08-23,139.29029999401436
2026-08-24,139.07260695215146
2026-08-25,138.00260361040245
2026-08-26,140.69107200934616
2026-08-27,134.20065703850824
2026-08-28,126.76251625078207
2026-08-29,140.79507682955233
2026-08-30,136.64751620741546
2026-08-31,138.7804597162074
2026-09-01,138.9587525861658
2026-09-02,139.32900012781093
2026-09-03,134.63189273503684
2026-09-04,126.1080665316583
2026-09-05,137.9616724403692
2026-09-06,136.06314783658107
2026-09-07,137.1731182613096
2026-09-08,137.1561002850833
2026-09-09,139.4791154341445
2026-09-10,134.0474465214538
2026-09-11,127.26559905532176
2026-09-12,135.39904349288562
2026-09-13,137.84557242400018
2026-09-14,135.844773958981
2026-09-15,137.13232242398985
2026-09-16,135.91293029807147
2026-09-17,135.6011277902218
2026-09-18,125.37377579173268
2026-09-19,138.19931834380563
2026-09-20,137.62494190404706
2026-09-21,137.22764754732918
2026-09-22,136.70800100836988
2026-09-23,134.5392362140232
2026-09-24,133.83559620760195
2026-09-25,126.99779639472823
2026-09-26,133.778991260514
2026-09-27,136.48262776030768
2026-09-28,135.2422569307447
2026-09-29,135.76026241786693
2026-09-30,133.59880655262037
2026-10-01,132.91872287310588
2026-10-02,124.33748528450316
2026-10-03,133.2609903839173
2026-10-04,136.3131492494674
2026-10-05,136.12435204633127
2026-10-06,135.51715258109013
2026-10-07,131.98484900767525
2026-10-08,133.27044011065107
2026-10-09,123.48252870159891
2026-10-10,135.8380327992284
2026-10-11,132.93682364023257
2026-10-12,134.2218177191864
2026-10-13,133.22065331555382
2026-10-14,135.84708533065486
2026-10-15,131.38685683156336
2026-10-16,122.59354570328918
2026-10-17,135.32613526360765
2026-10-18,133.84904578029142
2026-10-19,134.09932028564558
2026-10-20,131.81873327131905
2026-10-21,133.8911388975047
2026-10-22,131.77059713336487
2026-10-23,122.91398365762238
2026-10-24,132.35390568726288
2026-10-25,135.0807776938022
2026-10-26,132.7753507228705
2026-10-27,133.31960824607015
2026-10-28,131.0815276719909
2026-10-29,129.764238271087
2026-10-30,123.85791706760837
2026-10-31,130.38244318116205
2026-11-01,131.02223045602935
2026-11-02,134.14292940739517
2026-11-03,133.2257616523897
2026-11-04,131.0234641369334
2026-11-05,128.95529253432417
2026-11-06,120.75937394791947
2026-11-07,129.94418642981702
2026-11-08,132.13780479662745
2026-11-09,131.60921787178438
2026-11-10,130.07679063524867
2026-11-11,131.45117875191823
2026-11-12,125.59635083493268
2026-11-13,121.08148467463207
2026-11-14,128.06536715003082
2026-11-15,128.91731066695195
2026-11-16,134.05649899731614
2026-11-17,129.80538172471682
2026-11-18,130.12333728997015
2026-11-19,127.42507561852129
2026-11-20,120.10757962637689
2026-11-21,132.49942566061426
2026-11-22,128.41884468710379
2026-11-23,128.95778867887543
2026-11-24,131.42563101036245
2026-11-25,130.71610212010546
2026-11-26,125.33802531999427
2026-11-27,119.05328334809721
2026-11-28,127.52801029563405
2026-11-29,133.63663967689757
2026-11-30,131.61125734829557
2026-12-01,132.42896975672028
2026-12-02,127.10648826552546
2026-12-03,125.5862468931821
2026-12-04,119.5832375655232
2026-12-05,128.61986496486767
2026-12-06,129.13196238288955
2026-12-07,128.8819041928367
2026-12-08,130.1151559323352
2026-12-09,127.69371293581204
2026-12-10,125.4669073892807
2026-12-11,119.14228812366032
2026-12-12,127.48137843847957
2026-12-13,129.3004441022599
2026-12-14,130.26466115946715
2026-12-15,126.52351086353437
2026-12-16,125.75494541059577
2026-12-17,126.91894248569182
2026-12-18,117.45946267773694
2026-12-19,123.69374738356674
2026-12-20,129.22320485926318
2026-12-21,126.88914751708192
2026-12-22,128.46275549034002
2026-12-23,127.81408493996614
2026-12-24,124.1060335287901
2026-12-25,117.30192959558941
2026-12-26,125.57734228248208
2026-12-27,129.17075811328843
2026-12-28,126.69007211032981
2026-12-29,127.74824256723575
2026-12-30,123.78992616261357
2026-12-31,124.21990477048561
