store_id,sales_revenue_usd,ad_spend_usd,recommended_ad_spend,change_needed
46,514945.35,19259.69,12945.224861716364,-6314.465138283635
47,513826.6,17322.29,12917.100575684759,-4405.189424315242
48,491766.93,17886.43,12362.54194431687,-5523.88805568313
49,499714.68,18663.52,12562.340643139389,-6101.179356860612
50,526087.24,21499.18,13225.321131028262,-8273.858868971738
51,505760.49,18341.08,12714.326421671447,-5626.753578328555
52,497609.87,17607.32,12509.427768518442,-5097.892231481557
53,519110.71,18287.2,13049.937957640037,-5237.262042359964
54,518742.41,17110.7,13040.679254135732,-4070.020745864269
55,506023.99,17669.88,12720.950555185931,-4948.92944481407
56,511858.65,18100.37,12867.628228247086,-5232.741771752913
57,512222.67,18482.08,12876.779336717454,-5605.300663282547
58,515528.3,20625.22,12959.879657284744,-7665.340342715257
59,490831.46,17300.48,12339.025139084259,-4961.454860915741
60,528578.36,19784.79,13287.945463022947,-6496.844536977054
61,510082.1,18172.65,12822.967490504561,-5349.68250949544
62,498736.22,18042.58,12537.743111152362,-5504.83688884764
63,476347.08,16547.73,11974.901924683842,-4572.828075316158
64,504776.01,17958.68,12689.577552744167,-5269.102447255833
65,509007.0,18430.33,12795.940522984938,-5634.389477015064
66,528992.19,19811.71,13298.348746409278,-6513.361253590721
67,538057.69,19123.83,13526.246592236781,-5597.583407763221
68,505687.1,18661.34,12712.481468507774,-5948.858531492226
69,504428.67,18534.3,12680.845763237827,-5853.4542367621725
70,493933.66,18530.7,12417.011427466154,-6113.688572533847
71,475757.89,17253.21,11960.09026158935,-5293.119738410649
72,477601.52,17476.16,12006.437325237574,-5469.722674762426
73,491773.64,18059.07,12362.710627185494,-5696.359372814506
74,511382.17,19481.95,12855.649984842983,-6626.300015157018
75,499501.81,18392.38,12556.989298542698,-5835.390701457303
76,517613.48,19013.0,13012.29905281313,-6000.70094718687
77,513627.06,19081.98,12912.08433431292,-6169.89566568708
78,497404.5,18343.38,12504.264966621406,-5839.115033378595
79,530501.73,19582.61,13336.297112653881,-6246.312887346119
80,502155.74,18881.57,12623.706515461454,-6257.863484538546
81,552740.79,21652.66,13895.36543400721,-7757.29456599279
82,496358.79,17812.78,12477.976835094156,-5334.803164905843
83,500233.93,19147.87,12575.394082712046,-6572.475917287953
84,521055.97,18739.24,13098.839900563693,-5640.400099436309
85,511885.51,18835.08,12868.30346250211,-5966.776537497892
86,518591.9,18919.27,13036.895579239093,-5882.374420760907
87,499263.1,18647.53,12550.988361498135,-6096.541638501863
88,496110.83,17348.18,12471.743362053354,-4876.436637946646
89,487581.98,17570.18,12257.336374861703,-5312.843625138297
90,532320.5,19742.58,13382.019220100321,-6360.560779899681
91,523338.88,18454.55,13156.230035825738,-5298.319964174261
92,528077.27,19781.48,13275.348548173715,-6506.131451826284
93,508530.87,19254.43,12783.971078240153,-6470.458921759848
94,507430.87,18186.97,12756.31814895768,-5430.651851042321
95,452836.83,15906.82,11383.877124080891,-4522.942875919109
96,532354.67,19680.61,13382.878220639941,-6297.73177936006
97,508024.28,18685.9,12771.23589874451,-5914.664101255492
98,481503.72,17456.42,12104.534834915812,-5351.885165084186
99,526640.44,19709.39,13239.228040554683,-6470.161959445317
100,518546.77,21105.88,13035.761054967712,-8070.118945032289
101,492205.44,17576.95,12373.565658880196,-5203.384341119805
102,527537.57,19430.7,13261.781015506669,-6168.918984493332
103,506823.89,18337.09,12741.059262579613,-5596.030737420388
104,495144.79,17087.2,12447.458056776954,-4639.741943223047
105,509215.66,19707.37,12801.186032279556,-6906.1839677204425
106,493660.04,18572.05,12410.132887002272,-6161.917112997728
107,493400.83,18104.87,12403.616599911991,-5701.253400088008
108,537047.68,21434.68,13500.855923959884,-7933.824076040117
109,532243.22,19882.7,13380.076476123093,-6502.623523876908
110,498075.13,17415.3,12521.123952043863,-4894.176047956136
111,529376.99,20152.48,13308.02224385282,-6844.45775614718
112,537166.68,19711.21,13503.847468127715,-6207.362531872284
113,487245.38,17912.93,12248.874578501269,-5664.055421498731
114,523585.95,19387.54,13162.441135132849,-6225.098864867152
115,527842.31,19031.86,13269.441882478981,-5762.41811752102
116,536000.88,20084.3,13474.540390893617,-6609.759609106382
117,506022.48,19038.88,12720.912595255733,-6317.967404744268
118,527505.84,19514.07,13260.983354192002,-6253.086645807998
119,515014.37,18791.27,12946.959957333707,-5844.310042666293
120,537213.88,20234.21,13505.034030184197,-6729.175969815802
121,504131.89,19323.58,12673.385002917417,-6650.194997082584
122,511144.12,19805.52,12849.66563955599,-6955.854360444011
123,520040.73,18745.86,13073.317755177568,-5672.542244822433
124,533691.09,20131.42,13416.474518596015,-6714.945481403984
125,494022.49,18214.15,12419.244527200846,-5794.905472799155
126,519688.85,19755.71,13064.471834490372,-6691.238165509627
127,506953.47,18834.58,12744.316777649086,-6090.263222350915
128,497937.15,18866.97,12517.655269150777,-6349.314730849224
129,514401.85,18463.22,12931.56180074816,-5531.65819925184
130,506284.3,18399.07,12727.494495205494,-5671.575504794506
131,538913.53,19892.79,13547.76157677961,-6345.02842322039
132,561873.41,20940.32,14124.950611301478,-6815.369388698522
133,483797.85,16085.39,12162.207030056537,-3923.182969943462
134,515031.2,19613.52,12947.383047151729,-6666.136952848272
135,503983.36,17614.89,12669.651103293483,-4945.238896706516
136,529232.49,20047.41,13304.389654506167,-6743.020345493833
137,514789.11,20247.35,12941.297140197188,-7306.05285980281
138,496133.35,19722.8,12472.309492932845,-7250.490507067154
139,505631.69,18421.81,12711.088515042737,-5710.721484957265
140,512857.5,19208.46,12892.738344986901,-6315.721655013098
141,508300.62,19649.86,12778.1828173608,-6871.677182639201
142,500486.22,16741.28,12581.736407738113,-4159.543592261885
143,502257.32,18585.37,12626.260137785557,-5959.109862214442
144,504915.16,18310.18,12693.0756482984,-5617.1043517016005
145,499897.36,17490.35,12566.933040522408,-4923.41695947759
146,534349.4,19770.22,13433.02379121051,-6337.196208789492
147,495769.86,18670.4,12463.171708146587,-6207.228291853415
148,528827.63,19431.62,13294.21186818862,-6137.408131811379
149,522567.56,18971.23,13136.839801812868,-5834.390198187131
150,512982.03,17384.52,12895.868907971944,-4488.651092028056
151,519523.09,18934.04,13060.30478943777,-5873.73521056223
152,533796.35,19620.6,13419.12065253808,-6201.479347461918
153,517193.85,18400.84,13001.7499630724,-5399.0900369276005
154,528796.16,19723.33,13293.420743020877,-6429.909256979125
155,499367.22,17968.44,12553.605836949853,-5414.834163050145
156,534519.1,20640.34,13437.289884027996,-7203.050115972004
157,530186.66,19822.15,13328.376559536584,-6493.7734404634175
158,507868.96,19061.23,12767.331305129825,-6293.898694870175
159,516526.88,19428.72,12984.982986487374,-6443.7370135126275
160,499258.11,18525.04,12550.8629177553,-5974.1770822447015
161,527712.86,19657.51,13266.187635482964,-6391.322364517035
162,505303.88,19340.03,12702.847690726294,-6637.182309273705
163,544867.34,20051.46,13697.434564862588,-6354.0254351374115
164,470584.16,16926.94,11830.027725392436,-5096.912274607563
165,512539.13,19827.51,12884.734833081755,-6942.7751669182435
166,484431.87,17907.62,12178.145675714422,-5729.474324285577
167,511267.85,18483.76,12852.776091319734,-5630.983908680264
168,519834.93,18789.2,13068.144143499085,-5721.055856500916
169,492800.72,18202.02,12388.530418646804,-5813.489581353197
170,504295.52,18678.45,12677.498501843318,-6000.951498156683
171,491173.82,18733.23,12347.631736238029,-6385.598263761971
172,509349.96,18545.49,12804.56220355468,-5740.927796445321
173,491830.36,17562.13,12364.136512775403,-5197.993487224598
174,524776.88,18840.47,13192.379956105917,-5648.090043894084
175,487845.43,17582.7,12263.959251424856,-5318.740748575145
176,533901.42,19675.45,13421.762010065091,-6253.68798993491
177,511763.83,18142.84,12865.244545742937,-5277.5954542570635
178,489425.32,17826.75,12303.676148192208,-5523.073851807792
179,539984.32,20964.09,13574.6801950945,-7389.409804905501
180,495739.2,17102.51,12462.400945590405,-4640.109054409593
181,526505.79,19486.94,13235.843070620243,-6251.096929379755
182,522740.31,20092.21,13141.182568661548,-6951.027431338451
183,514282.57,20138.92,12928.563217652878,-7210.35678234712
184,536565.58,20365.34,13488.736399226173,-6876.603600773828
185,476264.4,15771.3,11972.823429962866,-3798.4765700371336
186,532854.26,19816.86,13395.43742694924,-6421.422573050761
187,520153.25,19289.46,13076.1463984529,-6213.313601547099
188,501495.42,18548.31,12607.106713403453,-5941.203286596548
189,508052.01,20610.76,12771.933003952694,-7838.826996047304
190,524528.54,20349.44,13186.136930235,-7163.303069764999
191,504901.98,16685.67,12692.744315927543,-3992.9256840724556
192,493925.51,19140.99,12416.806544399198,-6724.183455600803
193,515388.83,18367.52,12956.373517241993,-5411.146482758008
194,513276.15,18204.25,12903.262798481544,-5300.987201518456
195,482849.93,17557.77,12138.377243942501,-5419.392756057499
196,533048.67,20264.73,13400.324705114519,-6864.4052948854805
197,494468.88,17990.58,12430.46633729394,-5560.113662706062
198,522208.18,19486.95,13127.805338426018,-6359.144661573982
199,536735.34,21325.35,13493.004000385255,-7832.345999614743
200,514656.68,19269.32,12937.967978901846,-6331.352021098153
