token_0,token_1,token_2,token_3,token_4,token_5,label
Sg,Sr,Dr,Tg,Cr,Tr,0
Cr,Sg,Sg,Sr,Dr,Sg,0
Cr,Cg,Tg,Cr,Cg,Tg,0
Dg,Sg,Tg,Sr,Cr,Sr,1
Tg,Sg,Dg,Tg,Sg,Sr,0
Tg,Sg,Dg,Sg,Dg,Cg,0
Sg,Sr,Dr,Dr,Cr,Dr,1
Dg,Cr,Dg,Cg,Dr,Cr,0
Dg,Cr,Cg,Dg,Tg,Cr,0
Sg,Cg,Cg,Cg,Dr,Cr,0
Sg,Dr,Cr,Tr,Dr,Tr,1
Dr,Dg,Sr,Sr,Cr,Cg,0
Sg,Tr,Sr,Tr,Sg,Tr,0
Dg,Dg,Cr,Dg,Tr,Dr,0
Dg,Sr,Tr,Tr,Cg,Dr,1
Tg,Tg,Cr,Sr,Sg,Tr,0
Sg,Dr,Tg,Cg,Cg,Cg,0
Tg,Tr,Sg,Cg,Cr,Tr,0
Dr,Sg,Cr,Tg,Dr,Cg,1
Tg,Tg,Cr,Dg,Tg,Dr,1
Tg,Cg,Cr,Cr,Tg,Cr,1
Tr,Cg,Tg,Tg,Dr,Dg,0
Tr,Cg,Tg,Cr,Tg,Tg,0
Sg,Dg,Sr,Dg,Tr,Dg,1
Cr,Cr,Dr,Tr,Cg,Dg,1
Sg,Tg,Cr,Sr,Sg,Dr,1
Tr,Tr,Tg,Cr,Cr,Dr,0
Sr,Sr,Dr,Tr,Sg,Cg,0
Cg,Dr,Sr,Cr,Dg,Tr,0
Cr,Sg,Dg,Dg,Sr,Tg,0
Cg,Tr,Cg,Sr,Dr,Cr,1
Cg,Tr,Cg,Cr,Tr,Dg,1
Tg,Cg,Cr,Sr,Dg,Cg,1
Cr,Cr,Cg,Tr,Tr,Dg,0
Dr,Dr,Dg,Cr,Dg,Cg,1
Sg,Tg,Sg,Sg,Dg,Cr,1
Dr,Dg,Dg,Tg,Tr,Sg,1
Tr,Dr,Cr,Cg,Dg,Dr,0
Dg,Sg,Sr,Dr,Sr,Cg,1
Tg,Cr,Sg,Tr,Sr,Sr,0
Sg,Cr,Sr,Dg,Cg,Tg,1
Dr,Sg,Sg,Sg,Tr,Dg,0
Dr,Sr,Cr,Tg,Cr,Cr,1
Sg,Tr,Dr,Sr,Dg,Dr,1
Cr,Sg,Dr,Sr,Sg,Tr,0
Tg,Sg,Dr,Dg,Tg,Cg,1
Cr,Cg,Dr,Tr,Tg,Tr,0
Cr,Tg,Sr,Tg,Cr,Tg,0
Sg,Dg,Tg,Tg,Cg,Tg,0
Tg,Tr,Dr,Cr,Cg,Dg,1
Tr,Tr,Tg,Dr,Tg,Sr,0
Cg,Sg,Dg,Dr,Sr,Sg,1
Sr,Sr,Dg,Tg,Sg,Sr,0
Dg,Cr,Cr,Tr,Tg,Sg,1
Tg,Cg,Tr,Cr,Tr,Dr,0
Tr,Dr,Cg,Cg,Sr,Tg,1
Dg,Tr,Sr,Tg,Tr,Sr,1
Sg,Sg,Dg,Cg,Tg,Dg,1
Cr,Tg,Tg,Cg,Dg,Sg,0
Sg,Tg,Dg,Tg,Tr,Sg,0
Tr,Cr,Tr,Tr,Sg,Cg,1
Tg,Tg,Sr,Cr,Sr,Cg,0
Cg,Cr,Sg,Cr,Sr,Tr,1
Sr,Dr,Tr,Sr,Tr,Dr,1
Sr,Cg,Sg,Cg,Cr,Sr,1
Cg,Dg,Dr,Tr,Sg,Sr,0
Dg,Sg,Sg,Cg,Dg,Sr,0
Cr,Cg,Cr,Tg,Tg,Sg,0
Cr,Sg,Cr,Cr,Dr,Tg,1
Sg,Dr,Tr,Cr,Sg,Sg,0
Cr,Tr,Dr,Cg,Sg,Dg,0
Tr,Cg,Sg,Sg,Sr,Dr,0
Sr,Cr,Sr,Cg,Cg,Sr,1
Tg,Sg,Dr,Tr,Tr,Tg,0
Dr,Sg,Dg,Cr,Cg,Cr,0
Cr,Tr,Dg,Dr,Sr,Tg,1
Tg,Cg,Dg,Cg,Cr,Cg,0
Cg,Sr,Dg,Tg,Dr,Tr,0
Cg,Tr,Dr,Tr,Sr,Sg,1
Cg,Sr,Dg,Tr,Dr,Dr,0
Dg,Sr,Dr,Dg,Tr,Dg,1
Sr,Tr,Sg,Dr,Dg,Tr,0
Dg,Tg,Tr,Sg,Cg,Cr,1
Cg,Dg,Dg,Tr,Tr,Dg,0
Sr,Dg,Sg,Tr,Sg,Tr,0
Sg,Tr,Tr,Dr,Tr,Cr,0
Tr,Sg,Tg,Cr,Sr,Tr,0
Cg,Sr,Dg,Tg,Sg,Tr,1
Dg,Dg,Cr,Dr,Tr,Cr,0
Cr,Sr,Dg,Cr,Sr,Tg,0
Tg,Cr,Sr,Dg,Dr,Cg,1
Sr,Dg,Sg,Cg,Dg,Dg,0
Tg,Cr,Cg,Cr,Cr,Tg,0
Dg,Tg,Cg,Cr,Sg,Dr,1
Sg,Sr,Cr,Sr,Tr,Dg,1
Dg,Cr,Tr,Cg,Sr,Dg,1
Sg,Tr,Tg,Cr,Cr,Sr,0
Dr,Dg,Sr,Sg,Dg,Sg,0
Tg,Tr,Tr,Dg,Cr,Dg,0
Sg,Cr,Cg,Sg,Dg,Cg,0
Dg,Tr,Dg,Dg,Dr,Dr,0
Cr,Tg,Tg,Sg,Cr,Dg,0
Tg,Sr,Dr,Tg,Sr,Cr,1
Cg,Dg,Tg,Sr,Cg,Dr,1
Sg,Tg,Tg,Sg,Dr,Tg,0
Tr,Dg,Dr,Dr,Sr,Tg,0
Tg,Dr,Sg,Dr,Cg,Dg,0
Sg,Sg,Sr,Tg,Dr,Dg,1
Tg,Dr,Cr,Dr,Cg,Cg,0
Sr,Sg,Sg,Cg,Tr,Cr,0
Tr,Tg,Tr,Dr,Dr,Tg,1
Cg,Sg,Cr,Dr,Dr,Cg,1
Cg,Cr,Tr,Dr,Dg,Sg,0
Cr,Cg,Dr,Dg,Sg,Sr,1
Tr,Sr,Sg,Dr,Dr,Dr,0
Cr,Cr,Tg,Tg,Tg,Tg,1
Tg,Dg,Tr,Dg,Tg,Sr,1
Tr,Sr,Cr,Sg,Cr,Dg,0
Sr,Cg,Tr,Tg,Dg,Cr,0
Dr,Tr,Tr,Cr,Dg,Tg,0
Sr,Tg,Dg,Dg,Sg,Tg,1
Sg,Sg,Sg,Sg,Tr,Cg,1
Cr,Sr,Cr,Dg,Dr,Tr,0
Cg,Cr,Dr,Tr,Cr,Sr,0
Tr,Sr,Tg,Cr,Sr,Cg,0
Cg,Tr,Tr,Sg,Sr,Cg,0
Cr,Tg,Dg,Tg,Tr,Dr,0
Sr,Cr,Cr,Sr,Dr,Sg,0
Sr,Sg,Dr,Dr,Sr,Cg,0
Sg,Cr,Dg,Sg,Cr,Sg,1
Cg,Cg,Sr,Cr,Sr,Cg,0
Dg,Sg,Cr,Cr,Cg,Sg,1
Cg,Sr,Tg,Cr,Tr,Dg,0
Sg,Cr,Tg,Tg,Sr,Dg,1
Dg,Dr,Cg,Sg,Sr,Sg,0
Cg,Sg,Dr,Tr,Tg,Cr,1
Tg,Cr,Dg,Tg,Cr,Cg,0
Sg,Cr,Dr,Dg,Cr,Cg,1
Tg,Cr,Tg,Tg,Cg,Cg,0
Tr,Sr,Tr,Cr,Tg,Cr,1
Cg,Sg,Dr,Tr,Sg,Tg,0
Dg,Dr,Dr,Dr,Dg,Sr,0
Cg,Tg,Cg,Sr,Tg,Tr,1
Cr,Dg,Dg,Sr,Sg,Sg,1
Cg,Cr,Cg,Dg,Dr,Tg,1
Sr,Tg,Cr,Tg,Cg,Cr,0
Cr,Dr,Cg,Tg,Cg,Sg,0
Cg,Cg,Dg,Cr,Tr,Cr,0
Tg,Sg,Dr,Tg,Sg,Cg,0
Cr,Tg,Tg,Cr,Cr,Cr,1
Tg,Sr,Tr,Cr,Tr,Sr,0
Tr,Tr,Dg,Sr,Dr,Sr,1
Tg,Tr,Dr,Sr,Cg,Cr,0
Sr,Tg,Cr,Dg,Tg,Tr,1
Tg,Tr,Sg,Dr,Tr,Tg,0
Sg,Tg,Sr,Sr,Dr,Cr,1
Tr,Dr,Dg,Cr,Dr,Dr,1
Tg,Tr,Dr,Cr,Cg,Cg,0
Tg,Cr,Dg,Sg,Tg,Dr,1
Dr,Sr,Cr,Cr,Tr,Dr,1
Sg,Dr,Dr,Dr,Tr,Sr,1
Sg,Cg,Tg,Sr,Cr,Dr,1
Cr,Tg,Tg,Sg,Cr,Cr,1
Dr,Sr,Tr,Dg,Tg,Sg,1
Cg,Cg,Sg,Dg,Cg,Sr,1
Cr,Sr,Dr,Dr,Cr,Tr,1
Sg,Dg,Dr,Dg,Cr,Dg,1
Sg,Tr,Tg,Tr,Tr,Tg,1
Dg,Dr,Sg,Cr,Tg,Sg,0
Sr,Dr,Tg,Tg,Sr,Cg,0
Dg,Sr,Dg,Dr,Cg,Sr,0
Dr,Sg,Dr,Cg,Tr,Tg,1
Cr,Dg,Cr,Sr,Sg,Sg,0
Dr,Sg,Tg,Cg,Cr,Cg,1
Dr,Cr,Dg,Dr,Dr,Tr,1
Dg,Cg,Dr,Cr,Dr,Sg,1
Cr,Sr,Dr,Cr,Sr,Cr,0
Sr,Tg,Tg,Cr,Sr,Cg,0
Tr,Tr,Sr,Cr,Sr,Dr,0
Tg,Tg,Tg,Dg,Dr,Tr,1
Sg,Tg,Cr,Cg,Dr,Dg,1
Dg,Cr,Sr,Tg,Sg,Dg,1
Cr,Cr,Dr,Tr,Cg,Dr,0
Tr,Sr,Tr,Cr,Tg,Sr,1
Cr,Dg,Dr,Sg,Tr,Sr,1
Cr,Sr,Dg,Dg,Cr,Tr,1
Tr,Cr,Dg,Tr,Tg,Tr,0
Tg,Dr,Dr,Cr,Cg,Sg,1
Dg,Dg,Cg,Sr,Tr,Tr,0
Tr,Cg,Dg,Dg,Tr,Cr,0
Dg,Cr,Sr,Sg,Dg,Sg,0
Tg,Tg,Sg,Tr,Sg,Dr,1
Tr,Tg,Tr,Dg,Sr,Cr,0
Tg,Dr,Cg,Cr,Cr,Cr,0
Cg,Cr,Cg,Tg,Cg,Tg,1
Dg,Sg,Tr,Dg,Tg,Dr,1
Dr,Dr,Sg,Sg,Cr,Cg,1
Dr,Dr,Sr,Cr,Tg,Cg,1
Sg,Sg,Sr,Dr,Tg,Dr,0
Sr,Sg,Tr,Cg,Cg,Tr,0
Sr,Dr,Sr,Cr,Tg,Sr,1
Tr,Dr,Dr,Cg,Dg,Cr,1
Dr,Cg,Tg,Dg,Dg,Tr,1
Tg,Sr,Tr,Sr,Cg,Cr,1
Tg,Tg,Sg,Cr,Sr,Tr,0
Tg,Cg,Tr,Dr,Cr,Dg,1
Tr,Tr,Sg,Dr,Sg,Cg,1
Sr,Cg,Tr,Tg,Cr,Tg,0
Sg,Sg,Dr,Sg,Dg,Tg,0
Dr,Tr,Tr,Sr,Sg,Dg,0
Sg,Tg,Sg,Dg,Sr,Cr,0
Cr,Tr,Dg,Dr,Cg,Sg,1
Cr,Dr,Tg,Dr,Tg,Tg,0
Cr,Sr,Dr,Sr,Cg,Dg,1
Sr,Sr,Tr,Tr,Sr,Cr,0
Sg,Tg,Sg,Cr,Tr,Dg,0
Tr,Tg,Sr,Dg,Tg,Dr,1
Sr,Dg,Sg,Sg,Cg,Tr,1
Tg,Dr,Sg,Sr,Sr,Dr,1
Cg,Dr,Dg,Dr,Tr,Sg,1
Cg,Dr,Dg,Sg,Tr,Tr,0
Dg,Sr,Dr,Tr,Dg,Tg,0
Sr,Sg,Dg,Tg,Sr,Tr,0
Dg,Tr,Cr,Cr,Cg,Sr,1
Sg,Tg,Cg,Sg,Cr,Sg,0
Sr,Dg,Tg,Sg,Tg,Sr,1
Cg,Sg,Cg,Sg,Sg,Tg,1
Cr,Tr,Dr,Cr,Tr,Dg,0
Tr,Dr,Tg,Cg,Dr,Tg,1
Cr,Sr,Tr,Tr,Cr,Tr,1
Cr,Sg,Sr,Cg,Sr,Cg,1
Dr,Tg,Dr,Dr,Dg,Cr,1
Sr,Sg,Tg,Dg,Dg,Dg,1
Tg,Cg,Tr,Cr,Dg,Dr,0
Sr,Sr,Dr,Cr,Cr,Cr,1
Sr,Dr,Dr,Cr,Tr,Cg,1
Tg,Dr,Cg,Sg,Cr,Cg,0
Cr,Cr,Dg,Cr,Cg,Sg,0
Dr,Dr,Dg,Cg,Cr,Cr,0
Dg,Dr,Sg,Cr,Tr,Tg,1
Cr,Dg,Tg,Sr,Sr,Tr,1
Tr,Tr,Cg,Sg,Cg,Sr,0
Cr,Dg,Cr,Dg,Sg,Cr,0
Dr,Dr,Dg,Dg,Cg,Sr,1
Tr,Tg,Sg,Tg,Cr,Cr,1
Dr,Dr,Dr,Cr,Dg,Cg,1
Dr,Dg,Tg,Dr,Tg,Cr,0
Tg,Cr,Dg,Cg,Sr,Tg,1
Dg,Dr,Sg,Dr,Sg,Sr,1
Sg,Sr,Sr,Sr,Dg,Tg,0
Cg,Dr,Dg,Tr,Dg,Tr,0
Dr,Tg,Sr,Tg,Tr,Sg,0
Cg,Tg,Dg,Tg,Tg,Dg,1
Dr,Tr,Cr,Cr,Sg,Sg,1
Sg,Sr,Cr,Cg,Sg,Dg,0
Cg,Dg,Tr,Sg,Sg,Sg,0
Cg,Tg,Sg,Dr,Sr,Sr,1
Cr,Sg,Sg,Dg,Dr,Tg,0
Sr,Cr,Sr,Tg,Dg,Sg,1
Tr,Cg,Cg,Cg,Dr,Dg,1
Tr,Dr,Sg,Dr,Tg,Cg,1
Tr,Sr,Cg,Tg,Dr,Cr,1
Dr,Tg,Dg,Sg,Sr,Cg,0
Tg,Cg,Tg,Tr,Dr,Sr,1
Sg,Tr,Sg,Sg,Tg,Sg,0
Tr,Cr,Tr,Tr,Tg,Sr,1
Sg,Sg,Sr,Sg,Tg,Dr,0
Cg,Sr,Sg,Tr,Tr,Cg,1
Tr,Tg,Tr,Tg,Dr,Sg,0
Tg,Tg,Tr,Sg,Dr,Tr,0
Dg,Dg,Cg,Dr,Tr,Tg,0
Sr,Dg,Dg,Sr,Tg,Tg,1
Tg,Dg,Cg,Tg,Cg,Cg,0
Sg,Sr,Sg,Dr,Tg,Tg,0
Dg,Dr,Dg,Cg,Dr,Dr,0
Cg,Cr,Sg,Dg,Dr,Sr,1
Dr,Cg,Tr,Sg,Cr,Sr,1
Sg,Cr,Cr,Dg,Cr,Sr,0
Sg,Dr,Tg,Cg,Sg,Tr,0
Sg,Sr,Dg,Sr,Dr,Tr,1
