token_0,token_1,token_2,token_3,token_4,token_5,token_6,label
Sr,Tb,Sb,Sb,Sb,Tb,Tr,0
Sg,Sg,Tg,Sr,Sr,Tg,Sr,0
Sb,Tb,Tr,Tb,Sg,Tg,Sg,0
Sb,Tg,Tg,Tb,Sb,Tg,Sg,0
Tg,Sb,Tr,Sr,Tg,Sr,Tr,1
Sg,Sg,Sb,Sg,Tb,Tr,Tb,1
Sr,Tb,Sb,Sr,Sr,Sg,Tr,1
Tb,Sr,Tr,Sg,Sg,Sr,Tg,0
Sr,Sg,Tb,Sr,Sb,Sb,Tg,0
Tr,Sr,Tr,Sb,Sg,Tr,Tb,1
Sg,Sg,Tb,Sb,Sb,Sb,Tb,1
Sr,Sg,Tb,Tr,Tr,Tb,Sg,1
Tg,Sg,Tb,Sb,Sb,Sr,Sr,1
Sb,Tr,Tb,Sg,Tr,Sg,Tr,1
Sb,Tr,Sr,Tg,Sg,Sr,Tb,0
Sb,Sr,Sr,Tg,Tb,Sb,Tb,1
Tb,Sr,Tr,Tg,Sr,Tb,Sb,1
Tr,Tr,Sb,Sg,Tg,Tg,Tr,1
Tg,Sr,Tb,Sg,Sg,Sg,Tr,1
Sr,Tg,Tr,Sb,Sr,Sr,Sg,1
Sb,Sr,Sb,Tr,Tb,Sb,Sg,0
Sb,Sg,Sb,Tb,Tb,Tb,Tb,0
Tg,Sg,Tb,Sr,Sb,Tr,Tg,1
Sr,Sg,Tb,Sb,Tb,Tg,Sb,0
Tr,Tr,Tr,Sr,Sb,Tb,Sg,0
Tg,Tb,Sb,Sr,Sr,Tg,Tb,1
Sb,Sb,Sb,Sg,Sb,Sb,Sr,1
Tr,Sb,Sr,Sr,Tr,Sg,Tr,0
Sg,Sr,Sb,Tg,Tg,Sg,Sr,1
Sg,Tr,Sg,Sb,Sb,Tr,Sb,1
Sr,Tb,Tg,Tg,Tb,Tg,Sb,0
Tr,Tg,Tb,Sb,Tg,Tb,Sg,1
Tg,Tg,Sg,Tr,Sr,Sg,Tr,1
Sr,Tg,Sg,Sr,Sg,Sr,Tg,0
Sb,Tb,Sr,Tg,Sb,Sb,Tg,0
Sr,Tg,Tg,Tr,Tr,Sb,Tb,1
Sb,Tr,Sr,Tg,Tr,Tb,Tg,0
Sb,Tr,Sb,Tb,Sb,Sg,Sr,1
Tr,Tb,Tr,Tb,Sr,Sg,Sr,0
Tg,Tb,Sr,Sr,Tb,Sg,Sr,0
Tb,Sr,Tb,Sr,Tb,Tb,Sr,1
Sg,Tg,Sb,Sb,Sg,Sb,Sr,1
Sr,Tg,Sb,Tg,Tr,Sb,Tr,0
Sb,Sb,Tb,Tg,Tr,Sr,Sb,1
Sb,Sr,Tb,Tg,Sr,Sg,Sb,1
Tg,Tb,Tg,Tb,Sg,Tb,Sb,0
Tg,Tb,Tb,Sg,Sg,Sr,Sr,0
Sb,Sg,Tb,Tg,Sr,Sr,Sr,0
Sb,Sb,Sg,Tb,Sr,Tr,Tg,0
Tg,Sb,Sg,Sb,Tr,Sg,Sb,1
Tb,Sg,Tb,Sg,Sr,Tb,Sb,0
Sg,Tb,Sg,Sb,Tb,Tr,Tg,1
Tb,Sg,Sr,Sg,Tb,Sr,Sb,1
Sg,Sg,Tb,Tb,Tr,Tr,Tb,0
Sr,Tg,Sb,Sr,Sr,Tb,Tb,1
Sr,Sb,Sg,Sb,Tb,Tb,Tb,0
Sb,Sb,Sb,Sr,Sr,Sr,Tr,1
Sg,Tg,Tg,Tg,Tr,Sb,Tb,0
Tr,Tr,Tb,Tb,Tb,Sb,Sg,0
Sr,Sg,Tb,Sb,Tb,Tb,Sr,1
Sr,Tr,Tb,Sr,Sr,Sr,Sg,0
Tr,Tr,Tb,Tr,Tb,Sb,Tr,0
Tg,Tb,Sb,Tr,Sg,Tb,Tg,0
Tg,Sg,Tr,Tr,Tb,Sb,Tb,1
Sr,Tr,Tg,Sr,Sr,Sg,Sb,0
Tb,Sg,Sb,Sg,Tr,Tb,Sr,0
Sr,Sb,Sr,Tg,Tb,Tb,Sb,0
Tr,Sb,Tr,Sg,Tg,Sb,Tg,0
Tr,Sg,Tg,Tb,Sr,Sr,Tr,1
Sg,Sg,Sb,Sg,Sg,Tr,Tr,0
Tb,Sg,Sg,Sg,Sr,Sg,Sb,0
Tb,Tg,Tg,Tr,Sg,Tg,Tb,0
Sg,Sr,Sg,Sr,Tg,Tg,Tb,0
Tg,Tr,Sr,Sr,Tb,Sb,Sg,1
Sb,Tr,Tr,Sg,Sg,Sr,Tb,1
Sr,Tb,Sr,Sg,Tg,Sg,Tr,0
Sr,Tr,Tb,Tg,Tb,Sr,Tb,1
Sb,Sb,Tb,Sr,Tb,Tg,Tg,1
Sg,Tr,Sr,Sg,Tg,Tr,Tg,0
Sb,Tr,Sb,Sb,Tr,Sg,Tr,0
Tg,Sg,Tg,Tg,Tb,Sg,Tb,0
Tb,Tb,Sg,Tg,Tg,Tb,Sg,0
Tb,Tb,Sr,Sr,Sr,Sr,Sg,0
Tr,Tr,Tg,Tg,Sb,Tr,Sr,0
Tg,Tb,Sb,Sb,Sg,Sb,Sg,1
Tg,Tr,Tr,Sb,Tb,Tb,Tr,1
Sr,Tb,Tr,Sb,Sr,Sr,Tb,0
Tb,Tb,Tb,Tr,Tr,Sb,Tr,1
Sg,Tg,Tg,Sr,Tb,Sb,Tg,0
Tr,Tb,Sb,Tb,Sb,Tg,Sg,1
Tb,Sr,Tg,Tb,Tr,Sg,Sr,0
Sr,Sr,Tg,Sg,Sb,Tg,Tr,1
Sr,Sr,Tg,Sb,Sb,Sr,Tr,1
Sr,Sg,Sr,Tr,Sg,Sr,Sg,1
Sr,Sr,Sr,Sr,Sr,Tg,Sg,0
Tb,Sr,Sg,Sr,Tb,Tr,Tr,0
Sb,Sg,Sb,Tb,Sb,Tr,Sb,0
Sr,Sb,Tg,Sb,Tg,Sg,Sb,1
Tr,Sb,Sg,Tr,Sg,Sb,Tb,1
Tg,Tr,Sr,Sb,Sg,Sg,Tg,1
Tb,Sr,Sg,Sg,Tr,Sr,Sg,1
Sr,Tr,Sb,Sr,Sb,Tg,Sb,0
Tr,Sg,Sg,Tg,Sr,Tg,Sr,0
Tb,Tg,Tr,Tb,Tr,Tg,Sb,0
Tg,Sg,Sg,Tr,Tr,Sb,Sg,0
Sb,Tg,Tg,Tr,Sb,Sr,Sb,0
Sr,Tr,Tr,Sb,Tg,Tr,Tr,1
Sg,Sg,Tb,Sr,Tg,Sg,Sg,1
Tg,Sr,Tr,Tg,Sb,Sr,Sr,1
Sg,Sr,Sg,Tg,Tb,Tb,Tr,1
Sr,Sr,Sb,Sr,Tg,Sr,Tr,0
Sb,Tb,Tr,Sg,Tg,Sg,Sg,0
Sr,Tr,Tb,Sr,Sr,Sr,Sb,1
Sr,Tb,Tg,Tg,Tg,Sg,Tr,0
Tr,Sb,Tb,Tg,Sb,Tg,Tb,1
Sg,Tr,Sr,Sg,Tr,Tr,Tg,1
Sb,Tg,Tb,Tb,Sr,Sr,Sr,1
Tr,Sg,Sr,Tg,Sr,Sb,Sr,0
Sb,Sg,Tr,Tg,Tb,Sg,Sb,0
Sb,Tg,Tg,Tg,Tg,Sr,Tg,0
Sr,Tb,Tb,Sg,Tr,Sg,Sg,1
Sr,Sr,Tb,Sg,Sr,Tg,Tr,0
Sg,Tg,Tg,Tr,Tr,Tb,Sr,1
Sr,Tr,Tb,Sb,Sr,Sr,Sg,0
Sb,Sg,Sg,Tb,Sg,Tr,Tr,0
Sr,Sr,Tr,Sg,Sg,Tg,Sg,1
Tb,Tb,Tb,Sg,Tb,Tb,Tg,0
Sr,Tg,Sb,Sr,Tr,Tg,Tg,1
Tg,Tb,Tb,Sb,Sr,Sg,Sg,0
Tg,Tr,Sr,Tr,Sb,Sb,Sg,0
Tb,Tg,Sr,Sr,Sg,Tg,Tr,1
Sb,Tr,Tb,Tr,Sg,Sr,Sb,1
Tb,Tb,Sb,Sb,Tg,Tg,Sg,1
Sb,Sb,Tg,Sr,Sg,Tb,Sr,0
Tb,Sg,Tb,Tg,Sg,Sb,Sg,1
Tg,Tr,Sr,Sr,Sg,Tr,Tg,0
Sr,Sg,Sb,Tb,Tg,Sb,Tb,0
Sg,Sg,Tb,Tb,Sr,Tg,Tr,0
Sb,Tr,Tg,Sr,Tb,Tg,Tb,0
Tg,Sg,Tg,Tr,Tr,Tb,Sb,0
Sg,Tg,Tr,Tg,Sb,Sg,Sb,0
Sr,Sg,Sb,Tr,Sr,Tg,Tr,1
Sr,Tb,Tr,Tb,Tb,Tb,Tr,1
Tr,Tr,Tb,Sb,Sb,Tg,Tb,0
Sg,Tg,Tb,Sb,Tr,Tg,Sr,0
Sg,Sr,Sg,Tr,Sg,Tg,Sg,1
Sg,Tr,Tr,Tg,Tr,Sr,Tg,1
Tr,Sb,Sb,Tb,Sg,Tb,Tb,0
Tr,Sb,Sr,Tg,Tg,Sr,Sg,0
Tg,Sg,Tr,Sb,Sb,Sb,Tb,1
Sg,Tr,Tb,Sr,Sb,Tr,Sr,1
Tr,Tg,Tr,Sb,Tg,Sb,Tg,0
Tg,Tr,Sr,Sg,Tr,Tg,Sg,1
Tg,Tb,Tg,Tg,Sg,Sr,Sb,1
Sg,Tr,Tr,Sg,Sb,Sg,Tg,0
Tb,Tr,Sb,Sr,Sg,Sg,Sb,1
Tr,Sg,Tb,Sb,Sb,Tr,Tg,1
Tg,Tb,Sg,Sb,Sr,Tb,Sb,1
Tr,Sb,Tr,Sb,Tg,Sb,Tb,1
Tg,Tb,Tb,Tr,Tg,Tr,Sr,0
Tb,Sr,Sg,Tb,Sg,Sg,Tb,0
Tr,Tg,Sr,Sr,Tb,Sb,Tg,0
Tb,Sr,Tb,Sb,Sb,Tb,Tb,1
Tg,Sg,Tr,Tr,Tb,Sb,Sb,0
Tb,Tb,Tr,Tr,Sb,Sr,Tr,0
Sg,Tg,Sr,Tg,Tr,Tb,Sr,1
Sr,Sg,Sr,Sr,Tg,Sb,Tr,1
Tg,Tb,Sb,Sg,Sb,Sg,Tr,0
Sr,Sr,Tb,Sb,Tb,Tr,Tb,0
Tr,Tg,Tg,Sb,Tb,Tr,Tr,0
Sb,Tb,Sg,Sg,Sb,Sb,Tb,1
Sg,Sb,Tr,Tr,Sg,Tr,Sb,0
Sg,Sb,Sb,Sg,Sb,Sr,Tg,0
Tg,Sb,Tr,Sb,Tg,Sb,Tr,1
Sg,Sb,Sg,Sr,Sr,Sr,Tb,1
Sg,Sr,Tr,Tg,Sb,Tr,Tb,1
Sr,Tb,Sg,Tb,Sb,Tr,Sb,1
Sb,Tr,Tg,Sr,Tb,Tg,Tg,1
Sg,Tb,Sr,Sg,Sr,Sg,Tb,1
Tr,Sg,Sr,Tb,Sb,Sb,Tr,0
Sb,Sb,Sb,Tg,Tb,Tg,Tg,1
Tg,Sb,Tr,Tg,Tg,Sg,Sr,0
Tg,Tr,Sb,Tb,Tg,Sr,Tg,0
Tg,Sr,Tg,Sg,Tb,Sg,Tg,0
Tr,Tb,Sr,Tr,Tg,Tb,Sr,0
Sg,Tr,Tr,Sg,Sg,Tg,Sg,1
Sr,Sr,Sb,Tg,Sb,Sb,Sg,0
Tb,Sb,Tb,Sr,Tg,Sr,Sb,1
Tg,Sg,Sb,Tr,Sb,Tg,Tb,0
Sg,Tg,Tb,Sr,Tb,Sb,Tg,1
Tg,Tb,Sr,Sr,Tb,Sr,Sr,0
Tb,Tb,Sg,Tg,Sr,Sb,Sb,0
Tg,Sg,Tb,Tr,Tr,Tg,Tg,0
Sr,Sb,Tb,Tr,Sg,Sb,Tr,0
Sr,Tb,Tr,Sr,Tr,Tb,Tg,0
Sr,Sr,Sr,Sr,Sg,Sb,Sb,1
Tg,Sr,Tg,Tr,Sb,Sr,Tg,0
Sg,Tr,Sb,Tb,Sg,Sb,Sr,0
Sr,Tg,Tr,Sg,Tg,Sb,Sb,1
Tb,Tb,Sg,Tg,Tr,Tb,Tr,0
Sb,Sr,Sr,Tb,Tb,Sr,Sr,1
Tr,Sr,Sb,Sg,Sr,Sg,Tb,1
Tb,Tg,Tb,Tb,Tb,Sg,Sg,0
Sg,Sr,Sb,Tg,Tb,Tr,Sr,0
Tr,Tb,Tr,Tb,Tg,Sg,Sg,1
Sr,Sb,Tb,Tr,Tg,Sg,Sb,0
Sg,Tb,Tr,Sr,Sr,Tg,Tb,0
Sg,Tr,Tr,Tg,Sr,Sg,Sg,0
Sg,Sg,Tg,Tg,Sb,Tg,Tg,1
Sg,Sg,Tr,Tg,Tr,Sb,Sb,0
Sb,Tr,Tr,Tr,Sr,Tr,Tb,0
Tg,Tb,Tg,Tg,Sg,Sr,Tr,1
Sb,Sr,Tg,Sr,Tr,Sg,Tg,0
Sb,Tb,Sb,Tg,Sb,Sb,Sb,0
Tg,Sr,Tr,Tb,Tb,Tr,Tb,1
Sg,Tr,Tg,Tg,Sg,Tb,Sg,1
Tr,Tb,Sr,Tb,Tr,Sg,Sg,1
Sr,Tg,Tg,Sg,Sb,Tr,Sb,0
Sb,Tr,Tg,Tg,Sg,Tg,Sb,1
Sg,Tr,Sr,Tr,Sg,Sg,Tb,1
Tg,Tg,Tr,Tr,Tg,Tr,Tg,1
Sb,Sb,Tg,Sr,Tb,Sb,Sg,0
Tb,Sr,Tg,Sb,Sr,Sb,Sb,1
Sg,Tb,Sr,Tg,Tb,Sg,Sr,1
Sr,Tr,Tb,Sg,Tg,Sr,Sb,1
Tr,Tg,Sb,Tb,Sg,Sg,Sg,0
Tg,Sg,Tg,Tb,Sg,Tb,Tr,0
Tr,Sg,Sb,Tr,Sb,Tg,Tb,1
Tb,Sb,Sr,Tr,Tb,Tg,Sg,0
Tb,Tb,Tb,Tr,Sr,Sr,Tg,0
Sr,Tg,Tr,Sg,Sr,Tb,Tb,1
Tb,Sg,Sr,Tg,Tr,Tb,Sg,1
Tg,Tr,Tb,Tb,Tr,Tr,Tb,0
Sb,Sb,Tr,Tb,Sg,Sr,Sb,1
Sr,Sr,Tb,Sr,Tr,Sb,Tb,1
Tg,Tr,Sr,Sr,Sb,Sg,Sg,0
Sg,Tb,Tb,Tr,Sr,Sg,Sr,0
Tb,Sg,Sr,Tg,Tr,Sr,Sr,0
Tb,Sr,Tb,Tr,Sg,Tb,Tr,1
Tg,Tb,Sr,Sr,Sg,Tb,Sg,0
Sr,Tb,Sg,Tb,Sg,Tg,Tb,1
Tr,Sg,Tr,Sb,Sb,Tb,Sg,1
Tb,Sb,Sg,Sb,Sr,Sg,Tb,1
Sb,Tr,Tg,Tb,Tb,Tr,Sr,1
Tr,Sb,Tb,Sr,Tr,Tg,Tb,0
Sg,Sb,Sb,Tb,Tr,Sb,Sr,1
Sb,Tg,Tb,Sg,Sr,Sb,Sb,1
Tb,Tb,Sb,Tb,Sg,Tb,Tr,0
Tg,Tg,Sr,Sr,Sb,Tg,Sg,0
Sr,Sg,Tr,Sg,Sg,Sg,Tr,1
Sg,Tg,Sb,Tb,Sr,Sg,Sg,0
Sb,Tb,Tr,Tr,Tg,Tg,Sr,0
Tg,Sb,Sg,Sb,Tr,Sb,Sr,1
Sg,Tr,Sb,Tr,Sr,Sg,Sr,0
Sg,Sg,Tb,Sg,Sr,Sr,Sb,1
Sg,Tg,Sg,Sr,Sr,Tg,Sr,1
Tb,Tb,Tb,Tb,Sg,Tg,Sb,1
Tr,Tg,Sb,Sr,Sr,Tb,Tg,0
Tr,Tg,Sr,Tg,Sr,Tg,Tg,0
Sg,Sb,Sg,Tb,Tg,Sg,Tb,1
Sr,Sg,Sb,Tg,Sg,Sr,Sg,0
Tr,Tg,Sb,Tr,Tr,Sr,Sg,1
Sg,Sg,Sr,Sr,Tg,Tb,Tg,1
Sg,Tr,Tg,Tr,Tb,Sb,Sr,1
Tr,Tb,Tg,Sg,Sr,Tg,Tb,0
Sg,Sb,Sb,Sr,Tr,Tg,Sb,0
Sb,Sr,Tr,Sr,Tr,Tb,Sb,0
Sg,Sg,Tg,Tr,Sb,Sb,Tb,1
Tb,Tr,Tr,Tg,Sg,Sb,Tg,0
Tr,Sb,Tg,Tg,Sb,Tr,Sb,1
Tb,Sr,Tb,Tr,Tb,Sr,Sg,0
Sb,Sr,Tr,Tg,Tb,Sb,Tr,0
Tg,Sg,Tg,Sb,Sg,Sb,Tb,1
Sg,Tg,Tg,Tg,Tb,Sg,Sg,0
Sg,Sg,Sg,Sr,Sb,Sr,Sg,0
Tr,Sb,Sg,Tg,Sg,Sb,Sr,1
Sg,Tg,Sb,Tb,Sb,Sg,Tg,0
Sr,Tb,Sb,Tb,Sg,Tg,Tb,0
Tb,Tg,Sb,Tb,Sg,Tr,Sg,1
Tb,Sg,Tg,Sg,Tg,Tg,Tr,0
Tg,Sb,Tr,Sg,Sb,Sb,Sg,0
Sr,Sr,Sb,Tg,Sr,Tr,Sg,1
Tg,Sr,Sb,Tb,Tg,Sr,Sr,1
Tb,Tb,Sg,Tr,Tg,Tg,Sb,1
Sb,Sg,Sr,Sg,Tr,Tr,Sg,0
Sr,Tg,Sb,Tr,Sg,Sg,Tg,0
Tb,Tb,Sb,Tb,Sr,Sb,Sg,1
Tg,Sr,Tg,Sr,Tg,Tb,Sb,0
Tb,Sr,Sg,Tb,Tr,Sb,Sb,1
Sb,Sr,Sb,Sg,Tb,Sb,Tr,0
Sr,Tb,Sb,Sb,Tb,Sb,Sb,1
Tr,Tb,Sg,Sg,Tg,Sb,Tb,1
Sg,Tr,Sr,Sb,Sg,Sr,Sg,1
Sb,Tg,Tg,Sb,Tg,Sg,Tr,1
Sr,Sg,Sr,Tg,Sr,Tb,Tg,0
Sg,Tr,Sg,Sr,Tr,Sr,Tb,1
Tb,Sr,Sb,Sg,Sr,Sg,Sr,1
Tr,Sg,Sb,Tb,Sr,Tg,Sb,0
Tr,Tg,Tr,Tb,Tr,Tg,Tr,1
Tg,Tg,Sg,Tr,Sg,Tb,Tb,1
Sg,Tg,Sr,Tb,Sr,Sr,Sg,1
Tr,Sg,Tb,Sg,Sr,Sr,Tr,1
Sr,Tb,Sb,Tg,Sb,Sr,Tb,0
Tb,Sr,Sb,Sb,Sr,Sb,Tg,0
Tr,Sr,Sb,Tr,Tr,Tg,Tr,1
Tg,Tr,Sg,Sr,Sr,Sr,Tg,1
Tg,Tb,Sg,Sr,Sr,Tb,Sb,0
Tg,Tr,Tg,Sr,Sb,Sg,Tr,0
Sb,Tr,Tb,Sr,Tg,Sr,Tg,0
Tg,Tr,Tg,Tb,Sb,Tg,Sr,1
Sg,Sb,Tg,Tb,Sb,Sb,Sb,1
Sg,Sr,Tb,Tr,Tg,Sg,Tg,0
Tb,Sr,Sg,Sr,Tg,Sr,Tb,1
Sb,Tb,Tb,Tg,Tr,Sb,Sb,0
Sr,Sr,Tb,Tb,Sb,Sb,Tb,0
Sg,Sb,Sr,Sb,Tr,Sg,Tg,0
Sr,Sb,Sr,Sg,Sb,Sr,Sr,1
Sr,Tg,Tg,Tb,Sr,Sb,Tb,1
Tb,Sg,Tb,Tg,Tb,Tr,Sb,1
Tg,Sg,Sg,Tr,Sr,Tb,Sb,0
Tb,Tg,Sb,Sb,Sb,Tg,Sr,1
Tb,Tg,Tb,Sr,Sb,Sg,Tb,0
Tr,Sb,Sr,Tr,Tb,Sr,Sr,0
Tb,Tr,Tr,Sb,Tr,Tb,Sr,1
Tr,Tg,Tb,Tg,Tg,Tr,Tb,0
Tr,Tr,Tr,Sg,Tb,Tg,Sb,0
Sr,Sr,Tr,Tg,Sb,Sb,Tg,0
Tg,Tr,Sr,Sb,Sr,Sb,Tg,1
Sb,Tg,Sg,Tg,Sr,Tg,Tb,1
Tr,Sb,Tb,Sg,Sr,Tb,Sb,1
Sb,Sg,Tb,Tr,Sg,Sb,Sr,1
Tb,Sb,Sg,Tb,Tr,Tg,Sr,1
