source,source_row,id_raw,title,maker,culture,medium,dimensions,date_text,date_begin_raw,date_end_raw,date_begin_parsed,date_end_parsed,date_parse_method,date_begin,date_end,id_norm,title_norm,maker_norm,medium_norm,orig_A_accno,orig_A_title,orig_A_year_note,orig_A_source,orig_A_source_row,orig_B_accession,orig_B_object_name,orig_B_remarks,orig_B_source,orig_B_source_row
A,20,,Porcelain figure,,,,,,,,,,empty,,,,porcelain figure,,,B44,Porcelain figure,Kangxi period,A,20.0,,,,,
A,21,,figurine porcelain,,,,,,,,,,empty,,,,figurine porcelain,,,B-044,figurine porcelain,Qing early,A,21.0,,,,,
A,22,,Silver hairpin,,,,,,,,,,empty,,,,silver hairpin,,,C901,Silver hairpin,Republic era; 1920s,A,22.0,,,,,
A,23,,hairpin silver,,,,,,,,,,empty,,,,hairpin silver,,,C-901,hairpin silver,early 20th c,A,23.0,,,,,
A,24,,Ewer,,,,,,,,,,empty,,,,ewer,,,H222,Ewer,Islamic metalwork; 12th c,A,24.0,,,,,
A,25,,ewer brass,,,,,,,,,,empty,,,,ewer brass,,,H-222,ewer brass,medieval,A,25.0,,,,,
A,26,,Wood printing block,,,,,,,,,,empty,,,,wood printing block,,,J150,Wood printing block,Qing; 19th c,A,26.0,,,,,
A,27,,block print wood,,,,,,,,,,empty,,,,block print wood,,,J-150,block print wood,1800s,A,27.0,,,,,
A,28,,Snuff bottle,,,,,,,,,,empty,,,,snuff bottle,,,L600,Snuff bottle,Qianlong style,A,28.0,,,,,
A,29,,bottle snuff,,,,,,,,,,empty,,,,bottle snuff,,,L-600,bottle snuff,18th c,A,29.0,,,,,
A,30,,Jade pendant,,,,,,,,,,empty,,,,jade pendant,,,G333,Jade pendant,Warring States style,A,30.0,,,,,
A,31,,pendant jade,,,,,,,,,,empty,,,,pendant jade,,,G-333,pendant jade,Zhou period ref,A,31.0,,,,,
A,32,,Cloisonne vase,,,,,,,,,,empty,,,,cloisonne vase,,,F888,Cloisonne vase,19th c export,A,32.0,,,,,
A,33,,vase cloisonne,,,,,,,,,,empty,,,,vase cloisonne,,,F-888,vase cloisonne,late Qing,A,33.0,,,,,
A,34,,Rubbing,,,,,,,,,,empty,,,,rubbing,,,A001,Rubbing,20th c copy of stele,A,34.0,,,,,
A,35,,stele rubbing,,,,,,,,,,empty,,,,stele rubbing,,,A-001,stele rubbing,modern,A,35.0,,,,,
A,36,,Replica vase,,,,,,,,,,empty,,,,replica vase,,,Z999,Replica vase,marked reproduction 1998,A,36.0,,,,,
A,37,,vase replica,,,,,,,,,,empty,,,,vase replica,,,Z-999,vase replica,1998,A,37.0,,,,,
A,38,,system footer,,,,,,,,,,empty,,,,system footer,,,TOTAL_ROWS,system footer,not an object,A,38.0,,,,,
B,0,,,,,,,,,,,,empty,,,,,,,,,,,,,,,B,0.0
B,1,EXPORT_NOTE,merged from legacy DB,,,,,,,,,,empty,,,EXPORT_NOTE,merged from legacy db,,,,,,,,EXPORT_NOTE,merged from legacy DB,internal,B,1.0
B,2,X100,Vase Han,,,,,,,,,,empty,,,X100,vase han,,,,,,,,X100,Vase Han,duplicate of batch A X-100,B,2.0
B,3,X100,Han vase,,,,,,,,,,empty,,,X100,han vase,,,,,,,,X100 ,Han vase,trailing space test,B,3.0
B,4,M205,Handscroll landscape,,,,,,,,,,empty,,,M205,handscroll landscape,,,,,,,,M205,Handscroll landscape,1752 vs 18th c conflict,B,4.0
B,5,T088,Mirror,,,,,,,,,,empty,,,T088,mirror,,,,,,,,T088,Mirror,T88 duplicate,B,5.0
B,6,T88x,Bronze mirror (typo id),,,,,,,,,,empty,,,T88X,bronze mirror typo id,,,,,,,,T88x,Bronze mirror (typo id),should match T88,B,6.0
B,7,P401,Silk robe frag,,,,,,,,,,empty,,,P401,silk robe frag,,,,,,,,P401,Silk robe frag,1890-1910,B,7.0
B,8,K12,Stone figure,,,,,,,,,,empty,,,K12,stone figure,,,,,,,,K12,Stone figure,550 CE,B,8.0
B,9,K12,Bodhisattva,,,,,,,,,,empty,,,K12,bodhisattva,,,,,,,,K12 ,Bodhisattva,dup,B,9.0
B,10,R500,Celadon plate,,,,,,,,,,empty,,,R500,celadon plate,,,,,,,,R500,Celadon plate,Longquan,B,10.0
B,11,D77,Lacquer case,,,,,,,,,,empty,,,D77,lacquer case,,,,,,,,D77,Lacquer case,Edo,B,11.0
B,12,N300,Inkstone Ming,,,,,,,,,,empty,,,N300,inkstone ming,,,,,,,,N300,Inkstone Ming,Wanli,B,12.0
B,13,B44,Porcelain statuette,,,,,,,,,,empty,,,B44,porcelain statuette,,,,,,,,B44,Porcelain statuette,Kangxi,B,13.0
B,14,C901,Hairpin,,,,,,,,,,empty,,,C901,hairpin,,,,,,,,C901,Hairpin,1920s,B,14.0
B,15,H222,Brass ewer,,,,,,,,,,empty,,,H222,brass ewer,,,,,,,,H222,Brass ewer,12th century,B,15.0
B,16,J150,Printing block,,,,,,,,,,empty,,,J150,printing block,,,,,,,,J150,Printing block,19th century,B,16.0
B,17,L600,Snuff bottle,,,,,,,,,,empty,,,L600,snuff bottle,,,,,,,,L600,Snuff bottle,Qianlong,B,17.0
B,18,G333,Jade ornament,,,,,,,,,,empty,,,G333,jade ornament,,,,,,,,G333,Jade ornament,Warring States,B,18.0
B,19,F888,Cloisonne,,,,,,,,,,empty,,,F888,cloisonne,,,,,,,,F888,Cloisonne,export ware,B,19.0
B,20,A001,Paper rubbing,,,,,,,,,,empty,,,A001,paper rubbing,,,,,,,,A001,Paper rubbing,modern,B,20.0
B,21,Z999,Reproduction vase,,,,,,,,,,empty,,,Z999,reproduction vase,,,,,,,,Z999,Reproduction vase,1998,B,21.0
B,22,S400,Snuff dish,,,,,,,,,,empty,,,S400,snuff dish,,,,,,,,S400,Snuff dish,not in batch A; 1880,B,22.0
B,23,S-400,dish snuff,,,,,,,,,,empty,,,S-400,dish snuff,,,,,,,,S-400,dish snuff,late 19th,B,23.0
B,24,W700,Bronze bell,,,,,,,,,,empty,,,W700,bronze bell,,,,,,,,W700,Bronze bell,Ming; 15th c,B,24.0
B,25,W-700,bell bronze,,,,,,,,,,empty,,,W-700,bell bronze,,,,,,,,W-700,bell bronze,1400s,B,25.0
B,26,Y050,Glass bead strand,,,,,,,,,,empty,,,Y050,glass bead strand,,,,,,,,Y050,Glass bead strand,Han,B,26.0
B,27,Y-050,beads glass,,,,,,,,,,empty,,,Y-050,beads glass,,,,,,,,Y-050,beads glass,206 BCE-220 CE ref,B,27.0
B,28,Q120,Iron sword,,,,,,,,,,empty,,,Q120,iron sword,,,,,,,,Q120,Iron sword,Warring States,B,28.0
B,29,Q-120,sword iron,,,,,,,,,,empty,,,Q-120,sword iron,,,,,,,,Q-120,sword iron,400-200 BCE,B,29.0
B,30,V303,Gilt bronze fitting,,,,,,,,,,empty,,,V303,gilt bronze fitting,,,,,,,,V303,Gilt bronze fitting,Tang,B,30.0
B,31,V-303,fitting gilt,,,,,,,,,,empty,,,V-303,fitting gilt,,,,,,,,V-303,fitting gilt,618-907,B,31.0
B,32,U808,Stoneware jar,,,,,,,,,,empty,,,U808,stoneware jar,,,,,,,,U808,Stoneware jar,Five Dynasties,B,32.0
B,33,U-808,jar stoneware,,,,,,,,,,empty,,,U-808,jar stoneware,,,,,,,,U-808,jar stoneware,10th c,B,33.0
B,34,E505,Painting album leaf,,,,,,,,,,empty,,,E505,painting album leaf,,,,,,,,E505,Painting album leaf,19th c,B,34.0
B,35,E-505,album painting,,,,,,,,,,empty,,,E-505,album painting,,,,,,,,E-505,album painting,1800s,B,35.0
B,36,FOOTER,row count check,,,,,,,,,,empty,,,FOOTER,row count check,,,,,,,,FOOTER,row count check,ignore,B,36.0
