source,source_row,id_raw,title,maker,culture,medium,dimensions,date_text,date_begin_raw,date_end_raw,date_begin_parsed,date_end_parsed,date_parse_method,date_begin,date_end,id_norm,title_norm,maker_norm,medium_norm,orig_A_accno,orig_A_title,orig_A_year_note,orig_A_source,orig_A_source_row,orig_B_accession,orig_B_object_name,orig_B_remarks,orig_B_source,orig_B_source_row,cluster_id,sources,source_rows,n_merged_rows,date_mid
B,13,B44,Porcelain statuette,,,,,,,,,,empty,,,B44,porcelain statuette,,,,,,,,B44,Porcelain statuette,Kangxi,B,13.0,44,B,B:13,1,
B,14,C901,Hairpin,,,,,,,,,,empty,,,C901,hairpin,,,,,,,,C901,Hairpin,1920s,B,14.0,45,B,B:14,1,
B,11,D77,Lacquer case,,,,,,,,,,empty,,,D77,lacquer case,,,,,,,,D77,Lacquer case,Edo,B,11.0,43,B,B:11,1,
B,35,E-505,album painting,,,,,,,,,,empty,,,E-505,album painting,,,,,,,,E-505,album painting,1800s,B,35.0,64,B,B:35,1,
B,34,E505,Painting album leaf,,,,,,,,,,empty,,,E505,painting album leaf,,,,,,,,E505,Painting album leaf,19th c,B,34.0,63,B,B:34,1,
B,1,EXPORT_NOTE,merged from legacy DB,,,,,,,,,,empty,,,EXPORT_NOTE,merged from legacy db,,,,,,,,EXPORT_NOTE,merged from legacy DB,internal,B,1.0,37,B,B:1,1,
B,19,F888,Cloisonne,,,,,,,,,,empty,,,F888,cloisonne,,,,,,,,F888,Cloisonne,export ware,B,19.0,29,A;B,A:32;B:19,2,
B,36,FOOTER,row count check,,,,,,,,,,empty,,,FOOTER,row count check,,,,,,,,FOOTER,row count check,ignore,B,36.0,65,B,B:36,1,
B,18,G333,Jade ornament,,,,,,,,,,empty,,,G333,jade ornament,,,,,,,,G333,Jade ornament,Warring States,B,18.0,48,B,B:18,1,
B,15,H222,Brass ewer,,,,,,,,,,empty,,,H222,brass ewer,,,,,,,,H222,Brass ewer,12th century,B,15.0,46,B,B:15,1,
B,16,J150,Printing block,,,,,,,,,,empty,,,J150,printing block,,,,,,,,J150,Printing block,19th century,B,16.0,47,B,B:16,1,
B,9,K12,Bodhisattva,,,,,,,,,,empty,,,K12,bodhisattva,,,,,,,,K12 ,Bodhisattva,dup,B,9.0,10,A;B,A:13;B:9,2,
B,8,K12,Stone figure,,,,,,,,,,empty,,,K12,stone figure,,,,,,,,K12,Stone figure,550 CE,B,8.0,41,B,B:8,1,
B,17,L600,Snuff bottle,,,,,,,,,,empty,,,L600,snuff bottle,,,,,,,,L600,Snuff bottle,Qianlong,B,17.0,25,A;B,A:28;B:17,2,
B,4,M205,Handscroll landscape,,,,,,,,,,empty,,,M205,handscroll landscape,,,,,,,,M205,Handscroll landscape,1752 vs 18th c conflict,B,4.0,38,B,B:4,1,
B,12,N300,Inkstone Ming,,,,,,,,,,empty,,,N300,inkstone ming,,,,,,,,N300,Inkstone Ming,Wanli,B,12.0,15,A;B,A:18;B:12,2,
B,7,P401,Silk robe frag,,,,,,,,,,empty,,,P401,silk robe frag,,,,,,,,P401,Silk robe frag,1890-1910,B,7.0,40,B,B:7,1,
B,29,Q-120,sword iron,,,,,,,,,,empty,,,Q-120,sword iron,,,,,,,,Q-120,sword iron,400-200 BCE,B,29.0,58,B,B:29,1,
B,28,Q120,Iron sword,,,,,,,,,,empty,,,Q120,iron sword,,,,,,,,Q120,Iron sword,Warring States,B,28.0,57,B,B:28,1,
B,10,R500,Celadon plate,,,,,,,,,,empty,,,R500,celadon plate,,,,,,,,R500,Celadon plate,Longquan,B,10.0,42,B,B:10,1,
B,23,S-400,dish snuff,,,,,,,,,,empty,,,S-400,dish snuff,,,,,,,,S-400,dish snuff,late 19th,B,23.0,52,B,B:23,1,
B,22,S400,Snuff dish,,,,,,,,,,empty,,,S400,snuff dish,,,,,,,,S400,Snuff dish,not in batch A; 1880,B,22.0,51,B,B:22,1,
B,5,T088,Mirror,,,,,,,,,,empty,,,T088,mirror,,,,,,,,T088,Mirror,T88 duplicate,B,5.0,39,B,B:5,1,
B,6,T88x,Bronze mirror (typo id),,,,,,,,,,empty,,,T88X,bronze mirror typo id,,,,,,,,T88x,Bronze mirror (typo id),should match T88,B,6.0,5,A;B,A:7;A:8;B:6,3,
B,33,U-808,jar stoneware,,,,,,,,,,empty,,,U-808,jar stoneware,,,,,,,,U-808,jar stoneware,10th c,B,33.0,62,B,B:33,1,
B,32,U808,Stoneware jar,,,,,,,,,,empty,,,U808,stoneware jar,,,,,,,,U808,Stoneware jar,Five Dynasties,B,32.0,61,B,B:32,1,
B,31,V-303,fitting gilt,,,,,,,,,,empty,,,V-303,fitting gilt,,,,,,,,V-303,fitting gilt,618-907,B,31.0,60,B,B:31,1,
B,30,V303,Gilt bronze fitting,,,,,,,,,,empty,,,V303,gilt bronze fitting,,,,,,,,V303,Gilt bronze fitting,Tang,B,30.0,59,B,B:30,1,
B,25,W-700,bell bronze,,,,,,,,,,empty,,,W-700,bell bronze,,,,,,,,W-700,bell bronze,1400s,B,25.0,54,B,B:25,1,
B,24,W700,Bronze bell,,,,,,,,,,empty,,,W700,bronze bell,,,,,,,,W700,Bronze bell,Ming; 15th c,B,24.0,53,B,B:24,1,
B,3,X100,Han vase,,,,,,,,,,empty,,,X100,han vase,,,,,,,,X100 ,Han vase,trailing space test,B,3.0,2,A;B,A:3;B:3,2,
B,2,X100,Vase Han,,,,,,,,,,empty,,,X100,vase han,,,,,,,,X100,Vase Han,duplicate of batch A X-100,B,2.0,1,A;B,A:1;A:2;A:4;B:2,4,
B,27,Y-050,beads glass,,,,,,,,,,empty,,,Y-050,beads glass,,,,,,,,Y-050,beads glass,206 BCE-220 CE ref,B,27.0,56,B,B:27,1,
B,26,Y050,Glass bead strand,,,,,,,,,,empty,,,Y050,glass bead strand,,,,,,,,Y050,Glass bead strand,Han,B,26.0,55,B,B:26,1,
B,21,Z999,Reproduction vase,,,,,,,,,,empty,,,Z999,reproduction vase,,,,,,,,Z999,Reproduction vase,1998,B,21.0,50,B,B:21,1,
