iter	Logloss
251	0.2186864471
252	0.2176144714
253	0.2167557678
254	0.2161282349
255	0.2153774567
256	0.2145998688
257	0.213617218
258	0.2128390808
259	0.2121687927
260	0.2115322876
261	0.2108894501
262	0.210071106
263	0.2091663208
264	0.2082824097
265	0.2071994476
266	0.2067141266
267	0.2054980316
268	0.2048713684
269	0.203608429
270	0.2029593048
271	0.2022936707
272	0.2013749084
273	0.2003448792
274	0.1993941498
275	0.1982610321
276	0.1976774902
277	0.1968000793
278	0.1962323303
279	0.1955123596
280	0.1945900574
281	0.1937666016
282	0.1928804779
283	0.1918721924
284	0.191111145
285	0.1905876617
286	0.1898459473
287	0.1893838806
288	0.1885795441
289	0.1879005737
290	0.1872111816
291	0.1863260498
292	0.1856452026
293	0.1847085571
294	0.1837597351
295	0.1828574677
296	0.1820941315
297	0.1815562592
298	0.1810752258
299	0.180160553
300	0.1795646362
301	0.1790975952
302	0.1785081787
303	0.1777010956
304	0.1770281525
305	0.1762621307
306	0.1754121246
307	0.1746635132
308	0.1738117218
309	0.1730437622
310	0.1722097778
311	0.1717112122
312	0.1710480347
313	0.1702194061
314	0.1694805145
315	0.1685179749
316	0.1677876282
317	0.1672285004
318	0.1665600891
319	0.1657906189
320	0.1646959839
321	0.1642058105
322	0.1636232147
323	0.1627737122
324	0.1622281189
325	0.1615687866
326	0.161064209
327	0.160530365
328	0.1599378204
329	0.1590805206
330	0.1585803833
331	0.1579675293
332	0.1574640045
333	0.1567713623
334	0.156236084
335	0.1557710876
336	0.1553245239
337	0.154894104
338	0.1544634705
339	0.1536960449
340	0.153110199
341	0.1525183716
342	0.151991394
343	0.1513011932
344	0.1509244995
345	0.1505210876
346	0.1499058533
347	0.1492851868
348	0.1487076569
349	0.1481548462
350	0.1475131989
351	0.1468547363
352	0.1464034882
353	0.1458252258
354	0.1453523407
355	0.1446481628
356	0.1439601288
357	0.1434767151
358	0.1428185577
359	0.1423768768
360	0.1419121399
361	0.1412503052
362	0.1407003632
363	0.1401653442
364	0.1395405579
365	0.1392038574
366	0.1388308868
367	0.1382880096
368	0.1377972107
369	0.1372462616
370	0.1367519226
371	0.1361879272
372	0.1355935822
373	0.1352247925
374	0.1347259064
375	0.1343587036
376	0.1338619537
377	0.1332176056
378	0.1328530884
379	0.1323672791
380	0.1319969482
381	0.1315207214
382	0.1311025391
383	0.1304890137
384	0.1297795715
385	0.1293718872
386	0.1289425659
387	0.1283920746
388	0.1277841492
389	0.1272909927
390	0.1268237228
391	0.1262623825
392	0.1256943512
393	0.1252788544
394	0.1249158936
395	0.1244149246
396	0.1238903656
397	0.1234085236
398	0.122980072
399	0.1226228027
400	0.1219768829
401	0.1215647888
402	0.1211992493
403	0.1207212982
404	0.1202707443
405	0.1197563553
406	0.1191589966
407	0.1187023773
408	0.1180460358
409	0.1176639404
410	0.117257431
411	0.1168467407
412	0.116312851
413	0.1157959442
414	0.1154351883
415	0.1150830231
416	0.1145223007
417	0.1141430206
418	0.1136407318
419	0.1132105789
420	0.1127463074
421	0.112322998
422	0.1118839722
423	0.1114864349
424	0.11092202
425	0.110605484
426	0.1101031113
427	0.1096997223
428	0.1092718201
429	0.1088910294
430	0.1084541931
431	0.1081274338
432	0.107618042
433	0.1073206635
434	0.1068661499
435	0.1065364075
436	0.1061501617
437	0.1056837845
438	0.1051882935
439	0.1048804245
440	0.1045363617
441	0.1042620544
442	0.1037334595
443	0.1034400558
444	0.1031044846
445	0.1026377563
446	0.1022795105
447	0.1018432999
448	0.1013383026
449	0.1010019455
450	0.1004709015
451	0.100134201
452	0.09958756256
453	0.09932946777
454	0.09888011932
455	0.09848458862
456	0.09820587921
457	0.0978984375
458	0.097473526
459	0.09722906494
460	0.09684986877
461	0.09638331604
462	0.09603927612
463	0.09574249268
464	0.09531791687
465	0.09498141479
466	0.09466246033
467	0.09423312378
468	0.09382952881
469	0.09336831665
470	0.09304469299
471	0.09272372437
472	0.09246865082
473	0.0920308609
474	0.09168980408
475	0.09132644653
476	0.09098972321
477	0.09066323853
478	0.09030448914
479	0.08985112762
480	0.08956222534
481	0.08922592163
482	0.08878646088
483	0.0885052948
484	0.08826325989
485	0.08785282135
486	0.08745809937
487	0.08710662842
488	0.08670814514
489	0.08640155029
490	0.08594366455
491	0.0856082077
492	0.08540781403
493	0.08514602661
494	0.08478292847
495	0.0845683136
496	0.08428163147
497	0.08390193176
498	0.0834196167
499	0.08315146637
