feature,score,p_value
freq_*,1.3391110562377988,0.24774553901986396
ngram_..,1.3281410435885808,0.2496890971601959
trans_9,1.32814104358858,0.2496890971601959
trans_prob_60,1.3055226545765841,0.25375592650405704
trans_41,1.2813572866825769,0.258191581116171
ngram_v.,1.2813572866825755,0.258191581116171
trans_prob_48,1.2588050140974785,0.2624180746225068
trans_22,1.2571424941234708,0.2627330337916846
ngram_*y,1.2571424941234701,0.2627330337916846
count_w,1.188951265319241,0.2760685059768271
freq_w,1.1889512653192402,0.2760685059768271
trans_42,1.1412062883397374,0.285915129722081
ngram_v*,1.141206288339737,0.285915129722081
trans_43,1.0615994563626978,0.30335080712128987
ngram_vx,1.0615994563626976,0.30335080712128987
trans_prob_15,1.0602191775645102,0.3036650237628058
ngram_u.,1.0527185474488963,0.30537991423753685
trans_57,1.0527185474488956,0.30537991423753685
ngram_.u,1.049594253988257,0.306097935704499
trans_15,1.0495942539882548,0.306097935704499
trans_prob_22,1.0398013132013562,0.30836279703548297
trans_prob_41,1.0037753668493683,0.31688525650563204
trans_prob_46,0.9586883927764369,0.327992962102161
count_.,0.8667294828988339,0.3523134054146855
freq_.,0.8667294828988339,0.3523134054146855
trans_prob_58,0.7927084383574925,0.37371232261521015
trans_prob_62,0.7590825913580429,0.38403558517410974
trans_prob_45,0.7361915262769466,0.39129635637690086
trans_prob_57,0.7322589684939684,0.39256347031145034
trans_prob_4,0.7009912923111988,0.40285241209774536
trans_prob_17,0.6875949637932389,0.40738090033234786
trans_prob_32,0.6871469690774978,0.40753362600533405
complexity,0.6848153096830567,0.40832986969027607
trans_11,0.678935484033541,0.41034796840086407
ngram_.x,0.6789354840335391,0.41034796840086407
ngram_ww,0.6752836964943644,0.41160875342604564
trans_0,0.6752836964943636,0.41160875342604564
trans_prob_6,0.5438121372460387,0.46120443732104777
trans_prob_47,0.5057251737131049,0.47732821702365114
trans_33,0.4962424095575018,0.4814851321003304
ngram_z.,0.49624240955749993,0.4814851321003304
trans_prob_3,0.48873885210071094,0.4848167864596502
trans_prob_42,0.47947386350583554,0.4889834767984266
trans_prob_29,0.47600325988718395,0.49055965318538897
trans_45,0.4717144733779407,0.49251916899433756
ngram_vv,0.4717144733779406,0.49251916899433756
trans_prob_40,0.4557449753428218,0.4999326161889249
trans_prob_23,0.42856517376924524,0.5129960682439896
trans_prob_51,0.42752807298145973,0.5135061875919503
trans_prob_8,0.42388290896687963,0.5153061730798641
unique_symbols,0.4194630004310358,0.5175035739505065
ngram_vy,0.3932875568798914,0.5308637682055508
trans_46,0.39328755687989086,0.5308637682055508
trans_58,0.3834009673199482,0.5360718444990404
ngram_u*,0.38340096731994794,0.5360718444990404
ngram_*.,0.382051377408718,0.5367899812890496
trans_17,0.382051377408716,0.5367899812890496
trans_3,0.36774716046055606,0.5445111554927471
ngram_wx,0.36774716046055533,0.5445111554927471
freq_z,0.32370466417866406,0.5696462330561286
count_z,0.323704664178664,0.5696462330561286
normalized_entropy,0.30704490541597285,0.5797479647954378
entropy,0.3070449054159719,0.5797479647954378
ngram_zv,0.30169952327847804,0.5830651322439249
trans_37,0.30169952327847804,0.5830651322439249
trans_prob_25,0.28963314574513566,0.5906961557143207
trans_prob_31,0.26426781331606575,0.6074311830588899
trans_23,0.2606285546447356,0.6099148709422326
ngram_*u,0.2606285546447355,0.6099148709422326
trans_47,0.2591873604955236,0.610904490738429
ngram_vu,0.25918736049552343,0.610904490738429
trans_prob_38,0.2577476830993206,0.611896535171703
trans_prob_20,0.24266977114316807,0.6225015927713902
trans_prob_11,0.23619358634285184,0.6271826976593016
trans_prob_0,0.23133264147133065,0.6307486918533197
trans_prob_28,0.20969992186935976,0.6472024422206096
trans_32,0.18043282857516424,0.6711849985503106
ngram_zw,0.18043282857516396,0.6711849985503106
ngram_zx,0.17545290691140975,0.6754910160893256
trans_35,0.17545290691140963,0.6754910160893256
ngram_wy,0.14264532434709334,0.7058261504105765
trans_6,0.1426453243470933,0.7058261504105765
ngram_uw,0.13219811886284277,0.7163180499954818
trans_56,0.13219811886284266,0.7163180499954818
trans_2,0.12643984050222878,0.722302840620364
ngram_w*,0.12643984050222853,0.722302840620364
trans_prob_26,0.12133305771976603,0.7277403541911516
trans_14,0.11900273257171123,0.7302642795616023
ngram_.y,0.11900273257171101,0.7302642795616023
trans_48,0.10260943907709051,0.7488547547430433
ngram_yw,0.10260943907708982,0.7488547547430433
trans_61,0.10025877188861229,0.7516520021517066
ngram_uv,0.10025877188861221,0.7516520021517066
trans_34,0.10017145035940826,0.7517566050806599
ngram_z*,0.10017145035940807,0.7517566050806599
trans_31,0.09771621465093398,0.7547185257753684
ngram_xu,0.09771621465093373,0.7547185257753684
trans_prob_10,0.0968997725089845,0.7557124967386077
ngram_zy,0.09661983633491862,0.756054359998193
trans_38,0.09661983633491845,0.756054359998193
trans_prob_16,0.09387687650024085,0.759433236263342
trans_prob_63,0.09275413850397651,0.7608318366911067
trans_30,0.0868858517785955,0.7682969581619101
ngram_xy,0.08688585177859538,0.7682969581619101
ngram_y.,0.08237447335515924,0.7742243961957299
trans_49,0.08237447335515917,0.7742243961957299
trans_39,0.08206677762982721,0.7746350113424424
ngram_zu,0.08206677762982716,0.7746350113424424
trans_prob_34,0.08196781970189522,0.7747672461558475
trans_59,0.08127274561377308,0.7756984985119141
ngram_ux,0.08127274561377301,0.7756984985119141
trans_prob_44,0.07825988989891466,0.7797857053747562
trans_13,0.07665274467579043,0.7820007017224102
ngram_.v,0.07665274467579034,0.7820007017224102
trans_10,0.06121351412924876,0.8046900809961192
ngram_.*,0.061213514129248636,0.8046900809961192
trans_54,0.06091552321582299,0.8051564343795917
ngram_yy,0.060915523215822984,0.8051564343795917
freq_x,0.054267753381883534,0.8158925275026441
count_x,0.05426775338188327,0.8158925275026441
trans_prob_39,0.05046445925677735,0.822349183137182
ngram_wv,0.0457088877593196,0.8307933590290539
trans_5,0.045708887759319514,0.8307933590290539
trans_44,0.04453814558339715,0.8329418997117337
ngram_vz,0.04453814558339709,0.8329418997117337
ngram_wz,0.04142471082147086,0.8388034580969861
trans_4,0.04142471082147065,0.8388034580969861
trans_prob_19,0.040527920152158475,0.840534102982556
trans_prob_54,0.03848424090826804,0.8445539968992631
ngram_x.,0.03828022452544873,0.8449613221709846
trans_25,0.03828022452544865,0.8449613221709846
trans_prob_30,0.03585492613328576,0.849892546284499
trans_prob_61,0.03563883434247032,0.8503401916641529
ngram_*w,0.03534938091303867,0.8509420175869331
trans_16,0.03534938091303863,0.8509420175869331
freq_v,0.03485561596441019,0.8519745616435249
count_v,0.03485561596441008,0.8519745616435249
trans_prob_2,0.03456715071243716,0.8525812954556611
trans_prob_13,0.033828385284009534,0.8541472011508996
count_u,0.029720256046471726,0.8631965386666325
freq_u,0.029720256046471723,0.8631965386666325
trans_63,0.02639995277223435,0.8709932923063312
ngram_uu,0.026399952772234184,0.8709932923063312
trans_19,0.017259170741693267,0.8955323822543557
ngram_*x,0.017259170741693194,0.8955323822543557
freq_y,0.013415949985094489,0.9078361500317694
count_y,0.013415949985094348,0.9078361500317694
trans_prob_35,0.011713485963957666,0.9138577441547674
trans_prob_27,0.01069259708756367,0.9176831596590083
ngram_xz,0.009516786624154219,0.9223256871800471
trans_28,0.009516786624154033,0.9223256871800471
ngram_xx,0.008531912654138434,0.9264425275300415
trans_27,0.008531912654138434,0.9264425275300415
ngram_xv,0.004771874259739554,0.9449546603348722
trans_29,0.004771874259739494,0.9449546603348722
trans_prob_33,0.003261857336995344,0.9544783494716919
trans_prob_37,0.0026303890954685856,0.9591171373686086
most_common_freq,0.0013471718388596934,0.9707358548839924
trans_8,0.0005378174729291984,0.9815072929070215
ngram_.w,0.0005378174729291961,0.9815072929070215
trans_prob_56,2.5064245045800172e-05,0.9960074759742158
trans_prob_5,2.2611260147273556e-09,0.9999620787849325
length,,
